,LEMMA_CHILD_1,LEMMA_CHILD_2,LEMMA_CHILD_3,LEMMA_GRAND_PARENT,LEMMA_PARENT
120,eleitor,,,querer,maioria
121,,,,de,eleitor
122,o,,,maioria,de
123,recusar,-,maioria,revelar,dado
124,,,,querer,PT
125,o,,,dado,querer
126,de,,,dado,querer
127,governo,,,querer,participar
128,,,,de,governo
129,o,Fernando_Henrique_Cardoso,,participar,de
130,,,,de,governo
131,,,,,revelar
132,sentido,-,aliás,,
133,sentido,,,,ter
134,,,,,ter
135,,,,,ter
136,,,,,ter
137,,,,sentido,sentido
138,muitíssimo,,,ter,sentido
139,,,,,ter
140,,,,encontrar,Lula
141,nem,nem,partido,,encontrar
142,,,,encontrar,Lula
143,,,,Lula,partido
144,o,,,encontrar,Lula
145,,,,,encontrar
146,Lula,ainda,discurso,,
147,,,,encontrar,discurso
148,um,,,,encontrar
149,diferenciar,,,,encontrar
150,,,,para,diferenciar
151,se,,,encontrar,para
152,,,,,encontrar
153,,,,,dizer
154,,,,,dizer
155,eles,se,oposição,,
156,,,,,dizer
157,,,,,dizer
158,,,,,dizer
159,,,,informar,não
160,ainda,,,dizer,informar
161,não,ir,,,dizer
162,,,,ir,combater
163,combater,,,dizer,informar
164,o_que,,,informar,ir
165,,,,,dizer
166,,,,,dizer
167,,,,,dizer
168,eles,se,oposição,,
169,,,,,dizer
170,,,,,dizer
171,,,,,dizer
172,,,,informar,não
173,ainda,,,dizer,informar
174,não,ir,,,dizer
175,,,,ir,combater
176,combater,,,dizer,informar
177,o_que,,,informar,ir
178,,,,,dizer
179,,,,,dizer
180,,,,,dizer
181,eles,se,oposição,,
182,,,,,dizer
183,,,,,dizer
184,,,,,dizer
185,,,,informar,não
186,ainda,,,dizer,informar
187,não,ir,,,dizer
188,,,,ir,combater
189,combater,,,dizer,informar
190,o_que,,,informar,ir
191,,,,,dizer
192,de,,,,coincidir
193,prioridade,,,coincidir,muito
194,,,,de,prioridade
195,o,de,,muito,de
196,governo,,,de,prioridade
197,,,,de,governo
198,,,,de,governo
199,o,novo,,prioridade,de
200,muito,com,-,,
201,prioridade,,,,coincidir
202,,,,com,prioridade
203,o,de,,coincidir,com
204,PT,,,com,prioridade
205,,,,de,PT
206,o,,,prioridade,de
207,,,,,coincidir
208,,,,,chegar
209,,,,,chegar
210,,,,,chegar
211,-,Confissões,-,,
212,Portugal,,,,chegar
213,,,,chegar,a
214,dia,,,ser,ver
215,,,,desde,dia
216,,,,desde,dia
217,o,último,13,ver,desde
218,,,,desde,dia
219,,,,,poder
220,,,,,poder
221,,,,,poder
222,,,,,poder
223,-,-,Confissões_de_Adolescente,,
224,ver,,,,poder
225,desde,por,,poder,ser
226,teen,,,ser,ver
227,,,,por,teen
228,o,português,,ver,por
229,,,,por,teen
230,,,,,poder
231,,,,estrear,série
232,o,exibir,,,estrear
233,aqui,por,,estrear,série
234,,,,série,exibir
235,cultura,,,série,exibir
236,,,,por,cultura
237,o,,,exibir,por
238,série,em,-,,
239,TVI,,,,estrear
240,,,,em,TVI
241,o,de,,estrear,em
242,Portugal,,,em,TVI
243,,,,TVI,de
244,,,,,estrear
245,isso,,,ser,negociar
246,,,,negociar,além_de
247,,,,,continuar
248,,,,continuar,co-produção
249,o,com,para,,continuar
250,canal,,,continuar,co-produção
251,,,,com,canal
252,o,francês,TCF1,co-produção,com
253,,,,com,canal
254,,,,com,canal
255,realização,,,continuar,co-produção
256,,,,para,realização
257,o,de,,co-produção,para
258,episódio,,,para,realização
259,,,,de,episódio
260,,,,de,episódio
261,mais,30,,realização,de
262,-,co-produção,ser,,
263,negociar,,,,continuar
264,além_de,,,continuar,ser
265,,,,,continuar
266,,,,,estrear
267,Manchete,jornalístico,,,
268,,,,estrear,jornalístico
269,novo,,,,estrear
270,,,,,ser
271,,,,,ser
272,,,,,ser
273,-,Câmera_Manchete,-,,
274,,,,ser,nome
275,o,de,,,ser
276,programa,,,ser,nome
277,,,,de,programa
278,,,,de,programa
279,o,novo,jornalístico,nome,de
280,,,,de,programa
281,,,,programa,estrear
282,que,quarta-feira,-,de,programa
283,,,,programa,estrear
284,,,,programa,estrear
285,22h30,,,programa,estrear
286,,,,a,22h30
287,o,,,estrear,a
288,,,,programa,estrear
289,Rede_Manchete,,,programa,estrear
290,,,,em,Rede_Manchete
291,o,,,estrear,em
292,,,,,ser
293,comando,,,,mostrar
294,,,,sob,comando
295,o,de,,mostrar,sob
296,Ronaldo_Rosas,,,sob,comando
297,,,,comando,de
298,,,,,mostrar
299,,,,mostrar,programa
300,o,,,,mostrar
301,sob,-,programa,,
302,especial,de,,,mostrar
303,,,,mostrar,reportagem
304,Sônia_Pompeu,,,mostrar,reportagem
305,,,,reportagem,de
306,,,,,mostrar
307,,,,ser,direção
308,o,de,,,ser
309,semanal,,,ser,direção
310,,,,de,semanal
311,,,,de,semanal
312,o,novo,,direção,de
313,direção,assinar,-,,
314,por,,,,ser
315,Ewaldo_Ruy,,,ser,assinar
316,,,,assinar,por
317,,,,,ser
318,,,,dividir,jogador
319,o,,,,dividir
320,,,,,dividir
321,jogador,se,por,,
322,quarto,,,,dividir
323,,,,por,quarto
324,,,,por,quarto
325,o,dez,de,dividir,por
326,alojamento,,,por,quarto
327,,,,de,alojamento
328,o,,,quarto,de
329,,,,por,quarto
330,com,,,por,quarto
331,frigobar,,,quarto,equipar
332,-,ar,-,equipar,com
333,,,,com,frigobar
334,condicionado,,,com,frigobar
335,,,,frigobar,ar
336,,,,com,frigobar
337,,,,com,frigobar
338,,,,com,frigobar
339,,,,com,frigobar
340,,,,,dividir
341,,,,afirmar,ser
342,-,coisa,-,,afirmar
343,,,,ser,coisa
344,um,de,,afirmar,ser
345,Primeiro_Mundo,,,ser,coisa
346,,,,de,Primeiro_Mundo
347,o,,,coisa,de
348,,,,afirmar,ser
349,,,,,afirmar
350,ser,-,levantador,,
351,,,,afirmar,levantador
352,o,Maurício,,,afirmar
353,,,,afirmar,levantador
354,,,,,afirmar
355,matéria,a,,,afirmar
356,,,,afirmar,ler
357,lado,,,afirmar,ler
358,,,,a,lado
359,o,,,ler,a
360,,,,,afirmar
361,,,,,afirmar
362,,,,afirmar,ser
363,-,coisa,-,,afirmar
364,,,,ser,coisa
365,um,de,,afirmar,ser
366,Primeiro_Mundo,,,ser,coisa
367,,,,de,Primeiro_Mundo
368,o,,,coisa,de
369,,,,afirmar,ser
370,,,,,afirmar
371,ser,-,levantador,,
372,,,,afirmar,levantador
373,o,Maurício,,,afirmar
374,,,,afirmar,levantador
375,,,,,afirmar
376,matéria,a,,,afirmar
377,,,,afirmar,ler
378,lado,,,afirmar,ler
379,,,,a,lado
380,o,,,ler,a
381,,,,,afirmar
382,,,,,afirmar
383,Maurício,,,dever,contar
384,-,Carlão,e,contar,além_de
385,,,,além_de,Maurício
386,,,,além_de,Maurício
387,,,,além_de,Maurício
388,,,,além_de,Maurício
389,,,,,dever
390,,,,dever,seleção
391,o,,,,dever
392,-,seleção,contar,,
393,além_de,hoje,com,,dever
394,,,,dever,contar
395,Giovane,,,dever,contar
396,,,,contar,com
397,,,,,dever
398,,,,pedir,atacante
399,o,-,dever,,pedir
400,,,,pedir,atacante
401,,,,atacante,dever
402,que,ter,,pedir,atacante
403,apresentar,,,atacante,dever
404,,,,ter,apresentar
405,se,anteontem,,dever,ter
406,a,,,ter,apresentar
407,noite,,,apresentar,anteontem
408,,,,a,noite
409,o,,,anteontem,a
410,,,,,pedir
411,atacante,-,dia,,
412,,,,pedir,dia
413,,,,pedir,dia
414,mais,um,de,,pedir
415,folga,,,pedir,dia
416,,,,dia,de
417,treinador,,,,pedir
418,,,,a,treinador
419,o,,,pedir,a
420,,,,,pedir
421,,,,pedir,atacante
422,o,-,dever,,pedir
423,,,,pedir,atacante
424,,,,atacante,dever
425,que,ter,,pedir,atacante
426,apresentar,,,atacante,dever
427,,,,ter,apresentar
428,se,anteontem,,dever,ter
429,a,,,ter,apresentar
430,noite,,,apresentar,anteontem
431,,,,a,noite
432,o,,,anteontem,a
433,,,,,pedir
434,atacante,-,dia,,
435,,,,pedir,dia
436,,,,pedir,dia
437,mais,um,de,,pedir
438,folga,,,pedir,dia
439,,,,dia,de
440,treinador,,,,pedir
441,,,,a,treinador
442,o,,,pedir,a
443,,,,,pedir
444,volta,,,,valer
445,,,,em,volta
446,o,de,,valer,em
447,viagem,,,em,volta
448,,,,de,viagem
449,um,a,,volta,de
450,exterior,,,de,viagem
451,,,,a,exterior
452,o,,,viagem,a
453,,,,,valer
454,em,-,pena,,
455,,,,valer,pena
456,o,,,,valer
457,impressora,,,,valer
458,,,,trazer,impressora
459,um,matricial,,valer,trazer
460,,,,trazer,impressora
461,,,,,valer
462,volta,,,,valer
463,,,,em,volta
464,o,de,,valer,em
465,viagem,,,em,volta
466,,,,de,viagem
467,um,a,,volta,de
468,exterior,,,de,viagem
469,,,,a,exterior
470,o,,,viagem,a
471,,,,,valer
472,em,-,pena,,
473,,,,valer,pena
474,o,,,,valer
475,impressora,,,,valer
476,,,,trazer,impressora
477,um,matricial,,valer,trazer
478,,,,trazer,impressora
479,,,,,valer
480,de,,,,vender
481,aeroporto,,,vender,Free_shop
482,,,,de,aeroporto
483,o,internacional,,Free_shop,de
484,,,,de,aeroporto
485,,,,,vender
486,Free_shop,também,equipamento,,
487,,,,vender,equipamento
488,o,,,,vender
489,,,,,vender
490,,,,ser,modelo
491,o,Lx_810,-,,ser
492,,,,ser,modelo
493,,,,ser,modelo
494,Epson,,,ser,modelo
495,,,,de,Epson
496,o,,,modelo,de
497,,,,ser,modelo
498,modelo,vender,-,,
499,em,por,,,ser
500,Miami,,,ser,vender
501,,,,vender,em
502,US$,,,ser,vender
503,178,,,vender,por
504,,,,por,US$
505,,,,,ser
506,,,,ser,equilíbrio
507,esse,,,,ser
508,equilíbrio,ter,-,,
509,como,,,,ser
510,condição,,,ser,ter
511,,,,como,condição
512,pré-,para,,ter,como
513,sucesso,,,como,condição
514,,,,para,sucesso
515,o,de,,condição,para
516,plano,,,para,sucesso
517,,,,de,plano
518,o,econômico,,sucesso,de
519,,,,de,plano
520,,,,,ser
521,de,,,,ser
522,recurso,,,ser,parte
523,,,,de,recurso
524,o,para,,parte,de
525,formação,,,de,recurso
526,,,,para,formação
527,o,de,,recurso,para
528,FSE,,,para,formação
529,,,,de,FSE
530,o,,,formação,de
531,parte,deslocar,-,,
532,de,,,,ser
533,orçamento,,,ser,deslocar
534,,,,de,orçamento
535,o,de,,deslocar,de
536,saúde,,,de,orçamento
537,,,,de,saúde
538,o,e,educação,orçamento,de
539,,,,de,saúde
540,,,,de,saúde
541,,,,,ser
542,época,,,,fazer
543,,,,em,época
544,o,,,fazer,em
545,,,,,fazer
546,,,,fazer,ministro
547,,,,fazer,ministro
548,o,então,de,,fazer
549,Fazenda,,,fazer,ministro
550,,,,de,Fazenda
551,o,,,ministro,de
552,,,,fazer,ministro
553,,,,fazer,ministro
554,,,,fazer,ministro
555,em,-,ministro,,
556,,,,fazer,pronunciamento
557,um,,,,fazer
558,cadeia,para,anunciar,,fazer
559,nacional,,,fazer,em
560,,,,em,cadeia
561,,,,fazer,em
562,intenção,,,fazer,em
563,,,,anunciar,intenção
564,o,de,de,em,anunciar
565,governo,,,anunciar,intenção
566,,,,de,governo
567,o,,,intenção,de
568,destinar,,,anunciar,intenção
569,FSE,a,,intenção,de
570,,,,destinar,FSE
571,o,,,de,destinar
572,investimento,,,de,destinar
573,social,,,destinar,a
574,,,,a,investimento
575,,,,,fazer
576,época,,,,fazer
577,,,,em,época
578,o,,,fazer,em
579,,,,,fazer
580,,,,fazer,ministro
581,,,,fazer,ministro
582,o,então,de,,fazer
583,Fazenda,,,fazer,ministro
584,,,,de,Fazenda
585,o,,,ministro,de
586,,,,fazer,ministro
587,,,,fazer,ministro
588,,,,fazer,ministro
589,em,-,ministro,,
590,,,,fazer,pronunciamento
591,um,,,,fazer
592,cadeia,para,anunciar,,fazer
593,nacional,,,fazer,em
594,,,,em,cadeia
595,,,,fazer,em
596,intenção,,,fazer,em
597,,,,anunciar,intenção
598,o,de,de,em,anunciar
599,governo,,,anunciar,intenção
600,,,,de,governo
601,o,,,intenção,de
602,destinar,,,anunciar,intenção
603,FSE,a,,intenção,de
604,,,,destinar,FSE
605,o,,,de,destinar
606,investimento,,,de,destinar
607,social,,,destinar,a
608,,,,a,investimento
609,,,,,fazer
610,época,,,,fazer
611,,,,em,época
612,o,,,fazer,em
613,,,,,fazer
614,,,,fazer,ministro
615,,,,fazer,ministro
616,o,então,de,,fazer
617,Fazenda,,,fazer,ministro
618,,,,de,Fazenda
619,o,,,ministro,de
620,,,,fazer,ministro
621,,,,fazer,ministro
622,,,,fazer,ministro
623,em,-,ministro,,
624,,,,fazer,pronunciamento
625,um,,,,fazer
626,cadeia,para,anunciar,,fazer
627,nacional,,,fazer,em
628,,,,em,cadeia
629,,,,fazer,em
630,intenção,,,fazer,em
631,,,,anunciar,intenção
632,o,de,de,em,anunciar
633,governo,,,anunciar,intenção
634,,,,de,governo
635,o,,,intenção,de
636,destinar,,,anunciar,intenção
637,FSE,a,,intenção,de
638,,,,destinar,FSE
639,o,,,de,destinar
640,investimento,,,de,destinar
641,social,,,destinar,a
642,,,,a,investimento
643,,,,,fazer
644,,,,dizer,assessor
645,o,de,de,,dizer
646,imprensa,,,dizer,assessor
647,,,,assessor,de
648,Ministério_da_Fazenda,,,dizer,assessor
649,,,,de,Ministério_da_Fazenda
650,o,,,assessor,de
651,,,,dizer,assessor
652,,,,dizer,assessor
653,,,,dizer,assessor
654,assessor,ontem,ir,,
655,,,,,dizer
656,,,,dizer,ir
657,,,,ir,ministro
658,o,de,-,dizer,ir
659,Fazenda,,,ir,ministro
660,,,,de,Fazenda
661,o,,,ministro,de
662,,,,ir,ministro
663,,,,ir,ministro
664,,,,ir,comentar
665,que,ministro,comentar,,dizer
666,não,assunto,ter,dizer,ir
667,,,,comentar,assunto
668,o,,,ir,comentar
669,,,,comentar,ter
670,,,,comentar,ter
671,porque,não,informação,ir,comentar
672,suficiente,,,comentar,ter
673,,,,ter,informação
674,,,,,dizer
675,,,,dizer,assessor
676,o,de,de,,dizer
677,imprensa,,,dizer,assessor
678,,,,assessor,de
679,Ministério_da_Fazenda,,,dizer,assessor
680,,,,de,Ministério_da_Fazenda
681,o,,,assessor,de
682,,,,dizer,assessor
683,,,,dizer,assessor
684,,,,dizer,assessor
685,assessor,ontem,ir,,
686,,,,,dizer
687,,,,dizer,ir
688,,,,ir,ministro
689,o,de,-,dizer,ir
690,Fazenda,,,ir,ministro
691,,,,de,Fazenda
692,o,,,ministro,de
693,,,,ir,ministro
694,,,,ir,ministro
695,,,,ir,comentar
696,que,ministro,comentar,,dizer
697,não,assunto,ter,dizer,ir
698,,,,comentar,assunto
699,o,,,ir,comentar
700,,,,comentar,ter
701,,,,comentar,ter
702,porque,não,informação,ir,comentar
703,suficiente,,,comentar,ter
704,,,,ter,informação
705,,,,,dizer
706,,,,dizer,assessor
707,o,de,de,,dizer
708,imprensa,,,dizer,assessor
709,,,,assessor,de
710,Ministério_da_Fazenda,,,dizer,assessor
711,,,,de,Ministério_da_Fazenda
712,o,,,assessor,de
713,,,,dizer,assessor
714,,,,dizer,assessor
715,,,,dizer,assessor
716,assessor,ontem,ir,,
717,,,,,dizer
718,,,,dizer,ir
719,,,,ir,ministro
720,o,de,-,dizer,ir
721,Fazenda,,,ir,ministro
722,,,,de,Fazenda
723,o,,,ministro,de
724,,,,ir,ministro
725,,,,ir,ministro
726,,,,ir,comentar
727,que,ministro,comentar,,dizer
728,não,assunto,ter,dizer,ir
729,,,,comentar,assunto
730,o,,,ir,comentar
731,,,,comentar,ter
732,,,,comentar,ter
733,porque,não,informação,ir,comentar
734,suficiente,,,comentar,ter
735,,,,ter,informação
736,,,,,dizer
737,,,,destinar,projeto
738,o,original,de,,destinar
739,,,,destinar,projeto
740,governo,,,destinar,projeto
741,,,,de,governo
742,o,,,projeto,de
743,projeto,a,R$,,
744,TSE,,,,destinar
745,,,,a,TSE
746,o,,,destinar,a
747,milhão,,,,destinar
748,,,,R$,milhão
749,"334,9",,,destinar,R$
750,,,,,destinar
751,,,,incluir,haver
752,,,,incluir,haver
753,como,não,acordo,ser,incluir
754,entre,quanto_a,,incluir,haver
755,governo,,,haver,acordo
756,e,tribunal,,acordo,entre
757,,,,entre,governo
758,,,,entre,governo
759,volume,,,haver,acordo
760,,,,quanto_a,volume
761,o,de,,acordo,quanto_a
762,recurso,,,quanto_a,volume
763,,,,volume,de
764,,,,,ser
765,,,,ser,dotação
766,o,,,,ser
767,-,dotação,incluir,,
768,haver,em,sem,,ser
769,reserva,,,ser,incluir
770,,,,em,reserva
771,o,de,,incluir,em
772,contingência,,,em,reserva
773,,,,reserva,de
774,especificação,-,,ser,incluir
775,de,,,incluir,sem
776,despesa,,,sem,especificação
777,,,,especificação,de
778,,,,incluir,sem
779,,,,incluir,haver
780,,,,incluir,haver
781,como,não,acordo,ser,incluir
782,entre,quanto_a,,incluir,haver
783,governo,,,haver,acordo
784,e,tribunal,,acordo,entre
785,,,,entre,governo
786,,,,entre,governo
787,volume,,,haver,acordo
788,,,,quanto_a,volume
789,o,de,,acordo,quanto_a
790,recurso,,,quanto_a,volume
791,,,,volume,de
792,,,,,ser
793,,,,ser,dotação
794,o,,,,ser
795,-,dotação,incluir,,
796,haver,em,sem,,ser
797,reserva,,,ser,incluir
798,,,,em,reserva
799,o,de,,incluir,em
800,contingência,,,em,reserva
801,,,,reserva,de
802,especificação,-,,ser,incluir
803,de,,,incluir,sem
804,despesa,,,sem,especificação
805,,,,especificação,de
806,,,,incluir,sem
807,,,,,mandar
808,,,,,mandar
809,ameaça,,,,mandar
810,,,,diante_de,ameaça
811,o,de,de,mandar,diante_de
812,tribunal,,,diante_de,ameaça
813,,,,de,tribunal
814,o,,,ameaça,de
815,entrar,,,diante_de,ameaça
816,com,,,ameaça,de
817,ação,,,de,entrar
818,,,,com,ação
819,um,judicial,,entrar,com
820,,,,com,ação
821,,,,,mandar
822,,,,mandar,governo
823,o,,,,mandar
824,posteriormente,-,diante_de,,
825,congresso,,,,mandar
826,,,,a,congresso
827,o,,,mandar,a
828,,,,mandar,alteração
829,um,a,,,mandar
830,projeto,,,mandar,alteração
831,,,,a,projeto
832,o,,,alteração,a
833,,,,,mandar
834,para,dotação,,,mandar
835,R$,,,mandar,aumentar
836,milhão,,,aumentar,para
837,,,,R$,milhão
838,"452,7",,,para,R$
839,,,,aumentar,dotação
840,o,de,,mandar,aumentar
841,TSE,,,aumentar,dotação
842,,,,de,TSE
843,o,,,dotação,de
844,,,,,mandar
845,,,,,mandar
846,,,,,mandar
847,ameaça,,,,mandar
848,,,,diante_de,ameaça
849,o,de,de,mandar,diante_de
850,tribunal,,,diante_de,ameaça
851,,,,de,tribunal
852,o,,,ameaça,de
853,entrar,,,diante_de,ameaça
854,com,,,ameaça,de
855,ação,,,de,entrar
856,,,,com,ação
857,um,judicial,,entrar,com
858,,,,com,ação
859,,,,,mandar
860,,,,mandar,governo
861,o,,,,mandar
862,posteriormente,-,diante_de,,
863,congresso,,,,mandar
864,,,,a,congresso
865,o,,,mandar,a
866,,,,mandar,alteração
867,um,a,,,mandar
868,projeto,,,mandar,alteração
869,,,,a,projeto
870,o,,,alteração,a
871,,,,,mandar
872,para,dotação,,,mandar
873,R$,,,mandar,aumentar
874,milhão,,,aumentar,para
875,,,,R$,milhão
876,"452,7",,,para,R$
877,,,,aumentar,dotação
878,o,de,,mandar,aumentar
879,TSE,,,aumentar,dotação
880,,,,de,TSE
881,o,,,dotação,de
882,,,,,mandar
883,,,,,mandar
884,,,,,mandar
885,ameaça,,,,mandar
886,,,,diante_de,ameaça
887,o,de,de,mandar,diante_de
888,tribunal,,,diante_de,ameaça
889,,,,de,tribunal
890,o,,,ameaça,de
891,entrar,,,diante_de,ameaça
892,com,,,ameaça,de
893,ação,,,de,entrar
894,,,,com,ação
895,um,judicial,,entrar,com
896,,,,com,ação
897,,,,,mandar
898,,,,mandar,governo
899,o,,,,mandar
900,posteriormente,-,diante_de,,
901,congresso,,,,mandar
902,,,,a,congresso
903,o,,,mandar,a
904,,,,mandar,alteração
905,um,a,,,mandar
906,projeto,,,mandar,alteração
907,,,,a,projeto
908,o,,,alteração,a
909,,,,,mandar
910,para,dotação,,,mandar
911,R$,,,mandar,aumentar
912,milhão,,,aumentar,para
913,,,,R$,milhão
914,"452,7",,,para,R$
915,,,,aumentar,dotação
916,o,de,,mandar,aumentar
917,TSE,,,aumentar,dotação
918,,,,de,TSE
919,o,,,dotação,de
920,,,,,mandar
921,,,,reduzir,medida
922,esse,,,,reduzir
923,medida,disponibilidade,em,,
924,,,,reduzir,disponibilidade
925,o,de,,,reduzir
926,dinheiro,,,reduzir,disponibilidade
927,,,,disponibilidade,de
928,sistema,,,,reduzir
929,,,,em,sistema
930,o,bancário,,reduzir,em
931,,,,em,sistema
932,,,,,reduzir
933,,,,passar,banco
934,,,,passar,banco
935,o,grande,,reduzir,passar
936,banco,a,fornecer,,reduzir
937,,,,reduzir,passar
938,,,,passar,fornecer
939,não,recurso,,reduzir,passar
940,para,,,passar,fornecer
941,instituição,,,fornecer,recurso
942,,,,para,instituição
943,,,,para,instituição
944,o,pequeno,,recurso,para
945,,,,,reduzir
946,,,,reduzir,medida
947,esse,,,,reduzir
948,medida,disponibilidade,em,,
949,,,,reduzir,disponibilidade
950,o,de,,,reduzir
951,dinheiro,,,reduzir,disponibilidade
952,,,,disponibilidade,de
953,sistema,,,,reduzir
954,,,,em,sistema
955,o,bancário,,reduzir,em
956,,,,em,sistema
957,,,,,reduzir
958,,,,passar,banco
959,,,,passar,banco
960,o,grande,,reduzir,passar
961,banco,a,fornecer,,reduzir
962,,,,reduzir,passar
963,,,,passar,fornecer
964,não,recurso,,reduzir,passar
965,para,,,passar,fornecer
966,instituição,,,fornecer,recurso
967,,,,para,instituição
968,,,,para,instituição
969,o,pequeno,,recurso,para
970,,,,,reduzir
971,aquele,-,,,
972,estar,-,ou_seja,,quebrar
973,,,,aquele,estar
974,que,-,descasar,quebrar,aquele
975,,,,aquele,estar
976,,,,aquele,estar
977,,,,aquele,estar
978,,,,quebrar,aquele
979,,,,quebrar,aquele
980,,,,quebrar,aquele
981,,,,aquele,financiar
982,que,em,empréstimo,quebrar,aquele
983,mercado,,,aquele,financiar
984,,,,em,mercado
985,o,interbancário,de,financiar,em
986,,,,em,mercado
987,dia,,,em,mercado
988,,,,de,dia
989,um,-,CDI,mercado,de
990,,,,de,dia
991,,,,de,dia
992,,,,de,dia
993,,,,financiar,empréstimo
994,o,e,carteira,aquele,financiar
995,,,,financiar,empréstimo
996,,,,financiar,empréstimo
997,título,,,financiar,empréstimo
998,estadual,com,,empréstimo,de
999,e,municipal,,de,título
1000,,,,título,estadual
1001,,,,título,estadual
1002,prazo,,,de,título
1003,longo,,,título,com
1004,,,,com,prazo
1005,,,,,quebrar
1006,aquele,-,,,
1007,estar,-,ou_seja,,quebrar
1008,,,,aquele,estar
1009,que,-,descasar,quebrar,aquele
1010,,,,aquele,estar
1011,,,,aquele,estar
1012,,,,aquele,estar
1013,,,,quebrar,aquele
1014,,,,quebrar,aquele
1015,,,,quebrar,aquele
1016,,,,aquele,financiar
1017,que,em,empréstimo,quebrar,aquele
1018,mercado,,,aquele,financiar
1019,,,,em,mercado
1020,o,interbancário,de,financiar,em
1021,,,,em,mercado
1022,dia,,,em,mercado
1023,,,,de,dia
1024,um,-,CDI,mercado,de
1025,,,,de,dia
1026,,,,de,dia
1027,,,,de,dia
1028,,,,financiar,empréstimo
1029,o,e,carteira,aquele,financiar
1030,,,,financiar,empréstimo
1031,,,,financiar,empréstimo
1032,título,,,financiar,empréstimo
1033,estadual,com,,empréstimo,de
1034,e,municipal,,de,título
1035,,,,título,estadual
1036,,,,título,estadual
1037,prazo,,,de,título
1038,longo,,,título,com
1039,,,,com,prazo
1040,,,,,quebrar
1041,,,,,jogar
1042,,,,,jogar
1043,aqui,só,estar,,
1044,,,,jogar,estar
1045,quem,bem,,,jogar
1046,,,,jogar,estar
1047,,,,,jogar
1048,,,,,jogar
1049,,,,,jogar
1050,aqui,só,estar,,
1051,,,,jogar,estar
