,R
1241,I
1242,I
1243,O
1244,B
1245,I
1246,I
1247,I
1248,I
1249,O
1250,B
1251,B
1252,I
1253,B
1254,I
1255,I
1256,I
1257,I
1258,I
1259,I
1260,I
1261,I
1262,O
1263,O
1264,O
1265,O
1266,O
1267,O
1268,B
1269,B
1270,B
1271,I
1272,I
1273,I
1274,I
1275,O
1276,O
1277,O
1278,O
1279,O
1280,O
1281,O
1282,O
1283,O
1284,O
1285,O
1286,O
1287,B
1288,I
1289,I
1290,I
1291,I
1292,I
1293,I
1294,I
1295,I
1296,I
1297,I
1298,I
1299,B
1300,O
1301,O
1302,B
1303,B
1304,B
1305,I
1306,I
1307,I
1308,I
1309,I
1310,O
1311,B
1312,I
1313,I
1314,I
1315,I
1316,I
1317,I
1318,I
1319,I
1320,I
1321,B
1322,B
1323,I
1324,I
1325,I
1326,I
1327,I
1328,I
1329,I
1330,I
1331,I
1332,I
1333,O
1334,B
1335,I
1336,I
1337,I
1338,I
1339,I
1340,I
1341,I
1342,I
1343,I
1344,O
1345,O
1346,B
1347,B
1348,I
1349,I
1350,I
1351,I
1352,I
1353,I
1354,I
1355,I
1356,O
1357,O
1358,O
1359,O
1360,O
1361,O
1362,O
1363,O
1364,O
1365,O
1366,O
1367,O
1368,O
1369,O
1370,B
1371,B
1372,I
1373,B
1374,I
1375,I
1376,I
1377,I
1378,B
1379,O
1380,B
1381,B
1382,B
1383,B
1384,I
1385,I
1386,I
1387,I
1388,I
1389,I
1390,I
1391,I
1392,I
1393,I
1394,I
1395,I
1396,I
1397,I
1398,I
1399,I
1400,I
1401,I
1402,I
1403,I
1404,I
1405,I
1406,I
1407,O
1408,O
1409,O
1410,O
1411,O
1412,B
1413,I
1414,O
1415,B
1416,B
1417,I
1418,I
1419,I
1420,I
1421,I
1422,I
1423,I
1424,I
1425,I
1426,I
1427,I
1428,I
1429,I
1430,I
1431,I
1432,I
1433,I
1434,I
1435,O
1436,O
1437,O
1438,O
1439,O
1440,O
1441,O
1442,O
1443,O
1444,O
1445,O
1446,O
1447,O
1448,O
1449,B
1450,B
1451,I
1452,I
1453,I
1454,I
1455,I
1456,I
1457,I
1458,I
1459,I
1460,I
1461,I
1462,I
1463,O
1464,O
1465,B
1466,I
1467,O
1468,B
1469,B
1470,I
1471,I
1472,I
1473,I
1474,I
1475,I
1476,I
1477,I
1478,I
1479,I
1480,I
1481,I
1482,I
1483,O
1484,O
1485,O
1486,O
1487,O
1488,B
1489,I
1490,I
1491,I
1492,I
1493,I
1494,I
1495,I
1496,I
1497,I
1498,I
1499,I
1500,I
1501,I
1502,I
1503,I
1504,I
1505,I
1506,I
1507,I
1508,O
1509,B
1510,B
1511,O
1512,B
1513,I
1514,I
1515,I
1516,I
1517,I
1518,I
1519,B
1520,B
1521,I
1522,I
1523,I
1524,I
1525,I
1526,I
1527,I
1528,I
1529,I
1530,I
1531,I
1532,I
1533,I
1534,I
1535,I
1536,O
1537,O
1538,O
1539,O
1540,O
1541,O
1542,O
1543,O
1544,O
1545,O
1546,B
1547,I
1548,O
1549,B
1550,B
1551,B
1552,I
1553,I
1554,B
1555,I
1556,O
1557,O
1558,O
1559,O
1560,O
1561,O
1562,O
1563,O
1564,O
1565,O
1566,O
1567,O
1568,O
1569,O
1570,O
1571,B
1572,I
1573,O
1574,O
1575,O
1576,O
1577,O
1578,O
1579,O
1580,O
1581,O
1582,B
1583,B
1584,I
1585,O
1586,O
1587,B
1588,I
1589,I
1590,I
1591,B
1592,B
1593,I
1594,I
1595,O
1596,B
1597,I
1598,I
1599,I
1600,I
1601,I
1602,I
1603,I
1604,I
1605,I
1606,I
1607,I
1608,I
1609,I
1610,I
1611,I
1612,I
1613,I
1614,I
1615,I
1616,I
1617,I
1618,I
1619,O
1620,B
1621,B
1622,I
1623,I
1624,I
1625,I
1626,I
1627,I
1628,I
1629,I
1630,I
1631,I
1632,I
1633,I
1634,I
1635,O
1636,O
1637,O
1638,O
1639,O
1640,O
1641,O
1642,O
1643,O
1644,O
1645,O
1646,O
1647,O
1648,O
1649,O
1650,O
1651,O
1652,O
1653,O
1654,O
1655,O
1656,O
1657,O
1658,O
1659,O
1660,O
1661,O
1662,O
1663,O
1664,O
1665,B
1666,B
1667,B
1668,B
1669,I
1670,I
1671,B
1672,I
1673,I
1674,I
1675,O
1676,O
1677,O
1678,O
1679,O
1680,O
1681,O
1682,B
1683,B
1684,I
1685,O
1686,O
1687,O
1688,O
1689,O
1690,O
1691,O
1692,O
1693,O
1694,O
1695,O
1696,O
1697,O
1698,O
1699,B
1700,I
1701,I
1702,O
1703,B
1704,I
1705,I
1706,I
1707,O
1708,O
1709,O
1710,O
1711,B
1712,B
1713,I
1714,O
1715,B
1716,I
1717,I
1718,I
1719,O
1720,B
1721,I
1722,O
1723,B
1724,B
1725,I
1726,I
1727,I
1728,I
1729,I
1730,O
1731,O
1732,O
1733,O
1734,O
1735,O
1736,O
1737,O
1738,O
1739,O
1740,O
1741,O
1742,B
1743,B
1744,I
1745,O
1746,O
1747,O
1748,O
1749,O
1750,B
1751,I
1752,I
1753,I
1754,I
1755,I
1756,I
1757,I
1758,I
1759,I
1760,O
1761,O
1762,B
1763,B
1764,O
1765,B
1766,B
1767,B
1768,I
1769,I
1770,O
1771,O
1772,O
1773,O
1774,O
1775,O
1776,O
1777,O
1778,O
1779,O
1780,O
1781,O
1782,O
1783,O
1784,O
1785,O
1786,O
1787,O
1788,O
1789,O
1790,O
1791,B
1792,B
1793,B
1794,I
1795,I
1796,I
1797,I
1798,I
1799,I
1800,O
1801,O
1802,O
1803,O
1804,O
1805,O
1806,O
1807,O
1808,O
1809,O
1810,O
1811,O
1812,O
1813,O
1814,O
1815,O
1816,O
1817,O
1818,O
1819,O
1820,O
1821,O
1822,O
1823,O
1824,O
1825,O
1826,O
1827,O
1828,B
1829,B
1830,I
1831,O
1832,B
1833,I
1834,I
1835,I
1836,I
1837,I
1838,I
1839,I
1840,I
1841,I
1842,I
1843,I
1844,I
1845,I
1846,B
1847,I
1848,B
1849,B
1850,I
1851,I
1852,I
1853,I
1854,O
1855,B
1856,B
1857,B
1858,B
1859,I
1860,I
1861,B
1862,I
1863,I
1864,I
1865,I
1866,I
1867,I
1868,I
1869,I
1870,O
1871,B
1872,I
1873,B
1874,B
1875,B
1876,I
1877,I
1878,I
1879,I
1880,I
1881,O
1882,B
1883,B
1884,I
1885,I
1886,I
1887,I
1888,I
1889,I
1890,B
1891,I
1892,I
1893,I
1894,I
1895,I
1896,I
1897,I
1898,I
1899,B
1900,I
1901,I
1902,I
1903,I
1904,I
1905,I
1906,I
1907,I
1908,I
1909,I
1910,I
1911,I
1912,I
1913,I
1914,I
1915,I
1916,I
1917,I
1918,I
1919,I
1920,I
1921,I
1922,I
1923,I
1924,O
1925,O
1926,O
1927,O
1928,O
1929,O
1930,O
1931,O
1932,O
1933,O
1934,O
1935,O
1936,O
1937,O
1938,O
1939,O
1940,O
1941,O
1942,O
1943,O
1944,O
1945,O
1946,O
1947,O
1948,O
1949,B
1950,O
1951,B
1952,I
1953,I
1954,I
1955,I
1956,I
1957,O
1958,B
1959,B
1960,I
1961,I
1962,B
1963,I
1964,I
1965,I
1966,I
1967,O
1968,O
1969,O
1970,O
1971,O
1972,O
1973,O
1974,O
1975,O
1976,O
1977,O
1978,B
1979,B
1980,I
1981,I
1982,I
1983,O
1984,O
1985,O
1986,O
1987,O
1988,O
1989,O
1990,O
1991,O
1992,O
1993,O
1994,O
1995,O
1996,O
1997,O
1998,O
1999,O
2000,O
2001,O
2002,O
2003,O
2004,O
2005,O
2006,O
2007,O
2008,O
2009,B
2010,I
2011,I
2012,O
2013,B
2014,I
2015,I
2016,I
2017,I
2018,I
2019,I
2020,I
2021,I
2022,I
2023,I
2024,I
2025,I
2026,I
2027,I
2028,I
2029,I
2030,I
2031,I
2032,I
2033,I
2034,B
2035,B
2036,I
2037,I
2038,I
2039,I
2040,I
2041,I
2042,I
2043,I
2044,I
2045,I
2046,I
2047,I
2048,I
2049,O
2050,B
2051,B
2052,B
2053,I
2054,I
2055,I
2056,I
2057,I
2058,I
2059,I
2060,I
2061,O
2062,O
2063,O
2064,O
2065,O
2066,O
2067,O
2068,O
2069,O
2070,O
2071,O
2072,O
2073,O
2074,O
2075,O
2076,O
2077,O
2078,O
2079,O
2080,O
2081,B
2082,B
2083,I
2084,I
2085,B
2086,I
2087,I
2088,I
2089,I
2090,O
2091,O
2092,O
2093,O
2094,O
2095,O
2096,O
2097,O
2098,O
2099,O
2100,O
2101,O
2102,O
2103,O
2104,O
2105,O
2106,O
2107,O
2108,B
2109,O
2110,O
2111,O
2112,O
2113,O
2114,O
2115,O
2116,O
2117,O
2118,O
2119,O
2120,O
2121,O
2122,O
2123,O
2124,B
2125,B
2126,I
2127,I
2128,I
2129,O
2130,B
2131,I
2132,I
2133,I
2134,I
2135,I
2136,O
2137,O
2138,O
2139,O
2140,O
2141,O
2142,O
2143,O
2144,O
2145,O
2146,O
2147,O
2148,O
2149,O
2150,O
2151,O
2152,O
2153,O
2154,O
2155,O
2156,O
2157,O
2158,O
2159,B
2160,B
2161,I
2162,I
2163,I
2164,I
2165,O
2166,O
2167,O
2168,O
2169,O
2170,O
2171,O
2172,O
2173,B
2174,B
2175,B
2176,I
2177,I
2178,I
2179,I
2180,I
2181,I
2182,I
2183,I
2184,I
2185,I
2186,I
2187,I
2188,I
2189,I
2190,I
2191,I
2192,I
2193,I
2194,O
2195,B
2196,I
2197,I
2198,I
2199,I
2200,I
2201,I
2202,I
2203,I
2204,I
2205,I
2206,I
2207,I
2208,O
2209,B
2210,B
2211,I
2212,I
2213,I
2214,I
2215,I
2216,I
2217,I
2218,O
2219,B
2220,I
2221,B
2222,B
2223,I
2224,I
2225,O
2226,O
2227,O
2228,O
2229,O
2230,O
2231,O
2232,O
2233,B
2234,B
2235,B
2236,I
2237,I
2238,I
2239,I
2240,I
2241,I
2242,I
2243,I
2244,I
2245,I
2246,I
2247,I
2248,I
2249,I
2250,I
2251,I
2252,I
2253,I
2254,O
2255,O
2256,O
2257,O
2258,O
2259,O
2260,O
2261,O
2262,O
2263,O
2264,O
2265,O
2266,O
2267,O
2268,O
2269,O
2270,O
2271,B
2272,B
2273,B
2274,I
2275,I
2276,I
2277,I
2278,I
2279,I
2280,I
2281,I
2282,I
2283,O
2284,O
2285,O
2286,O
2287,O
2288,O
2289,O
2290,O
2291,O
2292,O
2293,O
2294,O
2295,O
2296,O
2297,O
2298,O
2299,O
2300,O
2301,O
2302,O
2303,B
2304,B
2305,I
2306,I
2307,I
2308,I
2309,I
2310,I
2311,I
2312,O
2313,O
2314,O
2315,O
2316,O
2317,O
2318,B
2319,B
2320,I
2321,I
2322,I
2323,I
2324,I
2325,I
2326,I
2327,I
2328,I
2329,I
2330,I
2331,I
2332,O
2333,O
2334,O
2335,O
2336,O
2337,O
2338,O
2339,O
2340,O
2341,O
2342,O
2343,O
2344,O
2345,O
2346,O
2347,B
2348,B
2349,B
2350,I
2351,I
2352,O
2353,B
2354,I
2355,B
2356,B
2357,I
2358,B
2359,I
2360,I
2361,O
2362,B
2363,I
2364,I
2365,I
2366,I
2367,I
2368,I
2369,I
2370,I
2371,I
2372,I
2373,I
2374,I
2375,I
2376,I
2377,B
2378,B
2379,I
2380,I
2381,I
2382,I
2383,I
2384,I
2385,O
2386,O
2387,O
2388,O
2389,O
2390,O
2391,O
2392,O
2393,O
2394,O
2395,O
2396,O
2397,O
2398,O
2399,O
2400,O
2401,O
2402,O
2403,O
2404,O
2405,O
2406,O
2407,O
2408,O
2409,O
2410,O
2411,O
2412,O
2413,O
2414,O
2415,O
2416,O
2417,O
2418,O
2419,O
2420,O
2421,O
2422,O
2423,B
2424,O
2425,O
2426,B
2427,B
2428,I
2429,B
2430,I
2431,I
2432,I
2433,O
2434,O
2435,O
2436,O
2437,O
2438,O
2439,O
2440,O
2441,O
2442,O
2443,O
2444,O
2445,O
2446,O
2447,O
2448,O
2449,O
2450,O
2451,O
2452,O
2453,O
2454,O
2455,O
2456,O
2457,O
2458,O
2459,O
2460,O
2461,O
2462,O
2463,O
2464,O
2465,O
2466,B
2467,B
2468,I
2469,O
2470,B
2471,B
2472,I
2473,I
2474,I
2475,I
2476,I
2477,I
2478,I
2479,I
2480,I
2481,I
2482,I
2483,I
2484,I
2485,I
2486,I
2487,O
2488,O
2489,O
2490,O
2491,O
2492,B
2493,B
2494,I
2495,I
2496,I
2497,I
2498,I
2499,B
2500,I
2501,I
2502,I
2503,I
2504,I
2505,O
2506,B
2507,B
2508,I
2509,I
2510,I
2511,I
2512,I
2513,I
2514,I
2515,I
2516,I
2517,I
2518,I
2519,I
2520,O
2521,O
2522,O
2523,B
2524,I
2525,I
2526,I
2527,O
2528,B
2529,O
2530,B
2531,B
2532,I
2533,I
2534,I
2535,O
2536,B
2537,B
2538,I
2539,O
2540,B
2541,I
2542,I
2543,O
2544,B
2545,I
2546,B
2547,B
2548,O
2549,B
2550,B
2551,B
2552,B
2553,B
2554,I
2555,I
2556,I
2557,I
2558,I
2559,I
2560,O
2561,B
2562,I
2563,I
2564,I
2565,B
2566,B
2567,I
2568,I
2569,I
2570,I
2571,I
2572,I
2573,I
2574,I
2575,I
2576,I
2577,I
2578,I
2579,I
2580,O
2581,O
2582,O
2583,O
2584,O
2585,O
2586,O
2587,O
2588,O
2589,O
2590,B
2591,B
2592,O
2593,O
2594,O
2595,O
2596,O
2597,O
2598,O
2599,O
2600,O
2601,O
2602,O
2603,O
2604,O
2605,O
2606,O
2607,O
2608,O
2609,O
2610,O
2611,O
2612,O
2613,B
2614,B
2615,B
2616,B
2617,I
2618,I
2619,I
2620,O
2621,B
2622,I
2623,I
2624,I
2625,I
2626,I
2627,B
2628,B
2629,I
2630,I
2631,I
2632,I
2633,I
2634,I
2635,I
2636,I
2637,I
2638,I
2639,I
2640,I
2641,I
2642,I
2643,I
2644,I
2645,I
2646,I
2647,I
2648,I
2649,I
2650,O
2651,O
2652,O
2653,O
2654,O
2655,O
2656,O
2657,O
2658,O
2659,O
2660,O
2661,B
2662,B
2663,I
2664,I
2665,I
2666,I
2667,B
2668,I
2669,I
2670,I
2671,I
2672,I
2673,I
2674,I
2675,I
2676,I
2677,I
2678,I
2679,I
2680,O
2681,O
2682,O
2683,O
2684,B
2685,I
2686,B
2687,B
2688,I
2689,O
2690,O
2691,O
2692,O
2693,O
2694,O
2695,O
2696,O
2697,O
2698,O
2699,O
2700,O
2701,O
2702,O
2703,O
2704,O
2705,O
2706,O
2707,B
2708,B
2709,I
2710,O
2711,B
2712,I
2713,I
2714,O
2715,B
2716,I
2717,I
2718,O
2719,B
2720,I
2721,I
2722,I
2723,I
2724,O
2725,B
2726,B
2727,I
2728,I
2729,O
2730,B
2731,I
2732,I
2733,O
2734,O
2735,B
2736,B
2737,I
2738,I
2739,I
2740,I
2741,I
2742,I
2743,I
2744,I
2745,I
2746,I
2747,I
2748,I
2749,O
2750,O
2751,B
2752,B
2753,B
2754,I
2755,I
2756,I
2757,I
2758,I
2759,O
2760,B
2761,I
2762,I
2763,I
2764,I
2765,I
2766,I
2767,I
2768,I
2769,O
2770,O
2771,B
2772,B
2773,O
2774,O
2775,B
2776,B
2777,I
2778,I
2779,I
2780,I
2781,I
2782,I
2783,O
2784,O
2785,O
2786,O
2787,O
2788,O
2789,O
2790,O
2791,O
2792,O
2793,O
2794,O
2795,O
2796,O
2797,O
2798,O
2799,O
2800,O
2801,O
2802,O
2803,O
2804,O
2805,O
2806,O
2807,O
2808,B
2809,I
2810,B
2811,B
2812,B
2813,B
2814,I
2815,I
2816,I
2817,I
2818,I
2819,I
2820,I
2821,O
2822,O
2823,O
2824,O
2825,O
2826,O
2827,O
2828,O
2829,O
2830,O
2831,O
2832,O
2833,O
2834,O
2835,O
2836,O
2837,O
2838,B
2839,I
2840,I
2841,B
2842,B
2843,I
2844,I
2845,O
2846,B
2847,I
2848,I
2849,I
2850,I
2851,B
2852,B
2853,B
2854,I
2855,I
2856,I
2857,I
2858,I
2859,I
2860,I
2861,I
2862,O
2863,O
2864,B
2865,O
2866,B
2867,B
2868,I
2869,I
2870,O
2871,B
2872,B
2873,B
2874,B
2875,I
2876,I
2877,I
2878,O
2879,O
2880,B
2881,B
2882,B
2883,I
2884,I
2885,I
2886,I
2887,O
2888,O
2889,O
2890,O
2891,O
2892,O
2893,O
2894,O
2895,O
2896,O
2897,B
2898,I
2899,I
2900,I
2901,I
2902,I
2903,I
2904,I
2905,I
2906,B
2907,O
2908,B
2909,B
2910,I
2911,I
2912,I
2913,I
2914,I
2915,O
2916,B
2917,I
2918,I
2919,I
2920,I
2921,I
2922,I
2923,I
2924,I
2925,B
2926,B
2927,I
2928,I
2929,I
2930,I
2931,I
2932,I
2933,I
2934,I
2935,I
2936,I
2937,I
2938,I
2939,O
2940,O
2941,O
2942,B
2943,B
2944,B
2945,I
2946,B
2947,I
2948,I
2949,I
2950,I
2951,I
2952,I
2953,I
2954,I
2955,I
2956,I
2957,I
2958,I
2959,I
2960,O
2961,O
2962,O
2963,O
2964,O
2965,O
2966,O
2967,O
2968,O
2969,O
2970,O
2971,B
2972,I
2973,I
2974,I
2975,I
2976,I
2977,I
2978,I
2979,I
2980,I
2981,I
2982,I
2983,I
2984,I
2985,I
2986,I
2987,I
2988,I
2989,I
2990,I
2991,I
2992,B
2993,B
2994,I
2995,I
2996,I
2997,I
