,IOB
417,O
418,O
419,O
420,O
421,B-A0
422,I-A0
423,I-A0
424,I-A0
425,I-A0
426,I-A0
427,I-A0
428,I-A0
429,I-A0
430,I-A0
431,I-A0
432,I-A0
433,O
434,B-V
435,B-A1
436,I-A1
437,I-A1
438,I-A1
439,I-A1
440,B-A2
441,I-A2
442,I-A2
443,O
444,B-AM-TMP
445,I-AM-TMP
446,I-AM-TMP
447,I-AM-TMP
448,I-AM-TMP
449,I-AM-TMP
450,I-AM-TMP
451,I-AM-TMP
452,I-AM-TMP
453,O
454,B-V
455,B-A2
456,I-A2
457,B-A1
458,I-A1
459,I-A1
460,I-A1
461,O
462,O
463,O
464,O
465,O
466,O
467,O
468,O
469,O
470,O
471,O
472,O
473,O
474,O
475,B-V
476,B-A1
477,I-A1
478,I-A1
479,O
480,B-A0
481,I-A0
482,I-A0
483,I-A0
484,I-A0
485,B-AM-DIS
486,B-V
487,B-A1
488,I-A1
489,O
490,B-A1
491,I-A1
492,I-A1
493,I-A1
494,I-A1
495,I-A1
496,I-A1
497,I-A1
498,O
499,B-V
500,B-AM-LOC
501,I-AM-LOC
502,B-A3
503,I-A3
504,I-A3
505,O
506,B-A1
507,I-A1
508,O
509,B-V
510,B-A2
511,I-A2
512,I-A2
513,I-A2
514,I-A2
515,I-A2
516,I-A2
517,I-A2
518,I-A2
519,I-A2
520,O
521,B-A1
522,I-A1
523,I-A1
524,I-A1
525,I-A1
526,I-A1
527,I-A1
528,I-A1
529,I-A1
530,I-A1
531,O
532,B-V
533,B-A3
534,I-A3
535,I-A3
536,I-A3
537,I-A3
538,I-A3
539,I-A3
540,I-A3
541,O
542,B-AM-TMP
543,I-AM-TMP
544,I-AM-TMP
545,O
546,B-A0
547,I-A0
548,I-A0
549,I-A0
550,I-A0
551,I-A0
552,I-A0
553,I-A0
554,I-A0
555,B-V
556,B-A1
557,I-A1
558,I-A1
559,I-A1
560,I-A1
561,I-A1
562,I-A1
563,I-A1
564,I-A1
565,I-A1
566,I-A1
567,I-A1
568,I-A1
569,I-A1
570,I-A1
571,I-A1
572,I-A1
573,I-A1
574,I-A1
575,O
576,O
577,O
578,O
579,O
580,O
581,O
582,O
583,O
584,O
585,O
586,O
587,O
588,O
589,O
590,O
591,O
592,O
593,O
594,O
595,O
596,B-V
597,B-A1
598,I-A1
599,I-A1
600,I-A1
601,I-A1
602,I-A1
603,I-A1
604,I-A1
605,I-A1
606,I-A1
607,I-A1
608,I-A1
609,O
610,O
611,O
612,O
613,O
614,O
615,O
616,O
617,O
618,O
619,O
620,O
621,O
622,O
623,O
624,O
625,O
626,O
627,O
628,O
629,O
630,O
631,O
632,O
633,O
634,O
635,O
636,O
637,B-V
638,B-A1
639,I-A1
640,B-A2
641,I-A2
642,I-A2
643,O
644,B-A0
645,I-A0
646,I-A0
647,I-A0
648,I-A0
649,I-A0
650,I-A0
651,I-A0
652,I-A0
653,I-A0
654,B-V
655,B-AM-TMP
656,B-A1
657,I-A1
658,I-A1
659,I-A1
660,I-A1
661,I-A1
662,I-A1
663,I-A1
664,I-A1
665,I-A1
666,I-A1
667,I-A1
668,I-A1
669,I-A1
670,I-A1
671,I-A1
672,I-A1
673,I-A1
674,O
675,O
676,O
677,O
678,O
679,O
680,O
681,O
682,O
683,O
684,O
685,O
686,O
687,O
688,B-A0
689,I-A0
690,I-A0
691,I-A0
692,I-A0
693,I-A0
694,I-A0
695,B-AM-NEG
696,O
697,B-V
698,B-A1
699,I-A1
700,B-AM-CAU
701,I-AM-CAU
702,I-AM-CAU
703,I-AM-CAU
704,I-AM-CAU
705,O
706,O
707,O
708,O
709,O
710,O
711,O
712,O
713,O
714,O
715,O
716,O
717,O
718,O
719,O
720,O
721,O
722,O
723,O
724,O
725,B-A0
726,O
727,O
728,O
729,O
730,O
731,O
732,B-AM-NEG
733,B-V
734,B-A1
735,I-A1
736,O
737,B-A0
738,I-A0
739,I-A0
740,I-A0
741,I-A0
742,I-A0
743,B-V
744,B-A2
745,I-A2
746,I-A2
747,B-A1
748,I-A1
749,I-A1
750,O
751,O
752,B-AM-NEG
753,B-V
754,B-A1
755,I-A1
756,I-A1
757,I-A1
758,I-A1
759,I-A1
760,I-A1
761,I-A1
762,I-A1
763,I-A1
764,O
765,O
766,O
767,O
768,O
769,O
770,O
771,O
772,O
773,O
774,O
775,O
776,O
777,O
778,O
779,B-AM-CAU
780,I-AM-CAU
781,I-AM-CAU
782,I-AM-CAU
783,I-AM-CAU
784,I-AM-CAU
785,I-AM-CAU
786,I-AM-CAU
787,I-AM-CAU
788,I-AM-CAU
789,I-AM-CAU
790,I-AM-CAU
791,I-AM-CAU
792,O
793,B-A1
794,I-A1
795,O
796,B-V
797,B-A2
798,I-A2
799,I-A2
800,I-A2
801,I-A2
802,B-AM-MNR
803,I-AM-MNR
804,I-AM-MNR
805,I-AM-MNR
806,I-AM-MNR
807,O
808,O
809,O
810,O
811,O
812,O
813,O
814,O
815,O
816,B-V
817,B-A1
818,I-A1
819,I-A1
820,I-A1
821,O
822,O
823,O
824,O
825,O
826,O
827,O
828,O
829,O
830,O
831,O
832,O
833,O
834,O
835,O
836,O
837,O
838,O
839,O
840,O
841,O
842,O
843,O
844,O
845,B-AM-TMP
846,O
847,B-AM-CAU
848,I-AM-CAU
849,I-AM-CAU
850,I-AM-CAU
851,I-AM-CAU
852,I-AM-CAU
853,I-AM-CAU
854,I-AM-CAU
855,I-AM-CAU
856,I-AM-CAU
857,I-AM-CAU
858,I-AM-CAU
859,O
860,B-A0
861,I-A0
862,B-V
863,B-A2
864,I-A2
865,I-A2
866,B-A1
867,I-A1
868,I-A1
869,I-A1
870,I-A1
871,O
872,B-AM-ADV
873,I-AM-ADV
874,I-AM-ADV
875,I-AM-ADV
876,I-AM-ADV
877,I-AM-ADV
878,I-AM-ADV
879,I-AM-ADV
880,I-AM-ADV
881,I-AM-ADV
882,O
883,O
884,O
885,O
886,O
887,O
888,O
889,O
890,O
891,O
892,O
893,O
894,O
895,O
896,O
897,O
898,B-A0
899,I-A0
900,O
901,O
902,O
903,O
904,O
905,O
906,O
907,O
908,O
909,O
910,B-V
911,B-A4
912,I-A4
913,I-A4
914,I-A4
915,B-A1
916,I-A1
917,I-A1
918,I-A1
919,I-A1
920,O
921,B-A0
922,I-A0
923,B-V
924,B-A1
925,I-A1
926,I-A1
927,I-A1
928,I-A1
929,I-A1
930,I-A1
931,I-A1
932,O
933,O
934,O
935,O
936,O
937,O
938,O
939,O
940,O
941,O
942,O
943,O
944,O
945,O
946,O
947,O
948,O
949,O
950,O
951,O
952,O
953,O
954,O
955,O
956,O
957,O
958,B-A0
959,I-A0
960,I-A0
961,O
962,O
963,B-AM-NEG
964,B-V
965,B-A1
966,I-A1
967,I-A1
968,I-A1
969,I-A1
970,O
971,B-V
972,B-A1
973,I-A1
974,I-A1
975,I-A1
976,I-A1
977,I-A1
978,I-A1
979,I-A1
980,I-A1
981,I-A1
982,I-A1
983,I-A1
984,I-A1
985,I-A1
986,I-A1
987,I-A1
988,I-A1
989,I-A1
990,I-A1
991,I-A1
992,I-A1
993,I-A1
994,I-A1
995,I-A1
996,I-A1
997,I-A1
998,I-A1
999,I-A1
1000,I-A1
1001,I-A1
1002,I-A1
1003,I-A1
1004,I-A1
1005,O
1006,O
1007,O
1008,O
1009,O
1010,O
1011,O
1012,O
1013,O
1014,O
1015,O
1016,B-A0
1017,B-V
1018,B-AM-LOC
1019,I-AM-LOC
1020,I-AM-LOC
1021,I-AM-LOC
1022,I-AM-LOC
1023,I-AM-LOC
1024,I-AM-LOC
1025,I-AM-LOC
1026,I-AM-LOC
1027,I-AM-LOC
1028,B-A1
1029,I-A1
1030,I-A1
1031,I-A1
1032,I-A1
1033,I-A1
1034,I-A1
1035,I-A1
1036,I-A1
1037,I-A1
1038,I-A1
1039,I-A1
1040,O
1041,B-AM-LOC
1042,B-AM-ADV
1043,B-V
1044,B-A0
1045,I-A0
1046,I-A0
1047,O
1048,O
1049,O
1050,O
1051,B-A1
1052,B-V
1053,B-A2
1054,O
1055,B-A0
1056,B-V
1057,B-A1
1058,I-A1
1059,B-AM-CAU
1060,I-AM-CAU
1061,I-AM-CAU
1062,I-AM-CAU
1063,I-AM-CAU
1064,I-AM-CAU
1065,I-AM-CAU
1066,I-AM-CAU
1067,I-AM-CAU
1068,O
1069,O
1070,O
1071,O
1072,O
1073,O
1074,B-V
1075,B-A1
1076,I-A1
1077,I-A1
1078,I-A1
1079,I-A1
1080,I-A1
1081,I-A1
1082,O
1083,O
1084,O
1085,O
1086,O
1087,O
1088,O
1089,B-A0
1090,B-V
1091,B-A1
1092,I-A1
1093,B-AM-LOC
1094,I-AM-LOC
1095,I-AM-LOC
1096,O
1097,B-A0
1098,B-AM-ADV
1099,B-AM-NEG
1100,B-V
1101,B-AM-CAU
1102,I-AM-CAU
1103,I-AM-CAU
1104,I-AM-CAU
1105,O
1106,B-A1
1107,O
1108,O
1109,O
1110,O
1111,B-AM-NEG
1112,B-V
1113,B-A2
1114,O
1115,B-AM-DIS
1116,O
1117,O
1118,B-A2
1119,B-A0
1120,I-A0
1121,B-V
1122,B-A1
1123,I-A1
1124,I-A1
1125,I-A1
1126,I-A1
1127,I-A1
1128,I-A1
1129,O
1130,B-A0
1131,I-A0
1132,I-A0
1133,B-V
1134,B-A1
1135,I-A1
1136,I-A1
1137,I-A1
1138,O
1139,O
1140,O
1141,O
1142,O
1143,O
1144,O
1145,O
1146,O
1147,O
1148,O
1149,O
1150,B-V
1151,B-A1
1152,I-A1
1153,I-A1
1154,O
1155,O
1156,O
1157,O
1158,O
1159,O
1160,O
1161,O
1162,O
1163,O
1164,O
1165,O
1166,O
1167,O
1168,O
1169,O
1170,O
1171,O
1172,B-A0
1173,I-A0
1174,B-V
1175,B-A1
1176,I-A1
1177,O
1178,O
1179,O
1180,O
1181,B-V
1182,B-A1
1183,I-A1
1184,I-A1
1185,I-A1
1186,I-A1
1187,I-A1
1188,I-A1
1189,I-A1
1190,O
1191,O
1192,O
1193,O
1194,O
1195,O
1196,B-A0
1197,I-A0
1198,O
1199,O
1200,O
1201,O
1202,O
1203,O
1204,O
1205,O
1206,O
1207,O
1208,O
1209,B-V
1210,B-A1
1211,I-A1
1212,I-A1
1213,O
1214,O
1215,B-A0
1216,B-V
1217,B-A1
1218,I-A1
1219,O
1220,O
1221,O
1222,O
1223,O
1224,O
1225,O
1226,O
1227,O
1228,O
1229,B-AM-ADV
1230,B-A0
1231,O
1232,O
1233,O
1234,O
1235,B-V
1236,B-A1
1237,I-A1
1238,O
1239,O
1240,O
1241,O
1242,O
1243,O
1244,O
1245,B-A0
1246,O
1247,O
1248,O
1249,O
1250,O
1251,O
1252,O
1253,O
1254,B-V
1255,B-A1
1256,I-A1
1257,I-A1
1258,O
1259,B-A0
1260,I-A0
1261,I-A0
1262,I-A0
1263,I-A0
1264,O
1265,B-V
1266,B-AM-MNR
1267,I-AM-MNR
1268,B-A1
1269,I-A1
1270,I-A1
1271,I-A1
1272,I-A1
1273,I-A1
1274,I-A1
1275,I-A1
1276,I-A1
1277,O
1278,O
1279,O
1280,O
1281,O
1282,O
1283,B-A0
1284,B-V
1285,B-A1
1286,I-A1
1287,I-A1
1288,I-A1
1289,I-A1
1290,O
1291,O
1292,O
1293,O
1294,O
1295,O
1296,O
1297,O
1298,O
1299,O
1300,O
1301,O
1302,B-A2
1303,I-A2
1304,I-A2
1305,I-A2
1306,I-A2
1307,I-A2
1308,I-A2
1309,I-A2
1310,I-A2
1311,I-A2
1312,I-A2
1313,I-A2
1314,B-AM-NEG
1315,O
1316,O
1317,B-V
1318,B-AM-TMP
1319,B-A1
1320,I-A1
1321,I-A1
1322,I-A1
1323,I-A1
1324,I-A1
1325,O
1326,B-A0
1327,I-A0
1328,I-A0
1329,I-A0
1330,I-A0
1331,I-A0
1332,I-A0
1333,I-A0
1334,I-A0
1335,I-A0
1336,B-V
1337,B-A1
1338,I-A1
1339,I-A1
1340,I-A1
1341,I-A1
1342,I-A1
1343,I-A1
1344,I-A1
1345,I-A1
1346,I-A1
1347,I-A1
1348,O
1349,B-A0
1350,I-A0
1351,I-A0
1352,I-A0
1353,I-A0
1354,I-A0
1355,I-A0
1356,I-A0
1357,I-A0
1358,I-A0
1359,O
1360,O
1361,B-V
1362,B-A1
1363,I-A1
1364,I-A1
1365,I-A1
1366,I-A1
1367,I-A1
1368,I-A1
1369,I-A1
1370,I-A1
1371,O
1372,O
1373,O
1374,O
1375,O
1376,O
1377,O
1378,O
1379,O
1380,O
1381,O
1382,O
1383,O
1384,O
1385,B-V
1386,B-A1
1387,I-A1
1388,B-AM-LOC
1389,I-AM-LOC
1390,I-AM-LOC
1391,I-AM-LOC
1392,I-AM-LOC
1393,B-AM-TMP
1394,O
1395,B-A0
1396,B-V
1397,B-AM-DIS
1398,B-A1
1399,I-A1
1400,I-A1
1401,I-A1
1402,I-A1
1403,I-A1
1404,I-A1
1405,I-A1
1406,I-A1
1407,I-A1
1408,I-A1
1409,I-A1
1410,I-A1
1411,I-A1
1412,I-A1
1413,I-A1
1414,I-A1
1415,I-A1
1416,I-A1
1417,I-A1
1418,I-A1
1419,I-A1
1420,I-A1
1421,I-A1
1422,O
1423,O
1424,O
1425,O
1426,O
1427,B-A0
1428,I-A0
1429,O
1430,B-V
1431,B-A1
1432,I-A1
1433,I-A1
1434,I-A1
1435,I-A1
1436,I-A1
1437,I-A1
1438,I-A1
1439,I-A1
1440,I-A1
1441,I-A1
1442,I-A1
1443,I-A1
1444,I-A1
1445,I-A1
1446,I-A1
1447,I-A1
1448,I-A1
1449,I-A1
1450,O
1451,O
1452,O
1453,O
1454,O
1455,O
1456,O
1457,O
1458,O
1459,O
1460,O
1461,O
1462,O
1463,O
1464,B-V
1465,B-AM-PNC
1466,I-AM-PNC
1467,I-AM-PNC
1468,I-AM-PNC
1469,I-AM-PNC
1470,I-AM-PNC
1471,I-AM-PNC
1472,I-AM-PNC
1473,I-AM-PNC
1474,I-AM-PNC
1475,I-AM-PNC
1476,I-AM-PNC
1477,I-AM-PNC
1478,O
1479,O
1480,B-A0
1481,I-A0
1482,O
1483,B-V
1484,B-AM-LOC
1485,I-AM-LOC
1486,I-AM-LOC
1487,I-AM-LOC
1488,I-AM-LOC
1489,I-AM-LOC
1490,I-AM-LOC
1491,I-AM-LOC
1492,I-AM-LOC
1493,I-AM-LOC
1494,I-AM-LOC
1495,I-AM-LOC
1496,I-AM-LOC
1497,I-AM-LOC
1498,O
1499,O
1500,O
1501,O
1502,O
1503,B-A1
1504,I-A1
1505,I-A1
1506,I-A1
1507,I-A1
1508,I-A1
1509,I-A1
1510,I-A1
1511,I-A1
1512,I-A1
1513,I-A1
1514,I-A1
1515,I-A1
1516,I-A1
1517,I-A1
1518,I-A1
1519,I-A1
1520,I-A1
1521,I-A1
1522,I-A1
1523,O
1524,B-V
1525,B-A0
1526,O
1527,B-A0
1528,I-A0
1529,I-A0
1530,I-A0
1531,I-A0
1532,I-A0
1533,I-A0
1534,B-V
1535,B-A1
1536,I-A1
1537,I-A1
1538,I-A1
1539,I-A1
1540,I-A1
1541,I-A1
1542,I-A1
1543,I-A1
1544,I-A1
1545,I-A1
1546,I-A1
1547,I-A1
1548,I-A1
1549,I-A1
1550,I-A1
1551,O
1552,O
1553,O
1554,O
1555,O
1556,O
1557,O
1558,O
1559,O
1560,O
1561,B-A0
1562,I-A0
1563,O
1564,B-V
1565,B-C-V
1566,B-A2
1567,I-A2
1568,I-A2
1569,B-AM-MNR
1570,I-AM-MNR
1571,O
1572,O
1573,O
1574,O
1575,O
1576,O
1577,O
1578,O
1579,O
1580,O
1581,O
1582,O
1583,O
1584,O
1585,O
1586,B-A1
1587,I-A1
1588,O
1589,O
1590,O
1591,O
1592,O
1593,O
1594,O
1595,O
1596,O
1597,B-V
1598,B-A2
1599,I-A2
1600,O
1601,O
1602,B-A1
1603,I-A1
1604,I-A1
1605,I-A1
1606,B-V
1607,B-A2
1608,I-A2
1609,I-A2
1610,O
1611,B-A1
1612,I-A1
1613,I-A1
1614,I-A1
1615,I-A1
1616,I-A1
1617,I-A1
1618,I-A1
1619,I-A1
1620,I-A1
1621,I-A1
1622,I-A1
1623,I-A1
1624,I-A1
1625,I-A1
1626,I-A1
1627,I-A1
1628,I-A1
1629,I-A1
1630,I-A1
1631,I-A1
1632,I-A1
1633,I-A1
1634,O
1635,B-V
1636,B-A0
1637,I-A0
1638,I-A0
1639,I-A0
1640,I-A0
1641,I-A0
1642,I-A0
1643,I-A0
1644,I-A0
1645,I-A0
1646,I-A0
1647,I-A0
1648,I-A0
1649,I-A0
1650,O
1651,O
1652,O
1653,O
1654,O
1655,O
1656,O
1657,O
1658,O
1659,O
1660,O
1661,O
1662,O
1663,O
1664,O
1665,O
1666,O
1667,O
1668,O
1669,O
1670,O
1671,O
1672,O
1673,O
1674,O
1675,O
1676,O
1677,O
1678,O
1679,O
1680,B-A0
1681,B-AM-NEG
1682,B-V
1683,B-A1
1684,I-A1
1685,I-A1
1686,B-AM-LOC
1687,I-AM-LOC
1688,I-AM-LOC
1689,I-AM-LOC
1690,O
1691,O
1692,O
1693,O
1694,O
1695,O
1696,O
1697,B-V
1698,B-A1
1699,I-A1
1700,O
1701,O
1702,O
1703,O
1704,O
1705,O
1706,O
1707,O
1708,O
1709,O
1710,O
1711,O
1712,O
1713,O
1714,B-AM-LOC
1715,I-AM-LOC
1716,I-AM-LOC
1717,O
1718,B-AM-TMP
1719,I-AM-TMP
1720,I-AM-TMP
1721,I-AM-TMP
1722,O
1723,O
1724,O
1725,O
1726,B-V
1727,B-A1
1728,I-A1
1729,O
1730,B-AM-PNC
1731,I-AM-PNC
1732,I-AM-PNC
1733,I-AM-PNC
1734,O
1735,B-AM-TMP
1736,I-AM-TMP
1737,O
1738,B-V
1739,B-A1
1740,I-A1
1741,I-A1
1742,I-A1
1743,I-A1
1744,I-A1
1745,O
1746,O
1747,O
1748,O
1749,O
1750,O
1751,O
1752,O
1753,O
1754,O
1755,O
1756,O
1757,B-V
1758,B-A1
1759,I-A1
1760,O
1761,O
1762,O
1763,O
1764,O
1765,B-A1
1766,I-A1
1767,I-A1
1768,I-A1
1769,I-A1
1770,I-A1
1771,I-A1
1772,I-A1
1773,I-A1
1774,I-A1
1775,O
1776,O
1777,B-V
1778,B-A0
1779,O
1780,B-A1
1781,B-V
1782,B-A2
1783,I-A2
1784,I-A2
1785,O
1786,O
1787,O
1788,O
1789,O
1790,O
1791,O
1792,O
1793,O
1794,O
1795,O
1796,O
1797,O
1798,O
1799,O
1800,O
1801,O
1802,O
1803,O
1804,O
1805,O
1806,B-A1
1807,B-V
1808,B-A3
1809,I-A3
1810,I-A3
1811,I-A3
1812,I-A3
1813,I-A3
1814,I-A3
1815,O
1816,O
1817,O
1818,O
1819,O
1820,O
1821,O
1822,O
1823,O
1824,O
1825,O
1826,O
1827,O
1828,O
1829,O
1830,O
1831,O
1832,O
1833,O
1834,O
1835,O
1836,O
1837,O
1838,O
1839,O
1840,O
1841,O
1842,O
1843,B-V
1844,B-A1
1845,I-A1
1846,O
1847,B-AM-PRD
1848,I-AM-PRD
1849,I-AM-PRD
1850,I-AM-PRD
1851,I-AM-PRD
1852,I-AM-PRD
1853,I-AM-PRD
1854,I-AM-PRD
1855,I-AM-PRD
1856,I-AM-PRD
1857,I-AM-PRD
1858,I-AM-PRD
1859,I-AM-PRD
1860,I-AM-PRD
1861,B-A0
1862,I-A0
1863,B-V
1864,B-A1
1865,I-A1
1866,I-A1
1867,I-A1
1868,I-A1
1869,O
1870,B-A0
1871,B-AM-DIS
1872,B-V
1873,B-A2
1874,I-A2
1875,I-A2
1876,B-A1
1877,I-A1
1878,I-A1
1879,I-A1
1880,I-A1
1881,I-A1
1882,I-A1
1883,I-A1
1884,I-A1
1885,O
1886,B-A1
1887,I-A1
1888,B-V
1889,B-A2
1890,B-AM-TMP
1891,I-AM-TMP
1892,I-AM-TMP
1893,I-AM-TMP
1894,I-AM-TMP
1895,I-AM-TMP
1896,O
1897,B-V
1898,B-AM-TMP
1899,I-AM-TMP
1900,I-AM-TMP
1901,I-AM-TMP
1902,I-AM-TMP
1903,I-AM-TMP
1904,I-AM-TMP
1905,B-A1
1906,I-A1
1907,I-A1
1908,I-A1
1909,I-A1
1910,I-A1
1911,I-A1
1912,I-A1
1913,I-A1
1914,B-AM-TMP
1915,I-AM-TMP
1916,I-AM-TMP
1917,I-AM-TMP
1918,I-AM-TMP
1919,I-AM-TMP
1920,I-AM-TMP
1921,I-AM-TMP
1922,I-AM-TMP
1923,I-AM-TMP
1924,I-AM-TMP
1925,I-AM-TMP
1926,I-AM-TMP
1927,I-AM-TMP
1928,I-AM-TMP
1929,I-AM-TMP
1930,I-AM-TMP
1931,I-AM-TMP
1932,I-AM-TMP
1933,I-AM-TMP
1934,I-AM-TMP
1935,I-AM-TMP
1936,I-AM-TMP
1937,I-AM-TMP
1938,I-AM-TMP
1939,O
1940,O
1941,O
1942,O
1943,O
1944,O
1945,O
1946,O
1947,O
1948,O
1949,O
1950,O
1951,O
1952,O
1953,O
1954,O
1955,O
1956,O
1957,O
1958,O
1959,O
1960,O
1961,O
1962,O
1963,O
1964,B-A0
1965,O
1966,B-AM-TMP
1967,I-AM-TMP
1968,I-AM-TMP
1969,I-AM-TMP
1970,I-AM-TMP
1971,I-AM-TMP
1972,O
1973,B-V
1974,B-A1
1975,I-A1
1976,I-A1
1977,B-A2
1978,I-A2
1979,I-A2
1980,I-A2
1981,I-A2
1982,O
1983,O
1984,O
1985,O
1986,O
1987,O
1988,O
1989,O
1990,O
1991,O
1992,O
1993,B-V
1994,B-A1
1995,I-A1
1996,I-A1
1997,I-A1
1998,O
1999,O
2000,O
2001,O
2002,O
2003,O
2004,O
2005,O
2006,O
2007,O
2008,O
2009,O
2010,O
2011,O
2012,O
2013,O
2014,O
2015,O
2016,O
2017,O
2018,O
2019,O
2020,O
2021,O
2022,O
2023,O
2024,B-AM-DIS
2025,I-AM-DIS
2026,I-AM-DIS
2027,O
2028,B-A0
2029,I-A0
2030,I-A0
2031,I-A0
2032,I-A0
2033,I-A0
2034,I-A0
2035,I-A0
2036,I-A0
2037,I-A0
2038,I-A0
2039,I-A0
2040,I-A0
2041,I-A0
2042,I-A0
2043,I-A0
2044,I-A0
2045,I-A0
2046,I-A0
2047,I-A0
2048,I-A0
2049,B-V
2050,B-A1
2051,I-A1
2052,I-A1
2053,I-A1
2054,I-A1
2055,I-A1
2056,I-A1
2057,I-A1
2058,I-A1
2059,I-A1
2060,I-A1
2061,I-A1
2062,I-A1
2063,I-A1
2064,O
2065,B-A0
2066,B-V
2067,B-A1
2068,I-A1
