,ID,S,P,FORM,LEMMA,GPOS,MORF,DTREE,FUNC,CTREE,PRED,ARG0,ARG1,ARG2,ARG3,ARG4,ARG5,ARG6
140,21,9,14,.,-,PU,-,18,PU,*),-,*,,,,,,
141,1,10,14,Manchete,Manchete,PROP,F|S,2,SUBJ,(FCL(NP*),-,(A0*),,,,,,
142,2,10,15,estréia,estrear,V-FIN,PR|3S|IND,0,STA,(VP*),estrear,(V*),,,,,,
143,3,10,15,novo,novo,ADJ,M|S,4,>N,(NP*,-,(A1*,,,,,,
144,4,10,15,jornalístico,jornalístico,N,M|S,2,ACC,*)),-,*),,,,,,
145,1,11,15,«,-,PU,-,4,PU,(FCL*,-,*,,,,,,
146,2,11,15,Câmera_Manchete,Câmera_Manchete,PROP,M|S,4,SUBJ,(NP*),-,*,,,,,,
147,3,11,15,»,-,PU,-,4,PU,*,-,*,,,,,,
148,4,11,15,é,ser,V-FIN,PR|3S|IND,0,STA,(VP*),-,*,,,,,,
149,5,11,15,o,o,ART,M|S,6,>N,(NP*,-,*,,,,,,
150,6,11,15,nome,nome,N,M|S,4,SC,*,-,*,,,,,,
151,7,11,15,de,de,PRP,-,6,N<,(PP*,-,*,,,,,,
152,8,11,15,o,o,ART,M|S,10,>N,(NP*,-,*,,,,,,
153,9,11,15,novo,novo,ADJ,M|S,10,>N,*,-,*,,,,,,
154,10,11,15,programa,programa,N,M|S,7,P<,*,-,*,,,,,,
155,11,11,15,jornalístico,jornalístico,ADJ,M|S,10,N<,(ADJP*),-,*,,,,,,
156,12,11,15,que,que,PRON-INDP,M|S,13,SUBJ,(FCL(NP*),-,(A1*),,,,,,
157,13,11,16,estréia,estrear,V-FIN,PR|3S|IND,10,N<,(VP*),estrear,(V*),,,,,,
158,14,11,16,quarta-feira,quarta-feira,N,F|S,13,ADVL,(NP*),-,(AM-TMP*),,,,,,
159,15,11,16,",",-,PU,-,13,PU,*,-,*,,,,,,
160,16,11,16,a,a,PRP,-,13,ADVL,(PP*,-,(AM-TMP*,,,,,,
161,17,11,16,as,o,ART,F|P,18,>N,(NP*,-,*,,,,,,
162,18,11,16,22h30,22h30,N,F|P,16,P<,*)),-,*),,,,,,
163,19,11,16,",",-,PU,-,13,PU,*,-,*,,,,,,
164,20,11,16,em,em,PRP,-,13,ADVL,(PP*,-,(AM-LOC*,,,,,,
165,21,11,16,a,o,ART,F|S,22,>N,(NP*,-,*,,,,,,
166,22,11,16,Rede_Manchete,Rede_Manchete,PROP,F|S,20,P<,*)))))),-,*),,,,,,
167,23,11,16,.,-,PU,-,4,PU,*),-,*,,,,,,
168,1,12,16,Sob,sob,PRP,-,9,ADVL,(FCL(PP*,-,(AM-PRD*,,,,,,
169,2,12,16,o,o,ART,M|S,3,>N,(NP*,-,*,,,,,,
170,3,12,16,comando,comando,N,M|S,1,P<,*,-,*,,,,,,
171,4,12,16,de,de,PRP,-,3,N<,(PP*,-,*,,,,,,
172,5,12,16,Ronaldo_Rosas,Ronaldo_Rosas,PROP,M|S,4,P<,(NP*)))),-,*),,,,,,
173,6,12,16,",",-,PU,-,9,PU,*,-,*,,,,,,
174,7,12,16,o,o,ART,M|S,8,>N,(NP*,-,(A0*,,,,,,
175,8,12,16,programa,programa,N,M|S,9,SUBJ,*),-,*),,,,,,
176,9,12,17,mostrará,mostrar,V-FIN,FUT|3S|IND,0,STA,(VP*),mostrar,(V*),,,,,,
177,10,12,17,reportagens,reportagem,N,F|P,9,ACC,(NP*,-,(A1*,,,,,,
178,11,12,17,especiais,especial,ADJ,F|P,10,N<,(ADJP*),-,*,,,,,,
179,12,12,17,de,de,PRP,-,10,N<,(PP*,-,*,,,,,,
180,13,12,17,Sônia_Pompeu,Sônia_Pompeu,PROP,F|S,12,P<,(NP*))),-,*),,,,,,
181,14,12,17,.,-,PU,-,9,PU,*),-,*,,,,,,
182,1,13,17,A,o,ART,F|S,2,>N,(FCL(NP*,-,(A1*,,,,,,
183,2,13,17,direção,direção,N,F|S,7,SUBJ,*,-,*,,,,,,
184,3,13,17,de,de,PRP,-,2,N<,(PP*,-,*,,,,,,
185,4,13,17,o,o,ART,M|S,6,>N,(NP*,-,*,,,,,,
186,5,13,17,novo,novo,ADJ,M|S,6,>N,*,-,*,,,,,,
187,6,13,17,semanal,semanal,N-ADJ,M|S,3,P<,*))),-,*),,,,,,
188,7,13,17,será,ser,V-FIN,FUT|3S|IND,0,STA,(VP*,-,*,,,,,,
189,8,13,18,assinada,assinar,V-PCP,F|S,7,MV,*),assinar,(V*),,,,,,
190,9,13,18,por,por,PRP,-,8,PASS,(PP*,-,(A0*,,,,,,
191,10,13,18,Ewaldo_Ruy,Ewaldo_Ruy,PROP,M|S,9,P<,(NP*)),-,*),,,,,,
192,11,13,18,.,-,PU,-,7,PU,*),-,*,,,,,,
193,1,14,18,Os,o,ART,M|P,2,>N,(FCL(NP*,-,(A0*,,,,,,
194,2,14,18,jogadores,jogador,N,M|P,4,SUBJ,*),-,*),,,,,,
195,3,14,18,se,se,PRON-PERS,M|3P|ACC,4,ACC,(NP*),-,(A1*),,,,,,
196,4,14,19,dividem,dividir,V-FIN,PR|3P|IND,0,STA,(VP*),dividir,(V*),,,,,,
197,5,14,19,por,por,PRP,-,4,PIV,(PP*,-,(A2*,,,,,,
198,6,14,19,os,o,ART,M|P,8,>N,(NP*,-,*,,,,,,
199,7,14,19,dez,dez,NUM,M|P,8,>N,*,-,*,,,,,,
200,8,14,19,quartos,quarto,N,M|P,5,P<,*,-,*,,,,,,
201,9,14,19,de,de,PRP,-,8,N<,(PP*,-,*,,,,,,
202,10,14,19,o,o,ART,M|S,11,>N,(NP*,-,*,,,,,,
203,11,14,19,alojamento,alojamento,N,M|S,9,P<,*)),-,*,,,,,,
204,12,14,19,",",-,PU,-,8,PU,*,-,*,,,,,,
205,13,14,19,equipados,equipar,V-PCP,M|P,8,N<PRED,(ICL(VP*),-,*,,,,,,
206,14,14,19,com,com,PRP,-,13,PIV,(PP*,-,*,,,,,,
207,15,14,19,frigobar,frigobar,N,M|S,14,P<,(CU(NP*),-,*,,,,,,
208,16,14,19,",",-,PU,-,15,PU,*,-,*,,,,,,
209,17,14,19,ar,ar,N,M|S,15,CJT,(NP*,-,*,,,,,,
210,18,14,19,condicionado,condicionado,V-PCP,M|S,17,N<,(ADJP*)),-,*,,,,,,
211,19,14,19,",",-,PU,-,15,PU,*,-,*,,,,,,
212,20,14,19,televisão,televisão,N,F|S,15,CJT,(NP*),-,*,,,,,,
213,21,14,19,e,e,CONJ-C,-,15,CO,*,-,*,,,,,,
214,22,14,19,telefone,telefone,N,M|S,15,CJT,(NP*)))))),-,*),,,,,,
215,23,14,19,.,-,PU,-,4,PU,*),-,*,,,,,,
216,1,15,19,«,-,PU,-,2,PU,(FCL(FCL*,-,(A1*,*,,,,,
217,2,15,19,É,ser,V-FIN,PR|3S|IND,10,ACC,(VP*),-,*,*,,,,,
218,3,15,19,uma,um,ART,F|S,4,>N,(NP*,-,*,*,,,,,
219,4,15,19,coisa,coisa,N,F|S,2,SC,*,-,*,*,,,,,
220,5,15,19,de,de,PRP,-,4,N<,(PP*,-,*,*,,,,,
221,6,15,19,o,o,ART,M|S,7,>N,(NP*,-,*,*,,,,,
222,7,15,19,Primeiro_Mundo,Primeiro_Mundo,PROP,M|S,5,P<,*))),-,*,*,,,,,
223,8,15,19,»,-,PU,-,2,PU,*),-,*),*,,,,,
224,9,15,19,",",-,PU,-,10,PU,*,-,*,*,,,,,
225,10,15,20,afirmou,afirmar,V-FIN,PS|3S|IND,0,STA,(VP*),afirmar,(V*),*,,,,,
226,11,15,20,o,o,ART,M|S,12,>N,(NP*,-,(A0*,*,,,,,
227,12,15,20,levantador,levantador,N,M|S,10,SUBJ,*,-,*,*,,,,,
228,13,15,20,Maurício,Maurício,PROP,M|S,12,N<,(NP*)),-,*),*,,,,,
229,14,15,20,(,-,PU,-,10,PU,*,-,*,*,,,,,
230,15,15,21,leia,ler,V-FIN,PR|1/3S|SUBJ,10,STA,(FCL(VP*),ler,*,(V*),,,,,
231,16,15,21,matéria,matéria,N,F|S,15,ACC,(NP*),-,*,(A1*),,,,,
232,17,15,21,a,a,PRP,-,15,ADVL,(PP*,-,*,(AM-LOC*,,,,,
233,18,15,21,o,o,ART,M|S,19,>N,(NP*,-,*,*,,,,,
234,19,15,21,lado,lado,N,M|S,17,P<,*))),-,*,*),,,,,
235,20,15,21,),-,PU,-,10,PU,*,-,*,*,,,,,
236,21,15,21,.,-,PU,-,10,PU,*),-,*,*,,,,,
237,1,16,21,Além_de,além_de,PRP,-,11,ADVL,(FCL(PP*,-,*,,,,,,
238,2,16,21,Maurício,Maurício,PROP,M|S,1,P<,(CU(NP*),-,*,,,,,,
239,3,16,21,",",-,PU,-,2,PU,*,-,*,,,,,,
240,4,16,21,Carlão,Carlão,PROP,M|S,2,CJT,(NP*),-,*,,,,,,
241,5,16,21,e,e,CONJ-C,-,2,CO,*,-,*,,,,,,
242,6,16,21,Paulão,Paulão,PROP,M|S,2,CJT,(NP*))),-,*,,,,,,
243,7,16,21,",",-,PU,-,10,PU,*,-,*,,,,,,
244,8,16,21,a,o,ART,F|S,9,>N,(NP*,-,(A0*,,,,,,
245,9,16,21,seleção,seleção,N,F|S,10,SUBJ,*),-,*),,,,,,
246,10,16,21,deve,dever,V-FIN,PR|3S|IND,0,STA,(VP*,-,*,,,,,,
247,11,16,22,contar,contar,V-INF,-,10,MV,*),contar,(V*),,,,,,
248,12,16,22,hoje,hoje,ADV,-,11,ADVL,(ADVP*),-,(AM-TMP*),,,,,,
249,13,16,22,com,com,PRP,-,11,PIV,(PP*,-,(A1*,,,,,,
250,14,16,22,Giovane,Giovane,PROP,M|S,13,P<,(NP*)),-,*),,,,,,
251,15,16,22,.,-,PU,-,10,PU,*),-,*,,,,,,
252,1,17,22,O,o,ART,M|S,2,>N,(FCL(NP*,-,*,(A0*,,,,,
253,2,17,22,atacante,atacante,N,M|S,14,SUBJ,*,-,*,*,,,,,
254,3,17,22,",",-,PU,-,2,PU,*,-,*,*,,,,,
255,4,17,22,que,que,PRON-INDP,M|S,5,SUBJ,(FCL(NP*),-,(A0*),*,,,,,
256,5,17,22,deveria,dever,V-FIN,COND|1/3S,2,N<PRED,(VP-*,-,*,*,,,,,
257,6,17,22,ter,ter,V-INF,-,5,AUX,*),-,*,*,,,,,
258,7,17,22,se,se,PRON-PERS,M|3S|ACC,8,ACC,(NP*),-,(A1*),*,,,,,
259,8,17,23,apresentado,apresentar,V-PCP,M|S,6,MV,(-VP*),apresentar,(V*),*,,,,,
260,9,17,23,anteontem,anteontem,ADV,-,8,ADVL,(ADVP*,-,(AM-TMP*,*,,,,,
261,10,17,23,a,a,PRP,-,9,A<,(PP*,-,*,*,,,,,
262,11,17,23,a,o,ART,F|S,12,>N,(NP*,-,*,*,,,,,
263,12,17,23,noite,noite,N,F|S,10,P<,*))))),-,*),*),,,,,
264,13,17,23,",",-,PU,-,14,PU,*,-,*,*,,,,,
265,14,17,24,pediu,pedir,V-FIN,PS|3S|IND,0,STA,(VP*),pedir,*,(V*),,,,,
266,15,17,24,mais,mais,PRON-DET,M|S,17,>N,(NP*,-,*,(A1*,,,,,
267,16,17,24,um,um,NUM,M|S,17,>N,*,-,*,*,,,,,
268,17,17,24,dia,dia,N,M|S,14,ACC,*,-,*,*,,,,,
269,18,17,24,de,de,PRP,-,17,N<,(PP*,-,*,*,,,,,
270,19,17,24,folga,folga,N,F|S,18,P<,(NP*))),-,*,*),,,,,
271,20,17,24,a,a,PRP,-,14,PIV,(PP*,-,*,(A2*,,,,,
272,21,17,24,o,o,ART,M|S,22,>N,(NP*,-,*,*,,,,,
273,22,17,24,treinador,treinador,N,M|S,20,P<,*)),-,*,*),,,,,
274,23,17,24,.,-,PU,-,14,PU,*),-,*,*,,,,,
275,1,18,24,Em,em,PRP,-,11,ADVL,(FCL(PP*,-,(AM-TMP*,*,,,,,
276,2,18,24,a,o,ART,F|S,3,>N,(NP*,-,*,*,,,,,
277,3,18,24,volta,volta,N,F|S,1,P<,*,-,*,*,,,,,
278,4,18,24,de,de,PRP,-,3,N<ARG,(PP*,-,*,*,,,,,
279,5,18,24,uma,um,ART,F|S,6,>N,(NP*,-,*,*,,,,,
280,6,18,24,viagem,viagem,N,F|S,4,P<,*,-,*,*,,,,,
281,7,18,24,a,a,PRP,-,6,N<,(PP*,-,*,*,,,,,
282,8,18,24,o,o,ART,M|S,9,>N,(NP*,-,*,*,,,,,
283,9,18,24,exterior,exterior,N,M|S,7,P<,*)))))),-,*),*,,,,,
284,10,18,24,",",-,PU,-,11,PU,*,-,*,*,,,,,
285,11,18,25,vale,valer,V-FIN,PR|3S|IND,0,STA,(VP*),valer,(V*),*,,,,,
286,12,18,25,a,o,ART,F|S,13,>N,(NP*,-,(A2*,*,,,,,
287,13,18,25,pena,pena,N,F|S,11,ACC,*),-,*),*,,,,,
288,14,18,26,trazer,trazer,V-INF,3S,11,SUBJ,(ICL(VP*),trazer,(A1*,(V*),,,,,
289,15,18,26,uma,um,ART,F|S,16,>N,(NP*,-,*,(A1*,,,,,
290,16,18,26,impressora,impressora,N,F|S,14,ACC,*,-,*,*,,,,,
291,17,18,26,matricial,matricial,ADJ,F|S,16,N<,(ADJP*))),-,*),*),,,,,
292,18,18,26,.,-,PU,-,11,PU,*),-,*,*,,,,,
293,1,19,26,Free_shops,Free_shop,N,M|P,7,SUBJ,(FCL(NP*,-,(A0*,,,,,,
294,2,19,26,de,de,PRP,-,1,N<,(PP*,-,*,,,,,,
295,3,19,26,os,o,ART,M|P,4,>N,(NP*,-,*,,,,,,
296,4,19,26,aeroportos,aeroporto,N,M|P,2,N<,*,-,*,,,,,,
297,5,19,26,internacionais,internacional,ADJ,M|P,4,N<,(ADJP*)))),-,*),,,,,,
298,6,19,26,também,também,ADV,-,7,ADVL,(ADVP*),-,(AM-DIS*),,,,,,
299,7,19,27,vendem,vender,V-FIN,PR|3P|IND,0,STA,(VP*),vender,(V*),,,,,,
300,8,19,27,o,o,ART,M|S,9,>N,(NP*,-,(A1*,,,,,,
301,9,19,27,equipamento,equipamento,N,M|S,7,ACC,*),-,*),,,,,,
302,10,19,27,.,-,PU,-,7,PU,*),-,*,,,,,,
303,1,20,27,O,o,ART,M|S,2,>N,(FCL(NP*,-,(A1*,,,,,,
304,2,20,27,modelo,modelo,N,M|S,9,SUBJ,*,-,*,,,,,,
305,3,20,27,Lx_810,Lx_810,PROP,M|S,2,N<,(NP*),-,*,,,,,,
306,4,20,27,",",-,PU,-,2,PU,*,-,*,,,,,,
307,5,20,27,de,de,PRP,-,2,N<PRED,(PP*,-,*,,,,,,
308,6,20,27,a,o,ART,F|S,7,>N,(NP*,-,*,,,,,,
309,7,20,27,Epson,Epson,PROP,F|S,5,P<,*)),-,*,,,,,,
310,8,20,27,",",-,PU,-,2,PU,*),-,*),,,,,,
311,9,20,27,é,ser,V-FIN,PR|3S|IND,0,STA,(VP*,-,*,,,,,,
312,10,20,28,vendido,vender,V-PCP,M|S,9,MV,*),vender,(V*),,,,,,
313,11,20,28,em,em,PRP,-,10,ADVL,(PP*,-,(AM-LOC*,,,,,,
