,FUNC_CTX_P+0,FUNC_CTX_P+1,FUNC_CTX_P-1
111,OC,PIV,ACC
112,OC,PIV,ACC
113,OC,PIV,ACC
114,OC,PIV,ACC
115,OC,PIV,ACC
116,OC,PIV,ACC
117,OC,PIV,ACC
118,OC,PIV,ACC
119,OC,PIV,ACC
120,OC,PIV,ACC
121,OC,PIV,ACC
122,OC,PIV,ACC
123,OC,PIV,ACC
124,OC,PIV,ACC
125,OC,PIV,ACC
126,OC,PIV,ACC
127,OC,PIV,ACC
128,OC,PIV,ACC
129,OC,PIV,ACC
130,OC,PIV,ACC
131,OC,PIV,ACC
132,STA,ACC,
133,STA,ACC,
134,STA,ACC,
135,STA,ACC,
136,STA,ACC,
137,STA,ACC,
138,STA,ACC,
139,STA,ACC,
140,STA,>N,ADVL
141,STA,>N,ADVL
142,STA,>N,ADVL
143,STA,>N,ADVL
144,STA,>N,ADVL
145,STA,>N,ADVL
146,STA,>N,ADVL
147,STA,>N,ADVL
148,STA,>N,ADVL
149,STA,>N,ADVL
150,STA,>N,ADVL
151,STA,>N,ADVL
152,STA,>N,ADVL
153,ACC,STA,SUBJ
154,ACC,STA,SUBJ
155,ACC,STA,SUBJ
156,ACC,STA,SUBJ
157,ACC,STA,SUBJ
158,ACC,STA,SUBJ
159,ACC,STA,SUBJ
160,ACC,STA,SUBJ
161,ACC,STA,SUBJ
162,ACC,STA,SUBJ
163,ACC,STA,SUBJ
164,ACC,STA,SUBJ
165,ACC,STA,SUBJ
166,CJT,ACC,ADVL
167,CJT,ACC,ADVL
168,CJT,ACC,ADVL
169,CJT,ACC,ADVL
170,CJT,ACC,ADVL
171,CJT,ACC,ADVL
172,CJT,ACC,ADVL
173,CJT,ACC,ADVL
174,CJT,ACC,ADVL
175,CJT,ACC,ADVL
176,CJT,ACC,ADVL
177,CJT,ACC,ADVL
178,CJT,ACC,ADVL
179,MV,PU,ACC
180,MV,PU,ACC
181,MV,PU,ACC
182,MV,PU,ACC
183,MV,PU,ACC
184,MV,PU,ACC
185,MV,PU,ACC
186,MV,PU,ACC
187,MV,PU,ACC
188,MV,PU,ACC
189,MV,PU,ACC
190,MV,PU,ACC
191,MV,PU,ACC
192,STA,PIV,P<
193,STA,PIV,P<
194,STA,PIV,P<
195,STA,PIV,P<
196,STA,PIV,P<
197,STA,PIV,P<
198,STA,PIV,P<
199,STA,PIV,P<
200,STA,PIV,P<
201,STA,PIV,P<
202,STA,PIV,P<
203,STA,PIV,P<
204,STA,PIV,P<
205,STA,PIV,P<
206,STA,PIV,P<
207,STA,PIV,P<
208,STA,SA,PU
209,STA,SA,PU
210,STA,SA,PU
211,STA,SA,PU
212,STA,SA,PU
213,STA,SA,PU
214,MV,PASS,AUX
215,MV,PASS,AUX
216,MV,PASS,AUX
217,MV,PASS,AUX
218,MV,PASS,AUX
219,MV,PASS,AUX
220,MV,PASS,AUX
221,MV,PASS,AUX
222,MV,PASS,AUX
223,MV,PASS,AUX
224,MV,PASS,AUX
225,MV,PASS,AUX
226,MV,PASS,AUX
227,MV,PASS,AUX
228,MV,PASS,AUX
229,MV,PASS,AUX
230,MV,PASS,AUX
231,STA,ADVL,P<
232,STA,ADVL,P<
233,STA,ADVL,P<
234,STA,ADVL,P<
235,STA,ADVL,P<
236,STA,ADVL,P<
237,STA,ADVL,P<
238,STA,ADVL,P<
239,STA,ADVL,P<
240,STA,ADVL,P<
241,STA,ADVL,P<
242,STA,ADVL,P<
243,STA,ADVL,P<
244,STA,ADVL,P<
245,MV,PU,AUX
246,MV,PU,AUX
247,MV,PU,AUX
248,MV,PU,AUX
249,MV,PU,AUX
250,MV,PU,AUX
251,MV,PU,AUX
252,MV,PU,AUX
253,MV,PU,AUX
254,MV,PU,AUX
255,MV,PU,AUX
256,MV,PU,AUX
257,MV,PU,AUX
258,MV,PU,AUX
259,MV,PU,AUX
260,MV,PU,AUX
261,MV,PU,AUX
262,MV,PU,AUX
263,MV,PU,AUX
264,MV,PU,AUX
265,MV,PU,AUX
266,STA,>N,SUBJ
267,STA,>N,SUBJ
268,STA,>N,SUBJ
269,STA,>N,SUBJ
270,N<,ADVL,SUBJ
271,N<,ADVL,SUBJ
272,N<,ADVL,SUBJ
273,N<,ADVL,SUBJ
274,N<,ADVL,SUBJ
275,N<,ADVL,SUBJ
276,N<,ADVL,SUBJ
277,N<,ADVL,SUBJ
278,N<,ADVL,SUBJ
279,N<,ADVL,SUBJ
280,N<,ADVL,SUBJ
281,N<,ADVL,SUBJ
282,N<,ADVL,SUBJ
283,N<,ADVL,SUBJ
284,N<,ADVL,SUBJ
285,N<,ADVL,SUBJ
286,N<,ADVL,SUBJ
287,N<,ADVL,SUBJ
288,N<,ADVL,SUBJ
289,N<,ADVL,SUBJ
290,N<,ADVL,SUBJ
291,N<,ADVL,SUBJ
292,N<,ADVL,SUBJ
293,STA,ACC,SUBJ
294,STA,ACC,SUBJ
295,STA,ACC,SUBJ
296,STA,ACC,SUBJ
297,STA,ACC,SUBJ
298,STA,ACC,SUBJ
299,STA,ACC,SUBJ
300,STA,ACC,SUBJ
301,STA,ACC,SUBJ
302,STA,ACC,SUBJ
303,STA,ACC,SUBJ
304,STA,ACC,SUBJ
305,STA,ACC,SUBJ
306,STA,ACC,SUBJ
307,MV,PASS,STA
308,MV,PASS,STA
309,MV,PASS,STA
310,MV,PASS,STA
311,MV,PASS,STA
312,MV,PASS,STA
313,MV,PASS,STA
314,MV,PASS,STA
315,MV,PASS,STA
316,MV,PASS,STA
317,MV,PASS,STA
318,STA,PIV,ACC
319,STA,PIV,ACC
320,STA,PIV,ACC
321,STA,PIV,ACC
322,STA,PIV,ACC
323,STA,PIV,ACC
324,STA,PIV,ACC
325,STA,PIV,ACC
326,STA,PIV,ACC
327,STA,PIV,ACC
328,STA,PIV,ACC
329,STA,PIV,ACC
330,STA,PIV,ACC
331,STA,PIV,ACC
332,STA,PIV,ACC
333,STA,PIV,ACC
334,STA,PIV,ACC
335,STA,PIV,ACC
336,STA,PIV,ACC
337,STA,PIV,ACC
338,STA,PIV,ACC
339,STA,PIV,ACC
340,STA,PIV,ACC
341,STA,>N,PU
342,STA,>N,PU
343,STA,>N,PU
344,STA,>N,PU
345,STA,>N,PU
346,STA,>N,PU
347,STA,>N,PU
348,STA,>N,PU
349,STA,>N,PU
350,STA,>N,PU
351,STA,>N,PU
352,STA,>N,PU
353,STA,>N,PU
354,STA,>N,PU
355,STA,>N,PU
356,STA,>N,PU
357,STA,>N,PU
358,STA,>N,PU
359,STA,>N,PU
360,STA,>N,PU
361,STA,>N,PU
362,STA,ACC,PU
363,STA,ACC,PU
364,STA,ACC,PU
365,STA,ACC,PU
366,STA,ACC,PU
367,STA,ACC,PU
368,STA,ACC,PU
369,STA,ACC,PU
370,STA,ACC,PU
371,STA,ACC,PU
372,STA,ACC,PU
373,STA,ACC,PU
374,STA,ACC,PU
375,STA,ACC,PU
376,STA,ACC,PU
377,STA,ACC,PU
378,STA,ACC,PU
379,STA,ACC,PU
380,STA,ACC,PU
381,STA,ACC,PU
382,STA,ACC,PU
383,MV,ADVL,STA
384,MV,ADVL,STA
385,MV,ADVL,STA
386,MV,ADVL,STA
387,MV,ADVL,STA
388,MV,ADVL,STA
389,MV,ADVL,STA
390,MV,ADVL,STA
391,MV,ADVL,STA
392,MV,ADVL,STA
393,MV,ADVL,STA
394,MV,ADVL,STA
395,MV,ADVL,STA
396,MV,ADVL,STA
397,MV,ADVL,STA
398,MV,ADVL,ACC
399,MV,ADVL,ACC
400,MV,ADVL,ACC
401,MV,ADVL,ACC
402,MV,ADVL,ACC
403,MV,ADVL,ACC
404,MV,ADVL,ACC
405,MV,ADVL,ACC
406,MV,ADVL,ACC
407,MV,ADVL,ACC
408,MV,ADVL,ACC
409,MV,ADVL,ACC
410,MV,ADVL,ACC
411,MV,ADVL,ACC
412,MV,ADVL,ACC
413,MV,ADVL,ACC
414,MV,ADVL,ACC
415,MV,ADVL,ACC
416,MV,ADVL,ACC
417,MV,ADVL,ACC
418,MV,ADVL,ACC
419,MV,ADVL,ACC
420,MV,ADVL,ACC
421,STA,>N,PU
422,STA,>N,PU
423,STA,>N,PU
424,STA,>N,PU
425,STA,>N,PU
426,STA,>N,PU
427,STA,>N,PU
428,STA,>N,PU
429,STA,>N,PU
430,STA,>N,PU
431,STA,>N,PU
432,STA,>N,PU
433,STA,>N,PU
434,STA,>N,PU
435,STA,>N,PU
436,STA,>N,PU
437,STA,>N,PU
438,STA,>N,PU
439,STA,>N,PU
440,STA,>N,PU
441,STA,>N,PU
442,STA,>N,PU
443,STA,>N,PU
444,STA,>N,PU
445,STA,>N,PU
446,STA,>N,PU
447,STA,>N,PU
448,STA,>N,PU
449,STA,>N,PU
450,STA,>N,PU
451,STA,>N,PU
452,STA,>N,PU
453,STA,>N,PU
454,STA,>N,PU
455,STA,>N,PU
456,STA,>N,PU
457,STA,>N,PU
458,STA,>N,PU
459,STA,>N,PU
460,STA,>N,PU
461,STA,>N,PU
462,SUBJ,>N,ACC
463,SUBJ,>N,ACC
464,SUBJ,>N,ACC
465,SUBJ,>N,ACC
466,SUBJ,>N,ACC
467,SUBJ,>N,ACC
468,SUBJ,>N,ACC
469,SUBJ,>N,ACC
470,SUBJ,>N,ACC
471,SUBJ,>N,ACC
472,SUBJ,>N,ACC
473,SUBJ,>N,ACC
474,SUBJ,>N,ACC
475,SUBJ,>N,ACC
476,SUBJ,>N,ACC
477,SUBJ,>N,ACC
478,SUBJ,>N,ACC
479,SUBJ,>N,ACC
480,STA,>N,ADVL
481,STA,>N,ADVL
482,STA,>N,ADVL
483,STA,>N,ADVL
484,STA,>N,ADVL
485,STA,>N,ADVL
486,STA,>N,ADVL
487,STA,>N,ADVL
488,STA,>N,ADVL
489,STA,>N,ADVL
490,MV,ADVL,STA
491,MV,ADVL,STA
492,MV,ADVL,STA
493,MV,ADVL,STA
494,MV,ADVL,STA
495,MV,ADVL,STA
496,MV,ADVL,STA
497,MV,ADVL,STA
498,MV,ADVL,STA
499,MV,ADVL,STA
500,MV,ADVL,STA
501,MV,ADVL,STA
502,MV,ADVL,STA
503,MV,ADVL,STA
504,MV,ADVL,STA
505,MV,ADVL,STA
506,MV,ADVL,STA
507,MV,ADVL,STA
508,MV,ADVL,STA
509,MV,ADVL,STA
510,MV,ADVL,STA
511,MV,ADVL,STA
512,MV,ADVL,STA
513,MV,ADVL,STA
514,MV,ADVL,STA
515,MV,ADVL,STA
516,MV,ADVL,STA
517,MV,ADVL,STA
518,MV,ADVL,STA
519,MV,ADVL,STA
520,MV,ADVL,STA
521,MV,PIV,STA
522,MV,PIV,STA
523,MV,PIV,STA
524,MV,PIV,STA
525,MV,PIV,STA
526,MV,PIV,STA
527,MV,PIV,STA
528,MV,PIV,STA
529,MV,PIV,STA
530,MV,PIV,STA
531,MV,PIV,STA
532,MV,PIV,STA
533,MV,PIV,STA
534,MV,PIV,STA
535,MV,PIV,STA
536,MV,PIV,STA
537,MV,PIV,STA
538,MV,PIV,STA
539,MV,PIV,STA
540,MV,PIV,STA
541,MV,PIV,STA
542,STA,>N,PU
543,STA,>N,PU
544,STA,>N,PU
545,STA,>N,PU
546,STA,>N,PU
547,STA,>N,PU
548,STA,>N,PU
549,STA,>N,PU
550,STA,>N,PU
551,STA,>N,PU
552,STA,>N,PU
553,STA,>N,PU
554,STA,>N,PU
555,STA,>N,PU
556,STA,>N,PU
557,STA,>N,PU
558,STA,>N,PU
559,STA,>N,PU
560,STA,>N,PU
561,STA,>N,PU
562,STA,>N,PU
563,STA,>N,PU
564,STA,>N,PU
565,STA,>N,PU
566,STA,>N,PU
567,STA,>N,PU
568,STA,>N,PU
569,STA,>N,PU
570,STA,>N,PU
571,STA,>N,PU
572,STA,>N,PU
573,STA,>N,PU
574,STA,>N,PU
575,STA,>N,PU
576,P<,>N,H
577,P<,>N,H
578,P<,>N,H
579,P<,>N,H
580,P<,>N,H
581,P<,>N,H
582,P<,>N,H
583,P<,>N,H
584,P<,>N,H
585,P<,>N,H
586,P<,>N,H
587,P<,>N,H
588,P<,>N,H
589,P<,>N,H
590,P<,>N,H
591,P<,>N,H
592,P<,>N,H
593,P<,>N,H
594,P<,>N,H
595,P<,>N,H
596,P<,>N,H
597,P<,>N,H
598,P<,>N,H
599,P<,>N,H
600,P<,>N,H
601,P<,>N,H
602,P<,>N,H
603,P<,>N,H
604,P<,>N,H
605,P<,>N,H
606,P<,>N,H
607,P<,>N,H
608,P<,>N,H
609,P<,>N,H
610,P<,>N,N<ARGO
611,P<,>N,N<ARGO
612,P<,>N,N<ARGO
613,P<,>N,N<ARGO
614,P<,>N,N<ARGO
615,P<,>N,N<ARGO
616,P<,>N,N<ARGO
617,P<,>N,N<ARGO
618,P<,>N,N<ARGO
619,P<,>N,N<ARGO
620,P<,>N,N<ARGO
621,P<,>N,N<ARGO
622,P<,>N,N<ARGO
623,P<,>N,N<ARGO
624,P<,>N,N<ARGO
625,P<,>N,N<ARGO
626,P<,>N,N<ARGO
627,P<,>N,N<ARGO
628,P<,>N,N<ARGO
629,P<,>N,N<ARGO
630,P<,>N,N<ARGO
631,P<,>N,N<ARGO
632,P<,>N,N<ARGO
633,P<,>N,N<ARGO
634,P<,>N,N<ARGO
635,P<,>N,N<ARGO
636,P<,>N,N<ARGO
637,P<,>N,N<ARGO
638,P<,>N,N<ARGO
639,P<,>N,N<ARGO
640,P<,>N,N<ARGO
641,P<,>N,N<ARGO
642,P<,>N,N<ARGO
643,P<,>N,N<ARGO
644,STA,ADVL,PU
645,STA,ADVL,PU
646,STA,ADVL,PU
647,STA,ADVL,PU
648,STA,ADVL,PU
649,STA,ADVL,PU
650,STA,ADVL,PU
651,STA,ADVL,PU
652,STA,ADVL,PU
653,STA,ADVL,PU
654,STA,ADVL,PU
655,STA,ADVL,PU
656,STA,ADVL,PU
657,STA,ADVL,PU
658,STA,ADVL,PU
659,STA,ADVL,PU
660,STA,ADVL,PU
661,STA,ADVL,PU
662,STA,ADVL,PU
663,STA,ADVL,PU
664,STA,ADVL,PU
665,STA,ADVL,PU
666,STA,ADVL,PU
667,STA,ADVL,PU
668,STA,ADVL,PU
669,STA,ADVL,PU
670,STA,ADVL,PU
671,STA,ADVL,PU
672,STA,ADVL,PU
673,STA,ADVL,PU
674,STA,ADVL,PU
675,MV,>N,ACC
676,MV,>N,ACC
677,MV,>N,ACC
678,MV,>N,ACC
679,MV,>N,ACC
680,MV,>N,ACC
681,MV,>N,ACC
682,MV,>N,ACC
683,MV,>N,ACC
684,MV,>N,ACC
685,MV,>N,ACC
686,MV,>N,ACC
687,MV,>N,ACC
688,MV,>N,ACC
689,MV,>N,ACC
690,MV,>N,ACC
691,MV,>N,ACC
692,MV,>N,ACC
693,MV,>N,ACC
694,MV,>N,ACC
695,MV,>N,ACC
696,MV,>N,ACC
697,MV,>N,ACC
698,MV,>N,ACC
699,MV,>N,ACC
700,MV,>N,ACC
701,MV,>N,ACC
702,MV,>N,ACC
703,MV,>N,ACC
704,MV,>N,ACC
705,MV,>N,ACC
706,ADVL,ACC,ADVL
707,ADVL,ACC,ADVL
708,ADVL,ACC,ADVL
709,ADVL,ACC,ADVL
710,ADVL,ACC,ADVL
711,ADVL,ACC,ADVL
712,ADVL,ACC,ADVL
713,ADVL,ACC,ADVL
714,ADVL,ACC,ADVL
715,ADVL,ACC,ADVL
716,ADVL,ACC,ADVL
717,ADVL,ACC,ADVL
718,ADVL,ACC,ADVL
719,ADVL,ACC,ADVL
720,ADVL,ACC,ADVL
721,ADVL,ACC,ADVL
722,ADVL,ACC,ADVL
723,ADVL,ACC,ADVL
724,ADVL,ACC,ADVL
725,ADVL,ACC,ADVL
726,ADVL,ACC,ADVL
727,ADVL,ACC,ADVL
728,ADVL,ACC,ADVL
729,ADVL,ACC,ADVL
730,ADVL,ACC,ADVL
731,ADVL,ACC,ADVL
732,ADVL,ACC,ADVL
733,ADVL,ACC,ADVL
734,ADVL,ACC,ADVL
735,ADVL,ACC,ADVL
736,ADVL,ACC,ADVL
737,STA,PIV,P<
738,STA,PIV,P<
739,STA,PIV,P<
740,STA,PIV,P<
741,STA,PIV,P<
742,STA,PIV,P<
743,STA,PIV,P<
744,STA,PIV,P<
745,STA,PIV,P<
746,STA,PIV,P<
747,STA,PIV,P<
748,STA,PIV,P<
749,STA,PIV,P<
750,STA,PIV,P<
751,ADVL,ACC,ADVL
752,ADVL,ACC,ADVL
753,ADVL,ACC,ADVL
754,ADVL,ACC,ADVL
755,ADVL,ACC,ADVL
756,ADVL,ACC,ADVL
757,ADVL,ACC,ADVL
758,ADVL,ACC,ADVL
759,ADVL,ACC,ADVL
760,ADVL,ACC,ADVL
761,ADVL,ACC,ADVL
762,ADVL,ACC,ADVL
763,ADVL,ACC,ADVL
764,ADVL,ACC,ADVL
765,ADVL,ACC,ADVL
766,ADVL,ACC,ADVL
767,ADVL,ACC,ADVL
768,ADVL,ACC,ADVL
769,ADVL,ACC,ADVL
770,ADVL,ACC,ADVL
771,ADVL,ACC,ADVL
772,ADVL,ACC,ADVL
773,ADVL,ACC,ADVL
774,ADVL,ACC,ADVL
775,ADVL,ACC,ADVL
776,ADVL,ACC,ADVL
777,ADVL,ACC,ADVL
778,ADVL,ACC,ADVL
779,MV,ADVL,STA
780,MV,ADVL,STA
781,MV,ADVL,STA
782,MV,ADVL,STA
783,MV,ADVL,STA
784,MV,ADVL,STA
785,MV,ADVL,STA
786,MV,ADVL,STA
787,MV,ADVL,STA
788,MV,ADVL,STA
789,MV,ADVL,STA
790,MV,ADVL,STA
791,MV,ADVL,STA
792,MV,ADVL,STA
793,MV,ADVL,STA
794,MV,ADVL,STA
795,MV,ADVL,STA
796,MV,ADVL,STA
797,MV,ADVL,STA
798,MV,ADVL,STA
799,MV,ADVL,STA
800,MV,ADVL,STA
801,MV,ADVL,STA
802,MV,ADVL,STA
803,MV,ADVL,STA
804,MV,ADVL,STA
805,MV,ADVL,STA
806,MV,ADVL,STA
807,P<,PIV,N<ARGO
808,P<,PIV,N<ARGO
809,P<,PIV,N<ARGO
810,P<,PIV,N<ARGO
811,P<,PIV,N<ARGO
812,P<,PIV,N<ARGO
813,P<,PIV,N<ARGO
814,P<,PIV,N<ARGO
815,P<,PIV,N<ARGO
816,P<,PIV,N<ARGO
817,P<,PIV,N<ARGO
818,P<,PIV,N<ARGO
819,P<,PIV,N<ARGO
820,P<,PIV,N<ARGO
821,P<,PIV,N<ARGO
822,P<,PIV,N<ARGO
823,P<,PIV,N<ARGO
824,P<,PIV,N<ARGO
825,P<,PIV,N<ARGO
826,P<,PIV,N<ARGO
827,P<,PIV,N<ARGO
828,P<,PIV,N<ARGO
829,P<,PIV,N<ARGO
830,P<,PIV,N<ARGO
831,P<,PIV,N<ARGO
832,P<,PIV,N<ARGO
833,P<,PIV,N<ARGO
834,P<,PIV,N<ARGO
835,P<,PIV,N<ARGO
836,P<,PIV,N<ARGO
837,P<,PIV,N<ARGO
838,P<,PIV,N<ARGO
839,P<,PIV,N<ARGO
840,P<,PIV,N<ARGO
841,P<,PIV,N<ARGO
842,P<,PIV,N<ARGO
843,P<,PIV,N<ARGO
844,P<,PIV,N<ARGO
845,STA,OA,SUBJ
846,STA,OA,SUBJ
847,STA,OA,SUBJ
848,STA,OA,SUBJ
849,STA,OA,SUBJ
850,STA,OA,SUBJ
851,STA,OA,SUBJ
852,STA,OA,SUBJ
853,STA,OA,SUBJ
854,STA,OA,SUBJ
855,STA,OA,SUBJ
856,STA,OA,SUBJ
857,STA,OA,SUBJ
858,STA,OA,SUBJ
859,STA,OA,SUBJ
860,STA,OA,SUBJ
861,STA,OA,SUBJ
862,STA,OA,SUBJ
863,STA,OA,SUBJ
864,STA,OA,SUBJ
865,STA,OA,SUBJ
866,STA,OA,SUBJ
867,STA,OA,SUBJ
868,STA,OA,SUBJ
869,STA,OA,SUBJ
870,STA,OA,SUBJ
871,STA,OA,SUBJ
872,STA,OA,SUBJ
873,STA,OA,SUBJ
874,STA,OA,SUBJ
875,STA,OA,SUBJ
876,STA,OA,SUBJ
877,STA,OA,SUBJ
878,STA,OA,SUBJ
879,STA,OA,SUBJ
880,STA,OA,SUBJ
881,STA,OA,SUBJ
882,STA,OA,SUBJ
883,ADVL,PIV,PU
884,ADVL,PIV,PU
885,ADVL,PIV,PU
886,ADVL,PIV,PU
887,ADVL,PIV,PU
888,ADVL,PIV,PU
889,ADVL,PIV,PU
890,ADVL,PIV,PU
891,ADVL,PIV,PU
892,ADVL,PIV,PU
893,ADVL,PIV,PU
894,ADVL,PIV,PU
895,ADVL,PIV,PU
896,ADVL,PIV,PU
897,ADVL,PIV,PU
898,ADVL,PIV,PU
899,ADVL,PIV,PU
900,ADVL,PIV,PU
901,ADVL,PIV,PU
902,ADVL,PIV,PU
903,ADVL,PIV,PU
904,ADVL,PIV,PU
905,ADVL,PIV,PU
906,ADVL,PIV,PU
907,ADVL,PIV,PU
908,ADVL,PIV,PU
909,ADVL,PIV,PU
910,ADVL,PIV,PU
911,ADVL,PIV,PU
912,ADVL,PIV,PU
913,ADVL,PIV,PU
914,ADVL,PIV,PU
915,ADVL,PIV,PU
916,ADVL,PIV,PU
917,ADVL,PIV,PU
918,ADVL,PIV,PU
919,ADVL,PIV,PU
920,ADVL,PIV,PU
921,STA,>N,SUBJ
922,STA,>N,SUBJ
923,STA,>N,SUBJ
924,STA,>N,SUBJ
925,STA,>N,SUBJ
926,STA,>N,SUBJ
927,STA,>N,SUBJ
928,STA,>N,SUBJ
929,STA,>N,SUBJ
930,STA,>N,SUBJ
931,STA,>N,SUBJ
932,STA,>N,SUBJ
933,STA,>N,SUBJ
934,STA,>N,SUBJ
935,STA,>N,SUBJ
936,STA,>N,SUBJ
937,STA,>N,SUBJ
938,STA,>N,SUBJ
939,STA,>N,SUBJ
940,STA,>N,SUBJ
941,STA,>N,SUBJ
942,STA,>N,SUBJ
943,STA,>N,SUBJ
944,STA,>N,SUBJ
945,STA,>N,SUBJ
946,MV,ACC,ADVL
947,MV,ACC,ADVL
948,MV,ACC,ADVL
949,MV,ACC,ADVL
950,MV,ACC,ADVL
951,MV,ACC,ADVL
952,MV,ACC,ADVL
953,MV,ACC,ADVL
954,MV,ACC,ADVL
955,MV,ACC,ADVL
956,MV,ACC,ADVL
957,MV,ACC,ADVL
958,MV,ACC,ADVL
959,MV,ACC,ADVL
960,MV,ACC,ADVL
961,MV,ACC,ADVL
962,MV,ACC,ADVL
963,MV,ACC,ADVL
964,MV,ACC,ADVL
965,MV,ACC,ADVL
966,MV,ACC,ADVL
967,MV,ACC,ADVL
968,MV,ACC,ADVL
969,MV,ACC,ADVL
970,MV,ACC,ADVL
971,STA,SUBJ,
972,STA,SUBJ,
973,STA,SUBJ,
974,STA,SUBJ,
975,STA,SUBJ,
976,STA,SUBJ,
977,STA,SUBJ,
978,STA,SUBJ,
979,STA,SUBJ,
980,STA,SUBJ,
981,STA,SUBJ,
982,STA,SUBJ,
983,STA,SUBJ,
984,STA,SUBJ,
985,STA,SUBJ,
986,STA,SUBJ,
987,STA,SUBJ,
988,STA,SUBJ,
989,STA,SUBJ,
990,STA,SUBJ,
991,STA,SUBJ,
992,STA,SUBJ,
993,STA,SUBJ,
994,STA,SUBJ,
995,STA,SUBJ,
996,STA,SUBJ,
997,STA,SUBJ,
998,STA,SUBJ,
999,STA,SUBJ,
1000,STA,SUBJ,
1001,STA,SUBJ,
1002,STA,SUBJ,
1003,STA,SUBJ,
1004,STA,SUBJ,
1005,STA,SUBJ,
1006,N<PRED,ADVL,SUBJ
1007,N<PRED,ADVL,SUBJ
1008,N<PRED,ADVL,SUBJ
1009,N<PRED,ADVL,SUBJ
1010,N<PRED,ADVL,SUBJ
1011,N<PRED,ADVL,SUBJ
1012,N<PRED,ADVL,SUBJ
1013,N<PRED,ADVL,SUBJ
1014,N<PRED,ADVL,SUBJ
1015,N<PRED,ADVL,SUBJ
1016,N<PRED,ADVL,SUBJ
1017,N<PRED,ADVL,SUBJ
1018,N<PRED,ADVL,SUBJ
1019,N<PRED,ADVL,SUBJ
1020,N<PRED,ADVL,SUBJ
1021,N<PRED,ADVL,SUBJ
1022,N<PRED,ADVL,SUBJ
1023,N<PRED,ADVL,SUBJ
1024,N<PRED,ADVL,SUBJ
1025,N<PRED,ADVL,SUBJ
1026,N<PRED,ADVL,SUBJ
1027,N<PRED,ADVL,SUBJ
1028,N<PRED,ADVL,SUBJ
1029,N<PRED,ADVL,SUBJ
1030,N<PRED,ADVL,SUBJ
1031,N<PRED,ADVL,SUBJ
1032,N<PRED,ADVL,SUBJ
1033,N<PRED,ADVL,SUBJ
1034,N<PRED,ADVL,SUBJ
1035,N<PRED,ADVL,SUBJ
