,LEMMA_CTX_P+0,LEMMA_CTX_P+1,LEMMA_CTX_P-1
132,ter,sentido,
133,ter,sentido,
134,ter,sentido,
135,ter,sentido,
136,ter,sentido,
137,ter,sentido,
138,ter,sentido,
139,ter,sentido,
140,encontrar,um,ainda
141,encontrar,um,ainda
142,encontrar,um,ainda
143,encontrar,um,ainda
144,encontrar,um,ainda
145,encontrar,um,ainda
146,encontrar,um,ainda
147,encontrar,um,ainda
148,encontrar,um,ainda
149,encontrar,um,ainda
150,encontrar,um,ainda
151,encontrar,um,ainda
152,encontrar,um,ainda
153,se,dizer,eles
154,se,dizer,eles
155,se,dizer,eles
156,se,dizer,eles
157,se,dizer,eles
158,se,dizer,eles
159,se,dizer,eles
160,se,dizer,eles
161,se,dizer,eles
162,se,dizer,eles
163,se,dizer,eles
164,se,dizer,eles
165,se,dizer,eles
166,informar,o_que,não
167,informar,o_que,não
168,informar,o_que,não
169,informar,o_que,não
170,informar,o_que,não
171,informar,o_que,não
172,informar,o_que,não
173,informar,o_que,não
174,informar,o_que,não
175,informar,o_que,não
176,informar,o_que,não
177,informar,o_que,não
178,informar,o_que,não
179,combater,-,ir
180,combater,-,ir
181,combater,-,ir
182,combater,-,ir
183,combater,-,ir
184,combater,-,ir
185,combater,-,ir
186,combater,-,ir
187,combater,-,ir
188,combater,-,ir
189,combater,-,ir
190,combater,-,ir
191,combater,-,ir
192,coincidir,com,governo
193,coincidir,com,governo
194,coincidir,com,governo
195,coincidir,com,governo
196,coincidir,com,governo
197,coincidir,com,governo
198,coincidir,com,governo
199,coincidir,com,governo
200,coincidir,com,governo
201,coincidir,com,governo
202,coincidir,com,governo
203,coincidir,com,governo
204,coincidir,com,governo
205,coincidir,com,governo
206,coincidir,com,governo
207,coincidir,com,governo
208,chegar,a,-
209,chegar,a,-
210,chegar,a,-
211,chegar,a,-
212,chegar,a,-
213,chegar,a,-
214,ver,por,ser
215,ver,por,ser
216,ver,por,ser
217,ver,por,ser
218,ver,por,ser
219,ver,por,ser
220,ver,por,ser
221,ver,por,ser
222,ver,por,ser
223,ver,por,ser
224,ver,por,ser
225,ver,por,ser
226,ver,por,ser
227,ver,por,ser
228,ver,por,ser
229,ver,por,ser
230,ver,por,ser
231,estrear,em,cultura
232,estrear,em,cultura
233,estrear,em,cultura
234,estrear,em,cultura
235,estrear,em,cultura
236,estrear,em,cultura
237,estrear,em,cultura
238,estrear,em,cultura
239,estrear,em,cultura
240,estrear,em,cultura
241,estrear,em,cultura
242,estrear,em,cultura
243,estrear,em,cultura
244,estrear,em,cultura
245,negociar,-,ser
246,negociar,-,ser
247,negociar,-,ser
248,negociar,-,ser
249,negociar,-,ser
250,negociar,-,ser
251,negociar,-,ser
252,negociar,-,ser
253,negociar,-,ser
254,negociar,-,ser
255,negociar,-,ser
256,negociar,-,ser
257,negociar,-,ser
258,negociar,-,ser
259,negociar,-,ser
260,negociar,-,ser
261,negociar,-,ser
262,negociar,-,ser
263,negociar,-,ser
264,negociar,-,ser
265,negociar,-,ser
266,estrear,novo,Manchete
267,estrear,novo,Manchete
268,estrear,novo,Manchete
269,estrear,novo,Manchete
270,estrear,quarta-feira,que
271,estrear,quarta-feira,que
272,estrear,quarta-feira,que
273,estrear,quarta-feira,que
274,estrear,quarta-feira,que
275,estrear,quarta-feira,que
276,estrear,quarta-feira,que
277,estrear,quarta-feira,que
278,estrear,quarta-feira,que
279,estrear,quarta-feira,que
280,estrear,quarta-feira,que
281,estrear,quarta-feira,que
282,estrear,quarta-feira,que
283,estrear,quarta-feira,que
284,estrear,quarta-feira,que
285,estrear,quarta-feira,que
286,estrear,quarta-feira,que
287,estrear,quarta-feira,que
288,estrear,quarta-feira,que
289,estrear,quarta-feira,que
290,estrear,quarta-feira,que
291,estrear,quarta-feira,que
292,estrear,quarta-feira,que
293,mostrar,reportagem,programa
294,mostrar,reportagem,programa
295,mostrar,reportagem,programa
296,mostrar,reportagem,programa
297,mostrar,reportagem,programa
298,mostrar,reportagem,programa
299,mostrar,reportagem,programa
300,mostrar,reportagem,programa
301,mostrar,reportagem,programa
302,mostrar,reportagem,programa
303,mostrar,reportagem,programa
304,mostrar,reportagem,programa
305,mostrar,reportagem,programa
306,mostrar,reportagem,programa
307,assinar,por,ser
308,assinar,por,ser
309,assinar,por,ser
310,assinar,por,ser
311,assinar,por,ser
312,assinar,por,ser
313,assinar,por,ser
314,assinar,por,ser
315,assinar,por,ser
316,assinar,por,ser
317,assinar,por,ser
318,dividir,por,se
319,dividir,por,se
320,dividir,por,se
321,dividir,por,se
322,dividir,por,se
323,dividir,por,se
324,dividir,por,se
325,dividir,por,se
326,dividir,por,se
327,dividir,por,se
328,dividir,por,se
329,dividir,por,se
330,dividir,por,se
331,dividir,por,se
332,dividir,por,se
333,dividir,por,se
334,dividir,por,se
335,dividir,por,se
336,dividir,por,se
337,dividir,por,se
338,dividir,por,se
339,dividir,por,se
340,dividir,por,se
341,afirmar,o,-
342,afirmar,o,-
343,afirmar,o,-
344,afirmar,o,-
345,afirmar,o,-
346,afirmar,o,-
347,afirmar,o,-
348,afirmar,o,-
349,afirmar,o,-
350,afirmar,o,-
351,afirmar,o,-
352,afirmar,o,-
353,afirmar,o,-
354,afirmar,o,-
355,afirmar,o,-
356,afirmar,o,-
357,afirmar,o,-
358,afirmar,o,-
359,afirmar,o,-
360,afirmar,o,-
361,afirmar,o,-
362,ler,matéria,-
363,ler,matéria,-
364,ler,matéria,-
365,ler,matéria,-
366,ler,matéria,-
367,ler,matéria,-
368,ler,matéria,-
369,ler,matéria,-
370,ler,matéria,-
371,ler,matéria,-
372,ler,matéria,-
373,ler,matéria,-
374,ler,matéria,-
375,ler,matéria,-
376,ler,matéria,-
377,ler,matéria,-
378,ler,matéria,-
379,ler,matéria,-
380,ler,matéria,-
381,ler,matéria,-
382,ler,matéria,-
383,contar,hoje,dever
384,contar,hoje,dever
385,contar,hoje,dever
386,contar,hoje,dever
387,contar,hoje,dever
388,contar,hoje,dever
389,contar,hoje,dever
390,contar,hoje,dever
391,contar,hoje,dever
392,contar,hoje,dever
393,contar,hoje,dever
394,contar,hoje,dever
395,contar,hoje,dever
396,contar,hoje,dever
397,contar,hoje,dever
398,apresentar,anteontem,se
399,apresentar,anteontem,se
400,apresentar,anteontem,se
401,apresentar,anteontem,se
402,apresentar,anteontem,se
403,apresentar,anteontem,se
404,apresentar,anteontem,se
405,apresentar,anteontem,se
406,apresentar,anteontem,se
407,apresentar,anteontem,se
408,apresentar,anteontem,se
409,apresentar,anteontem,se
410,apresentar,anteontem,se
411,apresentar,anteontem,se
412,apresentar,anteontem,se
413,apresentar,anteontem,se
414,apresentar,anteontem,se
415,apresentar,anteontem,se
416,apresentar,anteontem,se
417,apresentar,anteontem,se
418,apresentar,anteontem,se
419,apresentar,anteontem,se
420,apresentar,anteontem,se
421,pedir,mais,-
422,pedir,mais,-
423,pedir,mais,-
424,pedir,mais,-
425,pedir,mais,-
426,pedir,mais,-
427,pedir,mais,-
428,pedir,mais,-
429,pedir,mais,-
430,pedir,mais,-
431,pedir,mais,-
432,pedir,mais,-
433,pedir,mais,-
434,pedir,mais,-
435,pedir,mais,-
436,pedir,mais,-
437,pedir,mais,-
438,pedir,mais,-
439,pedir,mais,-
440,pedir,mais,-
441,pedir,mais,-
442,pedir,mais,-
443,pedir,mais,-
444,valer,o,-
445,valer,o,-
446,valer,o,-
447,valer,o,-
448,valer,o,-
449,valer,o,-
450,valer,o,-
451,valer,o,-
452,valer,o,-
453,valer,o,-
454,valer,o,-
455,valer,o,-
456,valer,o,-
457,valer,o,-
458,valer,o,-
459,valer,o,-
460,valer,o,-
461,valer,o,-
462,trazer,um,pena
463,trazer,um,pena
464,trazer,um,pena
465,trazer,um,pena
466,trazer,um,pena
467,trazer,um,pena
468,trazer,um,pena
469,trazer,um,pena
470,trazer,um,pena
471,trazer,um,pena
472,trazer,um,pena
473,trazer,um,pena
474,trazer,um,pena
475,trazer,um,pena
476,trazer,um,pena
477,trazer,um,pena
478,trazer,um,pena
479,trazer,um,pena
480,vender,o,também
481,vender,o,também
482,vender,o,também
483,vender,o,também
484,vender,o,também
485,vender,o,também
486,vender,o,também
487,vender,o,também
488,vender,o,também
489,vender,o,também
490,vender,em,ser
491,vender,em,ser
492,vender,em,ser
493,vender,em,ser
494,vender,em,ser
495,vender,em,ser
496,vender,em,ser
497,vender,em,ser
498,vender,em,ser
499,vender,em,ser
500,vender,em,ser
501,vender,em,ser
502,vender,em,ser
503,vender,em,ser
504,vender,em,ser
505,vender,em,ser
506,ter,como,ser
507,ter,como,ser
508,ter,como,ser
509,ter,como,ser
510,ter,como,ser
511,ter,como,ser
512,ter,como,ser
513,ter,como,ser
514,ter,como,ser
515,ter,como,ser
516,ter,como,ser
517,ter,como,ser
518,ter,como,ser
519,ter,como,ser
520,ter,como,ser
521,deslocar,de,ser
522,deslocar,de,ser
523,deslocar,de,ser
524,deslocar,de,ser
525,deslocar,de,ser
526,deslocar,de,ser
527,deslocar,de,ser
528,deslocar,de,ser
529,deslocar,de,ser
530,deslocar,de,ser
531,deslocar,de,ser
532,deslocar,de,ser
533,deslocar,de,ser
534,deslocar,de,ser
535,deslocar,de,ser
536,deslocar,de,ser
537,deslocar,de,ser
538,deslocar,de,ser
539,deslocar,de,ser
540,deslocar,de,ser
541,deslocar,de,ser
542,fazer,um,-
543,fazer,um,-
544,fazer,um,-
545,fazer,um,-
546,fazer,um,-
547,fazer,um,-
548,fazer,um,-
549,fazer,um,-
550,fazer,um,-
551,fazer,um,-
552,fazer,um,-
553,fazer,um,-
554,fazer,um,-
555,fazer,um,-
556,fazer,um,-
557,fazer,um,-
558,fazer,um,-
559,fazer,um,-
560,fazer,um,-
561,fazer,um,-
562,fazer,um,-
563,fazer,um,-
564,fazer,um,-
565,fazer,um,-
566,fazer,um,-
567,fazer,um,-
568,fazer,um,-
569,fazer,um,-
570,fazer,um,-
571,fazer,um,-
572,fazer,um,-
573,fazer,um,-
574,fazer,um,-
575,fazer,um,-
576,anunciar,o,para
577,anunciar,o,para
578,anunciar,o,para
579,anunciar,o,para
580,anunciar,o,para
581,anunciar,o,para
582,anunciar,o,para
583,anunciar,o,para
584,anunciar,o,para
585,anunciar,o,para
586,anunciar,o,para
587,anunciar,o,para
588,anunciar,o,para
589,anunciar,o,para
590,anunciar,o,para
591,anunciar,o,para
592,anunciar,o,para
593,anunciar,o,para
594,anunciar,o,para
595,anunciar,o,para
596,anunciar,o,para
597,anunciar,o,para
598,anunciar,o,para
599,anunciar,o,para
600,anunciar,o,para
601,anunciar,o,para
602,anunciar,o,para
603,anunciar,o,para
604,anunciar,o,para
605,anunciar,o,para
606,anunciar,o,para
607,anunciar,o,para
608,anunciar,o,para
609,anunciar,o,para
610,destinar,o,de
611,destinar,o,de
612,destinar,o,de
613,destinar,o,de
614,destinar,o,de
615,destinar,o,de
616,destinar,o,de
617,destinar,o,de
618,destinar,o,de
619,destinar,o,de
620,destinar,o,de
621,destinar,o,de
622,destinar,o,de
623,destinar,o,de
624,destinar,o,de
625,destinar,o,de
626,destinar,o,de
627,destinar,o,de
628,destinar,o,de
629,destinar,o,de
630,destinar,o,de
631,destinar,o,de
632,destinar,o,de
633,destinar,o,de
634,destinar,o,de
635,destinar,o,de
636,destinar,o,de
637,destinar,o,de
638,destinar,o,de
639,destinar,o,de
640,destinar,o,de
641,destinar,o,de
642,destinar,o,de
643,destinar,o,de
644,dizer,ontem,-
645,dizer,ontem,-
646,dizer,ontem,-
647,dizer,ontem,-
648,dizer,ontem,-
649,dizer,ontem,-
650,dizer,ontem,-
651,dizer,ontem,-
652,dizer,ontem,-
653,dizer,ontem,-
654,dizer,ontem,-
655,dizer,ontem,-
656,dizer,ontem,-
657,dizer,ontem,-
658,dizer,ontem,-
659,dizer,ontem,-
660,dizer,ontem,-
661,dizer,ontem,-
662,dizer,ontem,-
663,dizer,ontem,-
664,dizer,ontem,-
665,dizer,ontem,-
666,dizer,ontem,-
667,dizer,ontem,-
668,dizer,ontem,-
669,dizer,ontem,-
670,dizer,ontem,-
671,dizer,ontem,-
672,dizer,ontem,-
673,dizer,ontem,-
674,dizer,ontem,-
675,comentar,o,ir
676,comentar,o,ir
677,comentar,o,ir
678,comentar,o,ir
679,comentar,o,ir
680,comentar,o,ir
681,comentar,o,ir
682,comentar,o,ir
683,comentar,o,ir
684,comentar,o,ir
685,comentar,o,ir
686,comentar,o,ir
687,comentar,o,ir
688,comentar,o,ir
689,comentar,o,ir
690,comentar,o,ir
691,comentar,o,ir
692,comentar,o,ir
693,comentar,o,ir
694,comentar,o,ir
695,comentar,o,ir
696,comentar,o,ir
697,comentar,o,ir
698,comentar,o,ir
699,comentar,o,ir
700,comentar,o,ir
701,comentar,o,ir
702,comentar,o,ir
703,comentar,o,ir
704,comentar,o,ir
705,comentar,o,ir
706,ter,informação,não
707,ter,informação,não
708,ter,informação,não
709,ter,informação,não
710,ter,informação,não
711,ter,informação,não
712,ter,informação,não
713,ter,informação,não
714,ter,informação,não
715,ter,informação,não
716,ter,informação,não
717,ter,informação,não
718,ter,informação,não
719,ter,informação,não
720,ter,informação,não
721,ter,informação,não
722,ter,informação,não
723,ter,informação,não
724,ter,informação,não
725,ter,informação,não
726,ter,informação,não
727,ter,informação,não
728,ter,informação,não
729,ter,informação,não
730,ter,informação,não
731,ter,informação,não
732,ter,informação,não
733,ter,informação,não
734,ter,informação,não
735,ter,informação,não
736,ter,informação,não
737,destinar,a,governo
738,destinar,a,governo
739,destinar,a,governo
740,destinar,a,governo
741,destinar,a,governo
742,destinar,a,governo
743,destinar,a,governo
744,destinar,a,governo
745,destinar,a,governo
746,destinar,a,governo
747,destinar,a,governo
748,destinar,a,governo
749,destinar,a,governo
750,destinar,a,governo
751,haver,acordo,não
752,haver,acordo,não
753,haver,acordo,não
754,haver,acordo,não
755,haver,acordo,não
756,haver,acordo,não
757,haver,acordo,não
758,haver,acordo,não
759,haver,acordo,não
760,haver,acordo,não
761,haver,acordo,não
762,haver,acordo,não
763,haver,acordo,não
764,haver,acordo,não
765,haver,acordo,não
766,haver,acordo,não
767,haver,acordo,não
768,haver,acordo,não
769,haver,acordo,não
770,haver,acordo,não
771,haver,acordo,não
772,haver,acordo,não
773,haver,acordo,não
774,haver,acordo,não
775,haver,acordo,não
776,haver,acordo,não
777,haver,acordo,não
778,haver,acordo,não
779,incluir,em,ser
780,incluir,em,ser
781,incluir,em,ser
782,incluir,em,ser
783,incluir,em,ser
784,incluir,em,ser
785,incluir,em,ser
786,incluir,em,ser
787,incluir,em,ser
788,incluir,em,ser
789,incluir,em,ser
790,incluir,em,ser
791,incluir,em,ser
792,incluir,em,ser
793,incluir,em,ser
794,incluir,em,ser
795,incluir,em,ser
796,incluir,em,ser
797,incluir,em,ser
798,incluir,em,ser
799,incluir,em,ser
800,incluir,em,ser
801,incluir,em,ser
802,incluir,em,ser
803,incluir,em,ser
804,incluir,em,ser
805,incluir,em,ser
806,incluir,em,ser
807,entrar,com,de
808,entrar,com,de
809,entrar,com,de
810,entrar,com,de
811,entrar,com,de
812,entrar,com,de
813,entrar,com,de
814,entrar,com,de
815,entrar,com,de
816,entrar,com,de
817,entrar,com,de
818,entrar,com,de
819,entrar,com,de
820,entrar,com,de
821,entrar,com,de
822,entrar,com,de
823,entrar,com,de
824,entrar,com,de
825,entrar,com,de
826,entrar,com,de
827,entrar,com,de
828,entrar,com,de
829,entrar,com,de
830,entrar,com,de
831,entrar,com,de
832,entrar,com,de
833,entrar,com,de
834,entrar,com,de
835,entrar,com,de
836,entrar,com,de
837,entrar,com,de
838,entrar,com,de
839,entrar,com,de
840,entrar,com,de
841,entrar,com,de
842,entrar,com,de
843,entrar,com,de
844,entrar,com,de
845,mandar,a,governo
846,mandar,a,governo
847,mandar,a,governo
848,mandar,a,governo
849,mandar,a,governo
850,mandar,a,governo
851,mandar,a,governo
852,mandar,a,governo
853,mandar,a,governo
854,mandar,a,governo
855,mandar,a,governo
856,mandar,a,governo
857,mandar,a,governo
858,mandar,a,governo
859,mandar,a,governo
860,mandar,a,governo
861,mandar,a,governo
862,mandar,a,governo
863,mandar,a,governo
864,mandar,a,governo
865,mandar,a,governo
866,mandar,a,governo
867,mandar,a,governo
868,mandar,a,governo
869,mandar,a,governo
870,mandar,a,governo
871,mandar,a,governo
872,mandar,a,governo
873,mandar,a,governo
874,mandar,a,governo
875,mandar,a,governo
876,mandar,a,governo
877,mandar,a,governo
878,mandar,a,governo
879,mandar,a,governo
880,mandar,a,governo
881,mandar,a,governo
882,mandar,a,governo
883,aumentar,para,-
884,aumentar,para,-
885,aumentar,para,-
886,aumentar,para,-
887,aumentar,para,-
888,aumentar,para,-
889,aumentar,para,-
890,aumentar,para,-
891,aumentar,para,-
892,aumentar,para,-
893,aumentar,para,-
894,aumentar,para,-
895,aumentar,para,-
896,aumentar,para,-
897,aumentar,para,-
898,aumentar,para,-
899,aumentar,para,-
900,aumentar,para,-
901,aumentar,para,-
902,aumentar,para,-
903,aumentar,para,-
904,aumentar,para,-
905,aumentar,para,-
906,aumentar,para,-
907,aumentar,para,-
908,aumentar,para,-
909,aumentar,para,-
910,aumentar,para,-
911,aumentar,para,-
912,aumentar,para,-
913,aumentar,para,-
914,aumentar,para,-
915,aumentar,para,-
916,aumentar,para,-
917,aumentar,para,-
918,aumentar,para,-
919,aumentar,para,-
920,aumentar,para,-
921,reduzir,o,medida
922,reduzir,o,medida
923,reduzir,o,medida
924,reduzir,o,medida
925,reduzir,o,medida
926,reduzir,o,medida
927,reduzir,o,medida
928,reduzir,o,medida
929,reduzir,o,medida
930,reduzir,o,medida
931,reduzir,o,medida
932,reduzir,o,medida
933,reduzir,o,medida
934,reduzir,o,medida
935,reduzir,o,medida
936,reduzir,o,medida
937,reduzir,o,medida
938,reduzir,o,medida
939,reduzir,o,medida
940,reduzir,o,medida
941,reduzir,o,medida
942,reduzir,o,medida
943,reduzir,o,medida
944,reduzir,o,medida
945,reduzir,o,medida
946,fornecer,recurso,não
947,fornecer,recurso,não
948,fornecer,recurso,não
949,fornecer,recurso,não
950,fornecer,recurso,não
951,fornecer,recurso,não
952,fornecer,recurso,não
953,fornecer,recurso,não
954,fornecer,recurso,não
955,fornecer,recurso,não
956,fornecer,recurso,não
957,fornecer,recurso,não
958,fornecer,recurso,não
959,fornecer,recurso,não
960,fornecer,recurso,não
961,fornecer,recurso,não
962,fornecer,recurso,não
963,fornecer,recurso,não
964,fornecer,recurso,não
965,fornecer,recurso,não
966,fornecer,recurso,não
967,fornecer,recurso,não
968,fornecer,recurso,não
969,fornecer,recurso,não
970,fornecer,recurso,não
971,quebrar,aquele,
972,quebrar,aquele,
973,quebrar,aquele,
974,quebrar,aquele,
975,quebrar,aquele,
976,quebrar,aquele,
977,quebrar,aquele,
978,quebrar,aquele,
979,quebrar,aquele,
980,quebrar,aquele,
981,quebrar,aquele,
982,quebrar,aquele,
983,quebrar,aquele,
984,quebrar,aquele,
985,quebrar,aquele,
986,quebrar,aquele,
987,quebrar,aquele,
988,quebrar,aquele,
989,quebrar,aquele,
990,quebrar,aquele,
991,quebrar,aquele,
992,quebrar,aquele,
993,quebrar,aquele,
994,quebrar,aquele,
995,quebrar,aquele,
996,quebrar,aquele,
997,quebrar,aquele,
998,quebrar,aquele,
999,quebrar,aquele,
1000,quebrar,aquele,
1001,quebrar,aquele,
1002,quebrar,aquele,
1003,quebrar,aquele,
1004,quebrar,aquele,
1005,quebrar,aquele,
1006,financiar,em,que
1007,financiar,em,que
1008,financiar,em,que
1009,financiar,em,que
1010,financiar,em,que
1011,financiar,em,que
1012,financiar,em,que
1013,financiar,em,que
1014,financiar,em,que
1015,financiar,em,que
1016,financiar,em,que
1017,financiar,em,que
1018,financiar,em,que
1019,financiar,em,que
1020,financiar,em,que
1021,financiar,em,que
1022,financiar,em,que
1023,financiar,em,que
1024,financiar,em,que
1025,financiar,em,que
1026,financiar,em,que
1027,financiar,em,que
1028,financiar,em,que
1029,financiar,em,que
1030,financiar,em,que
1031,financiar,em,que
1032,financiar,em,que
1033,financiar,em,que
1034,financiar,em,que
1035,financiar,em,que
1036,financiar,em,que
1037,financiar,em,que
1038,financiar,em,que
1039,financiar,em,que
1040,financiar,em,que
1041,jogar,quem,só
1042,jogar,quem,só
1043,jogar,quem,só
1044,jogar,quem,só
1045,jogar,quem,só
1046,jogar,quem,só
1047,jogar,quem,só
1048,estar,bem,quem
1049,estar,bem,quem
1050,estar,bem,quem
1051,estar,bem,quem
1052,estar,bem,quem
1053,estar,bem,quem
1054,estar,bem,quem
1055,forçar,seu,ninguém
1056,forçar,seu,ninguém
1057,forçar,seu,ninguém
1058,forçar,seu,ninguém
1059,forçar,seu,ninguém
1060,forçar,seu,ninguém
1061,forçar,seu,ninguém
1062,forçar,seu,ninguém
1063,forçar,seu,ninguém
1064,forçar,seu,ninguém
1065,forçar,seu,ninguém
1066,forçar,seu,ninguém
1067,forçar,seu,ninguém
1068,forçar,seu,ninguém
1069,haver,quem,porque
1070,haver,quem,porque
1071,haver,quem,porque
1072,haver,quem,porque
1073,haver,quem,porque
1074,haver,quem,porque
1075,haver,quem,porque
1076,haver,quem,porque
1077,haver,quem,porque
1078,haver,quem,porque
1079,haver,quem,porque
1080,haver,quem,porque
1081,haver,quem,porque
1082,haver,quem,porque
1083,escalar,o,quem
1084,escalar,o,quem
1085,escalar,o,quem
1086,escalar,o,quem
1087,escalar,o,quem
1088,escalar,o,quem
1089,escalar,o,quem
1090,escalar,o,quem
1091,escalar,o,quem
1092,escalar,o,quem
1093,escalar,o,quem
1094,escalar,o,quem
1095,escalar,o,quem
1096,escalar,o,quem
1097,jogar,porque,não
1098,jogar,porque,não
1099,jogar,porque,não
1100,jogar,porque,não
1101,jogar,porque,não
1102,jogar,porque,não
1103,jogar,porque,não
1104,jogar,porque,não
1105,jogar,porque,não
1106,estar,bem,não
1107,estar,bem,não
1108,estar,bem,não
1109,estar,bem,não
1110,estar,bem,não
1111,estar,bem,não
1112,estar,bem,não
1113,estar,bem,não
1114,estar,bem,não
1115,achar,de,senhor
1116,achar,de,senhor
1117,achar,de,senhor
1118,achar,de,senhor
1119,achar,de,senhor
1120,achar,de,senhor
1121,achar,de,senhor
1122,achar,de,senhor
1123,achar,de,senhor
1124,achar,de,senhor
1125,achar,de,senhor
1126,achar,de,senhor
1127,achar,de,senhor
1128,achar,de,senhor
1129,achar,de,senhor
1130,resolver,contar,árbitro
1131,resolver,contar,árbitro
1132,resolver,contar,árbitro
1133,resolver,contar,árbitro
1134,resolver,contar,árbitro
1135,resolver,contar,árbitro
1136,resolver,contar,árbitro
1137,resolver,contar,árbitro
1138,resolver,contar,árbitro
1139,resolver,contar,árbitro
1140,resolver,contar,árbitro
1141,resolver,contar,árbitro
1142,resolver,contar,árbitro
1143,resolver,contar,árbitro
1144,resolver,contar,árbitro
1145,resolver,contar,árbitro
1146,contar,todo,resolver
1147,contar,todo,resolver
1148,contar,todo,resolver
1149,contar,todo,resolver
1150,contar,todo,resolver
1151,contar,todo,resolver
1152,contar,todo,resolver
1153,contar,todo,resolver
1154,contar,todo,resolver
1155,contar,todo,resolver
1156,contar,todo,resolver
1157,contar,todo,resolver
1158,contar,todo,resolver
1159,contar,todo,resolver
1160,contar,todo,resolver
1161,contar,todo,resolver
1162,ter,mais_de,federação
1163,ter,mais_de,federação
1164,ter,mais_de,federação
1165,ter,mais_de,federação
1166,ter,mais_de,federação
1167,ter,mais_de,federação
1168,ter,mais_de,federação
1169,ter,mais_de,federação
1170,ter,mais_de,federação
1171,ter,mais_de,federação
1172,ter,mais_de,federação
1173,ter,mais_de,federação
1174,ter,mais_de,federação
1175,ter,mais_de,federação
1176,ter,mais_de,federação
1177,ter,mais_de,federação
1178,seguir,o,precisar
1179,seguir,o,precisar
1180,seguir,o,precisar
1181,seguir,o,precisar
1182,seguir,o,precisar
1183,seguir,o,precisar
1184,seguir,o,precisar
1185,seguir,o,precisar
1186,seguir,o,precisar
1187,seguir,o,precisar
1188,seguir,o,precisar
1189,seguir,o,precisar
1190,seguir,o,precisar
1191,seguir,o,precisar
1192,seguir,o,precisar
1193,seguir,o,precisar
1194,seguir,o,precisar
1195,seguir,o,precisar
1196,apresentar,todo,e
1197,apresentar,todo,e
1198,apresentar,todo,e
1199,apresentar,todo,e
1200,apresentar,todo,e
1201,apresentar,todo,e
1202,apresentar,todo,e
1203,apresentar,todo,e
1204,apresentar,todo,e
1205,apresentar,todo,e
1206,apresentar,todo,e
1207,apresentar,todo,e
1208,apresentar,todo,e
1209,apresentar,todo,e
1210,apresentar,todo,e
1211,apresentar,todo,e
1212,apresentar,todo,e
1213,apresentar,todo,e
1214,dirigir,um,eu
1215,dirigir,um,eu
1216,dirigir,um,eu
