,FORM_CTX_P+0,FORM_CTX_P+1,FORM_CTX_P-1
102,participando,de,PT
103,participando,de,PT
104,participando,de,PT
105,participando,de,PT
106,participando,de,PT
107,participando,de,PT
108,participando,de,PT
109,participando,de,PT
110,participando,de,PT
111,participando,de,PT
112,participando,de,PT
113,participando,de,PT
114,participando,de,PT
115,participando,de,PT
116,participando,de,PT
117,participando,de,PT
118,participando,de,PT
119,participando,de,PT
120,participando,de,PT
121,participando,de,PT
122,participando,de,PT
123,participando,de,PT
124,participando,de,PT
125,participando,de,PT
126,participando,de,PT
127,participando,de,PT
128,participando,de,PT
129,participando,de,PT
130,participando,de,PT
131,participando,de,PT
132,Tem,sentido,
133,Tem,sentido,
134,Tem,sentido,
135,Tem,sentido,
136,Tem,sentido,
137,Tem,sentido,
138,Tem,sentido,
139,Tem,sentido,
140,encontraram,um,ainda
141,encontraram,um,ainda
142,encontraram,um,ainda
143,encontraram,um,ainda
144,encontraram,um,ainda
145,encontraram,um,ainda
146,encontraram,um,ainda
147,encontraram,um,ainda
148,encontraram,um,ainda
149,encontraram,um,ainda
150,encontraram,um,ainda
151,encontraram,um,ainda
152,encontraram,um,ainda
153,se,dizem,Eles
154,se,dizem,Eles
155,se,dizem,Eles
156,se,dizem,Eles
157,se,dizem,Eles
158,se,dizem,Eles
159,se,dizem,Eles
160,se,dizem,Eles
161,se,dizem,Eles
162,se,dizem,Eles
163,se,dizem,Eles
164,se,dizem,Eles
165,se,dizem,Eles
166,informaram,o_que,não
167,informaram,o_que,não
168,informaram,o_que,não
169,informaram,o_que,não
170,informaram,o_que,não
171,informaram,o_que,não
172,informaram,o_que,não
173,informaram,o_que,não
174,informaram,o_que,não
175,informaram,o_que,não
176,informaram,o_que,não
177,informaram,o_que,não
178,informaram,o_que,não
179,combater,.,vão
180,combater,.,vão
181,combater,.,vão
182,combater,.,vão
183,combater,.,vão
184,combater,.,vão
185,combater,.,vão
186,combater,.,vão
187,combater,.,vão
188,combater,.,vão
189,combater,.,vão
190,combater,.,vão
191,combater,.,vão
192,coincidem,com,governo
193,coincidem,com,governo
194,coincidem,com,governo
195,coincidem,com,governo
196,coincidem,com,governo
197,coincidem,com,governo
198,coincidem,com,governo
199,coincidem,com,governo
200,coincidem,com,governo
201,coincidem,com,governo
202,coincidem,com,governo
203,coincidem,com,governo
204,coincidem,com,governo
205,coincidem,com,governo
206,coincidem,com,governo
207,coincidem,com,governo
208,chega,a,»
209,chega,a,»
210,chega,a,»
211,chega,a,»
212,chega,a,»
213,chega,a,»
214,vista,por,ser
215,vista,por,ser
216,vista,por,ser
217,vista,por,ser
218,vista,por,ser
219,vista,por,ser
220,vista,por,ser
221,vista,por,ser
222,vista,por,ser
223,vista,por,ser
224,vista,por,ser
225,vista,por,ser
226,vista,por,ser
227,vista,por,ser
228,vista,por,ser
229,vista,por,ser
230,vista,por,ser
231,estreou,em,Cultura
232,estreou,em,Cultura
233,estreou,em,Cultura
234,estreou,em,Cultura
235,estreou,em,Cultura
236,estreou,em,Cultura
237,estreou,em,Cultura
238,estreou,em,Cultura
239,estreou,em,Cultura
240,estreou,em,Cultura
241,estreou,em,Cultura
242,estreou,em,Cultura
243,estreou,em,Cultura
244,estreou,em,Cultura
245,negociada,.,sendo
246,negociada,.,sendo
247,negociada,.,sendo
248,negociada,.,sendo
249,negociada,.,sendo
250,negociada,.,sendo
251,negociada,.,sendo
252,negociada,.,sendo
253,negociada,.,sendo
254,negociada,.,sendo
255,negociada,.,sendo
256,negociada,.,sendo
257,negociada,.,sendo
258,negociada,.,sendo
259,negociada,.,sendo
260,negociada,.,sendo
261,negociada,.,sendo
262,negociada,.,sendo
263,negociada,.,sendo
264,negociada,.,sendo
265,negociada,.,sendo
266,estréia,novo,Manchete
267,estréia,novo,Manchete
268,estréia,novo,Manchete
269,estréia,novo,Manchete
270,estréia,quarta-feira,que
271,estréia,quarta-feira,que
272,estréia,quarta-feira,que
273,estréia,quarta-feira,que
274,estréia,quarta-feira,que
275,estréia,quarta-feira,que
276,estréia,quarta-feira,que
277,estréia,quarta-feira,que
278,estréia,quarta-feira,que
279,estréia,quarta-feira,que
280,estréia,quarta-feira,que
281,estréia,quarta-feira,que
282,estréia,quarta-feira,que
283,estréia,quarta-feira,que
284,estréia,quarta-feira,que
285,estréia,quarta-feira,que
286,estréia,quarta-feira,que
287,estréia,quarta-feira,que
288,estréia,quarta-feira,que
289,estréia,quarta-feira,que
290,estréia,quarta-feira,que
291,estréia,quarta-feira,que
292,estréia,quarta-feira,que
293,mostrará,reportagens,programa
294,mostrará,reportagens,programa
295,mostrará,reportagens,programa
296,mostrará,reportagens,programa
297,mostrará,reportagens,programa
298,mostrará,reportagens,programa
299,mostrará,reportagens,programa
300,mostrará,reportagens,programa
301,mostrará,reportagens,programa
302,mostrará,reportagens,programa
303,mostrará,reportagens,programa
304,mostrará,reportagens,programa
305,mostrará,reportagens,programa
306,mostrará,reportagens,programa
307,assinada,por,será
308,assinada,por,será
309,assinada,por,será
310,assinada,por,será
311,assinada,por,será
312,assinada,por,será
313,assinada,por,será
314,assinada,por,será
315,assinada,por,será
316,assinada,por,será
317,assinada,por,será
318,dividem,por,se
319,dividem,por,se
320,dividem,por,se
321,dividem,por,se
322,dividem,por,se
323,dividem,por,se
324,dividem,por,se
325,dividem,por,se
326,dividem,por,se
327,dividem,por,se
328,dividem,por,se
329,dividem,por,se
330,dividem,por,se
331,dividem,por,se
332,dividem,por,se
333,dividem,por,se
334,dividem,por,se
335,dividem,por,se
336,dividem,por,se
337,dividem,por,se
338,dividem,por,se
339,dividem,por,se
340,dividem,por,se
341,afirmou,o,","
342,afirmou,o,","
343,afirmou,o,","
344,afirmou,o,","
345,afirmou,o,","
346,afirmou,o,","
347,afirmou,o,","
348,afirmou,o,","
349,afirmou,o,","
350,afirmou,o,","
351,afirmou,o,","
352,afirmou,o,","
353,afirmou,o,","
354,afirmou,o,","
355,afirmou,o,","
356,afirmou,o,","
357,afirmou,o,","
358,afirmou,o,","
359,afirmou,o,","
360,afirmou,o,","
361,afirmou,o,","
362,leia,matéria,(
363,leia,matéria,(
364,leia,matéria,(
365,leia,matéria,(
366,leia,matéria,(
367,leia,matéria,(
368,leia,matéria,(
369,leia,matéria,(
370,leia,matéria,(
371,leia,matéria,(
372,leia,matéria,(
373,leia,matéria,(
374,leia,matéria,(
375,leia,matéria,(
376,leia,matéria,(
377,leia,matéria,(
378,leia,matéria,(
379,leia,matéria,(
380,leia,matéria,(
381,leia,matéria,(
382,leia,matéria,(
383,contar,hoje,deve
384,contar,hoje,deve
385,contar,hoje,deve
386,contar,hoje,deve
387,contar,hoje,deve
388,contar,hoje,deve
389,contar,hoje,deve
390,contar,hoje,deve
391,contar,hoje,deve
392,contar,hoje,deve
393,contar,hoje,deve
394,contar,hoje,deve
395,contar,hoje,deve
396,contar,hoje,deve
397,contar,hoje,deve
398,apresentado,anteontem,se
399,apresentado,anteontem,se
400,apresentado,anteontem,se
401,apresentado,anteontem,se
402,apresentado,anteontem,se
403,apresentado,anteontem,se
404,apresentado,anteontem,se
405,apresentado,anteontem,se
406,apresentado,anteontem,se
407,apresentado,anteontem,se
408,apresentado,anteontem,se
409,apresentado,anteontem,se
410,apresentado,anteontem,se
411,apresentado,anteontem,se
412,apresentado,anteontem,se
413,apresentado,anteontem,se
414,apresentado,anteontem,se
415,apresentado,anteontem,se
416,apresentado,anteontem,se
417,apresentado,anteontem,se
418,apresentado,anteontem,se
419,apresentado,anteontem,se
420,apresentado,anteontem,se
421,pediu,mais,","
422,pediu,mais,","
423,pediu,mais,","
424,pediu,mais,","
425,pediu,mais,","
426,pediu,mais,","
427,pediu,mais,","
428,pediu,mais,","
429,pediu,mais,","
430,pediu,mais,","
431,pediu,mais,","
432,pediu,mais,","
433,pediu,mais,","
434,pediu,mais,","
435,pediu,mais,","
436,pediu,mais,","
437,pediu,mais,","
438,pediu,mais,","
439,pediu,mais,","
440,pediu,mais,","
441,pediu,mais,","
442,pediu,mais,","
443,pediu,mais,","
444,vale,a,","
445,vale,a,","
446,vale,a,","
447,vale,a,","
448,vale,a,","
449,vale,a,","
450,vale,a,","
451,vale,a,","
452,vale,a,","
453,vale,a,","
454,vale,a,","
455,vale,a,","
456,vale,a,","
457,vale,a,","
458,vale,a,","
459,vale,a,","
460,vale,a,","
461,vale,a,","
462,trazer,uma,pena
463,trazer,uma,pena
464,trazer,uma,pena
465,trazer,uma,pena
466,trazer,uma,pena
467,trazer,uma,pena
468,trazer,uma,pena
469,trazer,uma,pena
470,trazer,uma,pena
471,trazer,uma,pena
472,trazer,uma,pena
473,trazer,uma,pena
474,trazer,uma,pena
475,trazer,uma,pena
476,trazer,uma,pena
477,trazer,uma,pena
478,trazer,uma,pena
479,trazer,uma,pena
480,vendem,o,também
481,vendem,o,também
482,vendem,o,também
483,vendem,o,também
484,vendem,o,também
485,vendem,o,também
486,vendem,o,também
487,vendem,o,também
488,vendem,o,também
489,vendem,o,também
490,vendido,em,é
491,vendido,em,é
492,vendido,em,é
493,vendido,em,é
494,vendido,em,é
495,vendido,em,é
496,vendido,em,é
497,vendido,em,é
498,vendido,em,é
499,vendido,em,é
500,vendido,em,é
501,vendido,em,é
502,vendido,em,é
503,vendido,em,é
504,vendido,em,é
505,vendido,em,é
506,tido,como,era
507,tido,como,era
508,tido,como,era
509,tido,como,era
510,tido,como,era
511,tido,como,era
512,tido,como,era
513,tido,como,era
514,tido,como,era
515,tido,como,era
516,tido,como,era
517,tido,como,era
518,tido,como,era
519,tido,como,era
520,tido,como,era
521,deslocado,de,foi
522,deslocado,de,foi
523,deslocado,de,foi
524,deslocado,de,foi
525,deslocado,de,foi
526,deslocado,de,foi
527,deslocado,de,foi
528,deslocado,de,foi
529,deslocado,de,foi
530,deslocado,de,foi
531,deslocado,de,foi
532,deslocado,de,foi
533,deslocado,de,foi
534,deslocado,de,foi
535,deslocado,de,foi
536,deslocado,de,foi
537,deslocado,de,foi
538,deslocado,de,foi
539,deslocado,de,foi
540,deslocado,de,foi
541,deslocado,de,foi
542,fez,um,","
543,fez,um,","
544,fez,um,","
545,fez,um,","
546,fez,um,","
547,fez,um,","
548,fez,um,","
549,fez,um,","
550,fez,um,","
551,fez,um,","
552,fez,um,","
553,fez,um,","
554,fez,um,","
555,fez,um,","
556,fez,um,","
557,fez,um,","
558,fez,um,","
559,fez,um,","
560,fez,um,","
561,fez,um,","
562,fez,um,","
563,fez,um,","
564,fez,um,","
565,fez,um,","
566,fez,um,","
567,fez,um,","
568,fez,um,","
569,fez,um,","
570,fez,um,","
571,fez,um,","
572,fez,um,","
573,fez,um,","
574,fez,um,","
575,fez,um,","
576,anunciar,a,para
577,anunciar,a,para
578,anunciar,a,para
579,anunciar,a,para
580,anunciar,a,para
581,anunciar,a,para
582,anunciar,a,para
583,anunciar,a,para
584,anunciar,a,para
585,anunciar,a,para
586,anunciar,a,para
587,anunciar,a,para
588,anunciar,a,para
589,anunciar,a,para
590,anunciar,a,para
591,anunciar,a,para
592,anunciar,a,para
593,anunciar,a,para
594,anunciar,a,para
595,anunciar,a,para
596,anunciar,a,para
597,anunciar,a,para
598,anunciar,a,para
599,anunciar,a,para
600,anunciar,a,para
601,anunciar,a,para
602,anunciar,a,para
603,anunciar,a,para
604,anunciar,a,para
605,anunciar,a,para
606,anunciar,a,para
607,anunciar,a,para
608,anunciar,a,para
609,anunciar,a,para
610,destinar,o,de
611,destinar,o,de
612,destinar,o,de
613,destinar,o,de
614,destinar,o,de
615,destinar,o,de
616,destinar,o,de
617,destinar,o,de
618,destinar,o,de
619,destinar,o,de
620,destinar,o,de
621,destinar,o,de
622,destinar,o,de
623,destinar,o,de
624,destinar,o,de
625,destinar,o,de
626,destinar,o,de
627,destinar,o,de
628,destinar,o,de
629,destinar,o,de
630,destinar,o,de
631,destinar,o,de
632,destinar,o,de
633,destinar,o,de
634,destinar,o,de
635,destinar,o,de
636,destinar,o,de
637,destinar,o,de
638,destinar,o,de
639,destinar,o,de
640,destinar,o,de
641,destinar,o,de
642,destinar,o,de
643,destinar,o,de
644,disse,ontem,","
645,disse,ontem,","
646,disse,ontem,","
647,disse,ontem,","
648,disse,ontem,","
649,disse,ontem,","
650,disse,ontem,","
651,disse,ontem,","
652,disse,ontem,","
653,disse,ontem,","
654,disse,ontem,","
655,disse,ontem,","
656,disse,ontem,","
657,disse,ontem,","
658,disse,ontem,","
659,disse,ontem,","
660,disse,ontem,","
661,disse,ontem,","
662,disse,ontem,","
663,disse,ontem,","
664,disse,ontem,","
665,disse,ontem,","
666,disse,ontem,","
667,disse,ontem,","
668,disse,ontem,","
669,disse,ontem,","
670,disse,ontem,","
671,disse,ontem,","
672,disse,ontem,","
673,disse,ontem,","
674,disse,ontem,","
675,comentar,o,iria
676,comentar,o,iria
677,comentar,o,iria
678,comentar,o,iria
679,comentar,o,iria
680,comentar,o,iria
681,comentar,o,iria
682,comentar,o,iria
683,comentar,o,iria
684,comentar,o,iria
685,comentar,o,iria
686,comentar,o,iria
687,comentar,o,iria
688,comentar,o,iria
689,comentar,o,iria
690,comentar,o,iria
691,comentar,o,iria
692,comentar,o,iria
693,comentar,o,iria
694,comentar,o,iria
695,comentar,o,iria
696,comentar,o,iria
697,comentar,o,iria
698,comentar,o,iria
699,comentar,o,iria
700,comentar,o,iria
701,comentar,o,iria
702,comentar,o,iria
703,comentar,o,iria
704,comentar,o,iria
705,comentar,o,iria
706,tinha,informações,não
707,tinha,informações,não
708,tinha,informações,não
709,tinha,informações,não
710,tinha,informações,não
711,tinha,informações,não
712,tinha,informações,não
713,tinha,informações,não
714,tinha,informações,não
715,tinha,informações,não
716,tinha,informações,não
717,tinha,informações,não
718,tinha,informações,não
719,tinha,informações,não
720,tinha,informações,não
721,tinha,informações,não
722,tinha,informações,não
723,tinha,informações,não
724,tinha,informações,não
725,tinha,informações,não
726,tinha,informações,não
727,tinha,informações,não
728,tinha,informações,não
729,tinha,informações,não
730,tinha,informações,não
731,tinha,informações,não
732,tinha,informações,não
733,tinha,informações,não
734,tinha,informações,não
735,tinha,informações,não
736,tinha,informações,não
737,destinava,a,governo
738,destinava,a,governo
739,destinava,a,governo
740,destinava,a,governo
741,destinava,a,governo
742,destinava,a,governo
743,destinava,a,governo
744,destinava,a,governo
745,destinava,a,governo
746,destinava,a,governo
747,destinava,a,governo
748,destinava,a,governo
749,destinava,a,governo
750,destinava,a,governo
751,houve,acordo,não
752,houve,acordo,não
753,houve,acordo,não
754,houve,acordo,não
755,houve,acordo,não
756,houve,acordo,não
757,houve,acordo,não
758,houve,acordo,não
759,houve,acordo,não
760,houve,acordo,não
761,houve,acordo,não
762,houve,acordo,não
763,houve,acordo,não
764,houve,acordo,não
765,houve,acordo,não
766,houve,acordo,não
767,houve,acordo,não
768,houve,acordo,não
769,houve,acordo,não
770,houve,acordo,não
771,houve,acordo,não
772,houve,acordo,não
773,houve,acordo,não
774,houve,acordo,não
775,houve,acordo,não
776,houve,acordo,não
777,houve,acordo,não
778,houve,acordo,não
779,incluída,em,foi
780,incluída,em,foi
781,incluída,em,foi
782,incluída,em,foi
783,incluída,em,foi
784,incluída,em,foi
785,incluída,em,foi
786,incluída,em,foi
787,incluída,em,foi
788,incluída,em,foi
789,incluída,em,foi
790,incluída,em,foi
791,incluída,em,foi
792,incluída,em,foi
793,incluída,em,foi
794,incluída,em,foi
795,incluída,em,foi
796,incluída,em,foi
797,incluída,em,foi
798,incluída,em,foi
799,incluída,em,foi
800,incluída,em,foi
801,incluída,em,foi
802,incluída,em,foi
803,incluída,em,foi
804,incluída,em,foi
805,incluída,em,foi
806,incluída,em,foi
807,entrar,com,de
808,entrar,com,de
809,entrar,com,de
810,entrar,com,de
811,entrar,com,de
812,entrar,com,de
813,entrar,com,de
814,entrar,com,de
815,entrar,com,de
816,entrar,com,de
817,entrar,com,de
818,entrar,com,de
819,entrar,com,de
820,entrar,com,de
821,entrar,com,de
822,entrar,com,de
823,entrar,com,de
824,entrar,com,de
825,entrar,com,de
826,entrar,com,de
827,entrar,com,de
828,entrar,com,de
829,entrar,com,de
830,entrar,com,de
831,entrar,com,de
832,entrar,com,de
833,entrar,com,de
834,entrar,com,de
835,entrar,com,de
836,entrar,com,de
837,entrar,com,de
838,entrar,com,de
839,entrar,com,de
840,entrar,com,de
841,entrar,com,de
842,entrar,com,de
843,entrar,com,de
844,entrar,com,de
845,mandou,a,governo
846,mandou,a,governo
847,mandou,a,governo
848,mandou,a,governo
849,mandou,a,governo
850,mandou,a,governo
851,mandou,a,governo
852,mandou,a,governo
853,mandou,a,governo
854,mandou,a,governo
855,mandou,a,governo
856,mandou,a,governo
857,mandou,a,governo
858,mandou,a,governo
859,mandou,a,governo
860,mandou,a,governo
861,mandou,a,governo
862,mandou,a,governo
863,mandou,a,governo
864,mandou,a,governo
865,mandou,a,governo
866,mandou,a,governo
867,mandou,a,governo
868,mandou,a,governo
869,mandou,a,governo
870,mandou,a,governo
871,mandou,a,governo
872,mandou,a,governo
873,mandou,a,governo
874,mandou,a,governo
875,mandou,a,governo
876,mandou,a,governo
877,mandou,a,governo
878,mandou,a,governo
879,mandou,a,governo
880,mandou,a,governo
881,mandou,a,governo
882,mandou,a,governo
883,aumentando,para,","
884,aumentando,para,","
885,aumentando,para,","
886,aumentando,para,","
887,aumentando,para,","
888,aumentando,para,","
889,aumentando,para,","
890,aumentando,para,","
891,aumentando,para,","
892,aumentando,para,","
893,aumentando,para,","
894,aumentando,para,","
895,aumentando,para,","
896,aumentando,para,","
897,aumentando,para,","
898,aumentando,para,","
899,aumentando,para,","
900,aumentando,para,","
901,aumentando,para,","
902,aumentando,para,","
903,aumentando,para,","
904,aumentando,para,","
905,aumentando,para,","
906,aumentando,para,","
907,aumentando,para,","
908,aumentando,para,","
909,aumentando,para,","
910,aumentando,para,","
911,aumentando,para,","
912,aumentando,para,","
913,aumentando,para,","
914,aumentando,para,","
915,aumentando,para,","
916,aumentando,para,","
917,aumentando,para,","
918,aumentando,para,","
919,aumentando,para,","
920,aumentando,para,","
921,reduziram,a,medidas
922,reduziram,a,medidas
923,reduziram,a,medidas
924,reduziram,a,medidas
925,reduziram,a,medidas
926,reduziram,a,medidas
927,reduziram,a,medidas
928,reduziram,a,medidas
929,reduziram,a,medidas
930,reduziram,a,medidas
931,reduziram,a,medidas
932,reduziram,a,medidas
933,reduziram,a,medidas
934,reduziram,a,medidas
935,reduziram,a,medidas
936,reduziram,a,medidas
937,reduziram,a,medidas
938,reduziram,a,medidas
939,reduziram,a,medidas
940,reduziram,a,medidas
941,reduziram,a,medidas
942,reduziram,a,medidas
943,reduziram,a,medidas
944,reduziram,a,medidas
945,reduziram,a,medidas
946,fornecer,recursos,não
947,fornecer,recursos,não
948,fornecer,recursos,não
949,fornecer,recursos,não
950,fornecer,recursos,não
951,fornecer,recursos,não
952,fornecer,recursos,não
953,fornecer,recursos,não
954,fornecer,recursos,não
955,fornecer,recursos,não
956,fornecer,recursos,não
957,fornecer,recursos,não
958,fornecer,recursos,não
959,fornecer,recursos,não
960,fornecer,recursos,não
961,fornecer,recursos,não
962,fornecer,recursos,não
963,fornecer,recursos,não
964,fornecer,recursos,não
965,fornecer,recursos,não
966,fornecer,recursos,não
967,fornecer,recursos,não
968,fornecer,recursos,não
969,fornecer,recursos,não
970,fornecer,recursos,não
971,Quebraram,aquelas,
972,Quebraram,aquelas,
973,Quebraram,aquelas,
974,Quebraram,aquelas,
975,Quebraram,aquelas,
976,Quebraram,aquelas,
977,Quebraram,aquelas,
978,Quebraram,aquelas,
979,Quebraram,aquelas,
980,Quebraram,aquelas,
981,Quebraram,aquelas,
982,Quebraram,aquelas,
983,Quebraram,aquelas,
984,Quebraram,aquelas,
985,Quebraram,aquelas,
986,Quebraram,aquelas,
987,Quebraram,aquelas,
988,Quebraram,aquelas,
989,Quebraram,aquelas,
990,Quebraram,aquelas,
991,Quebraram,aquelas,
992,Quebraram,aquelas,
993,Quebraram,aquelas,
994,Quebraram,aquelas,
995,Quebraram,aquelas,
996,Quebraram,aquelas,
997,Quebraram,aquelas,
998,Quebraram,aquelas,
999,Quebraram,aquelas,
1000,Quebraram,aquelas,
1001,Quebraram,aquelas,
1002,Quebraram,aquelas,
1003,Quebraram,aquelas,
1004,Quebraram,aquelas,
1005,Quebraram,aquelas,
1006,financiavam,em,que
1007,financiavam,em,que
1008,financiavam,em,que
1009,financiavam,em,que
1010,financiavam,em,que
1011,financiavam,em,que
1012,financiavam,em,que
1013,financiavam,em,que
1014,financiavam,em,que
1015,financiavam,em,que
1016,financiavam,em,que
1017,financiavam,em,que
1018,financiavam,em,que
1019,financiavam,em,que
1020,financiavam,em,que
1021,financiavam,em,que
1022,financiavam,em,que
1023,financiavam,em,que
1024,financiavam,em,que
1025,financiavam,em,que
1026,financiavam,em,que
1027,financiavam,em,que
1028,financiavam,em,que
1029,financiavam,em,que
1030,financiavam,em,que
1031,financiavam,em,que
1032,financiavam,em,que
1033,financiavam,em,que
1034,financiavam,em,que
1035,financiavam,em,que
1036,financiavam,em,que
1037,financiavam,em,que
1038,financiavam,em,que
1039,financiavam,em,que
1040,financiavam,em,que
1041,joga,quem,só
1042,joga,quem,só
1043,joga,quem,só
1044,joga,quem,só
1045,joga,quem,só
1046,joga,quem,só
1047,joga,quem,só
1048,está,bem,quem
1049,está,bem,quem
1050,está,bem,quem
1051,está,bem,quem
1052,está,bem,quem
1053,está,bem,quem
1054,está,bem,quem
1055,força,sua,Ninguém
1056,força,sua,Ninguém
1057,força,sua,Ninguém
1058,força,sua,Ninguém
1059,força,sua,Ninguém
1060,força,sua,Ninguém
1061,força,sua,Ninguém
1062,força,sua,Ninguém
1063,força,sua,Ninguém
1064,força,sua,Ninguém
1065,força,sua,Ninguém
1066,força,sua,Ninguém
1067,força,sua,Ninguém
1068,força,sua,Ninguém
1069,há,quem,porque
1070,há,quem,porque
1071,há,quem,porque
1072,há,quem,porque
1073,há,quem,porque
1074,há,quem,porque
1075,há,quem,porque
1076,há,quem,porque
1077,há,quem,porque
1078,há,quem,porque
1079,há,quem,porque
1080,há,quem,porque
1081,há,quem,porque
1082,há,quem,porque
1083,escale,o,quem
1084,escale,o,quem
1085,escale,o,quem
1086,escale,o,quem
1087,escale,o,quem
1088,escale,o,quem
1089,escale,o,quem
1090,escale,o,quem
1091,escale,o,quem
1092,escale,o,quem
1093,escale,o,quem
1094,escale,o,quem
1095,escale,o,quem
1096,escale,o,quem
1097,jogava,porque,não
1098,jogava,porque,não
1099,jogava,porque,não
1100,jogava,porque,não
1101,jogava,porque,não
1102,jogava,porque,não
1103,jogava,porque,não
1104,jogava,porque,não
1105,jogava,porque,não
1106,estava,bem,não
1107,estava,bem,não
1108,estava,bem,não
1109,estava,bem,não
1110,estava,bem,não
1111,estava,bem,não
1112,estava,bem,não
1113,estava,bem,não
1114,estava,bem,não
1115,acha,de,senhor
1116,acha,de,senhor
1117,acha,de,senhor
1118,acha,de,senhor
1119,acha,de,senhor
1120,acha,de,senhor
1121,acha,de,senhor
1122,acha,de,senhor
1123,acha,de,senhor
1124,acha,de,senhor
1125,acha,de,senhor
1126,acha,de,senhor
1127,acha,de,senhor
1128,acha,de,senhor
1129,acha,de,senhor
1130,resolveram,contar,árbitros
1131,resolveram,contar,árbitros
1132,resolveram,contar,árbitros
1133,resolveram,contar,árbitros
1134,resolveram,contar,árbitros
1135,resolveram,contar,árbitros
1136,resolveram,contar,árbitros
1137,resolveram,contar,árbitros
1138,resolveram,contar,árbitros
1139,resolveram,contar,árbitros
1140,resolveram,contar,árbitros
1141,resolveram,contar,árbitros
1142,resolveram,contar,árbitros
1143,resolveram,contar,árbitros
1144,resolveram,contar,árbitros
1145,resolveram,contar,árbitros
1146,contar,todos,resolveram
1147,contar,todos,resolveram
1148,contar,todos,resolveram
1149,contar,todos,resolveram
1150,contar,todos,resolveram
1151,contar,todos,resolveram
1152,contar,todos,resolveram
1153,contar,todos,resolveram
1154,contar,todos,resolveram
1155,contar,todos,resolveram
1156,contar,todos,resolveram
1157,contar,todos,resolveram
1158,contar,todos,resolveram
1159,contar,todos,resolveram
1160,contar,todos,resolveram
1161,contar,todos,resolveram
1162,tem,mais_de,federação
1163,tem,mais_de,federação
1164,tem,mais_de,federação
1165,tem,mais_de,federação
1166,tem,mais_de,federação
1167,tem,mais_de,federação
1168,tem,mais_de,federação
1169,tem,mais_de,federação
1170,tem,mais_de,federação
1171,tem,mais_de,federação
1172,tem,mais_de,federação
1173,tem,mais_de,federação
1174,tem,mais_de,federação
1175,tem,mais_de,federação
1176,tem,mais_de,federação
1177,tem,mais_de,federação
1178,seguir,o,precisa
1179,seguir,o,precisa
1180,seguir,o,precisa
1181,seguir,o,precisa
1182,seguir,o,precisa
1183,seguir,o,precisa
1184,seguir,o,precisa
1185,seguir,o,precisa
1186,seguir,o,precisa
1187,seguir,o,precisa
1188,seguir,o,precisa
1189,seguir,o,precisa
1190,seguir,o,precisa
1191,seguir,o,precisa
1192,seguir,o,precisa
1193,seguir,o,precisa
1194,seguir,o,precisa
1195,seguir,o,precisa
1196,apresentar,todos,e
1197,apresentar,todos,e
1198,apresentar,todos,e
1199,apresentar,todos,e
1200,apresentar,todos,e
1201,apresentar,todos,e
1202,apresentar,todos,e
1203,apresentar,todos,e
1204,apresentar,todos,e
1205,apresentar,todos,e
1206,apresentar,todos,e
