INDEX,Y_ARG,Y_T
123951,(C-V*,C-V
123952,*),C-V
123953,(AM-PRD*),AM-PRD
123954,(C-V*),C-V
123955,(AM-PRD*),AM-PRD
123956,(C-V*),C-V
123957,(AM-PRD*),AM-PRD
123958,(C-V*),C-V
123959,(AM-PRD*),AM-PRD
123960,(C-V*),C-V
123961,(AM-PRD*),AM-PRD
123962,(C-V*),C-V
123963,(AM-PRD*),AM-PRD
123964,(C-V*,C-V
123965,*),C-V
123966,(AM-MED*),AM-MED
123967,(C-V*),C-V
123968,(AM-PRD*),AM-PRD
123969,(C-V*),C-V
123970,(AM-PRD*),AM-PRD
123971,(C-V*),C-V
123972,(AM-PRD*),AM-PRD
123973,(C-V*),C-V
123974,(AM-PRD*),AM-PRD
123975,(C-V*),C-V
123976,(AM-PRD*),AM-PRD
123977,(C-V*),C-V
123978,(AM-PRD*),AM-PRD
123979,(C-V*),C-V
123980,(AM-PRD*),AM-PRD
123981,(C-V*),C-V
123982,(AM-PRD*),AM-PRD
123983,(C-AM-LOC*),C-AM-LOC
123984,(C-V*),C-V
123985,(AM-PRD*),AM-PRD
123986,(C-AM-LOC*),C-AM-LOC
123987,(AM-MED*),AM-MED
123988,(AM-PRD*,AM-PRD
123989,*),AM-PRD
123990,(C-V*),C-V
123991,(AM-PRD*),AM-PRD
123992,(C-V*),C-V
123993,(AM-PRD*),AM-PRD
123994,(C-V*),C-V
123995,(AM-PRD*),AM-PRD
123996,(C-V*),C-V
123997,(AM-PRD*),AM-PRD
123998,(C-V*),C-V
123999,(AM-PRD*),AM-PRD
124000,(C-V*),C-V
124001,(AM-PRD*),AM-PRD
124002,(C-V*),C-V
124003,(AM-PRD*),AM-PRD
124004,(C-V*),C-V
124005,(AM-PRD*),AM-PRD
124006,(C-V*),C-V
124007,(AM-PRD*),AM-PRD
124008,(C-V*),C-V
124009,(AM-PRD*),AM-PRD
124010,(C-V*,C-V
124011,*,C-V
124012,*),C-V
124013,(AM-MED*),AM-MED
124014,(AM-PRD*),AM-PRD
124015,(C-V*),C-V
124016,(AM-PRD*),AM-PRD
124017,(C-V*),C-V
124018,(AM-PRD*),AM-PRD
124019,(C-V*),C-V
124020,(AM-PRD*),AM-PRD
124021,(C-V*),C-V
124022,(AM-PRD*),AM-PRD
124023,(C-V*),C-V
124024,(AM-PRD*),AM-PRD
124025,(AM-MED*,AM-MED
124026,*),AM-MED
124027,(AM-PRD*),AM-PRD
124028,(C-V*),C-V
124029,(AM-PRD*),AM-PRD
124030,(C-V*),C-V
124031,(AM-PRD*),AM-PRD
124032,(C-V*),C-V
124033,(AM-PRD*),AM-PRD
124034,(C-V*),C-V
124035,(AM-PRD*),AM-PRD
124036,(C-V*),C-V
124037,(AM-PRD*),AM-PRD
124038,(C-V*),C-V
124039,(AM-PRD*),AM-PRD
124040,(C-V*),C-V
124041,(AM-PRD*),AM-PRD
124042,(C-V*),C-V
124043,(AM-PRD*),AM-PRD
124044,(C-V*),C-V
124045,(AM-PRD*),AM-PRD
124046,(C-V*),C-V
124047,(AM-PRD*),AM-PRD
124048,(C-V*),C-V
124049,(AM-PRD*),AM-PRD
124050,(C-V*),C-V
124051,(AM-PRD*),AM-PRD
124052,(C-V*),C-V
124053,(AM-PRD*),AM-PRD
124054,(C-V*),C-V
124055,(AM-PRD*),AM-PRD
124056,(C-V*),C-V
124057,(AM-PRD*),AM-PRD
124058,(C-V*),C-V
124059,(AM-PRD*),AM-PRD
124060,(C-V*),C-V
124061,(AM-PRD*),AM-PRD
124062,(AM-MED*,AM-MED
124063,*),AM-MED
124064,(AM-PRD*),AM-PRD
124065,(C-AM-ADV*,C-AM-ADV
124066,*),C-AM-ADV
124067,(AM-PRD*),AM-PRD
124068,(C-V*),C-V
124069,(AM-PRD*),AM-PRD
124070,(C-V*),C-V
124071,(AM-PRD*),AM-PRD
124072,(C-V*),C-V
124073,(AM-PRD*),AM-PRD
124074,(C-V*),C-V
124075,(AM-PRD*),AM-PRD
124076,(C-V*),C-V
124077,(AM-PRD*),AM-PRD
124078,(C-V*),C-V
124079,(AM-PRD*),AM-PRD
124080,(C-V*),C-V
124081,(AM-PRD*),AM-PRD
124082,(C-V*),C-V
124083,(AM-PRD*),AM-PRD
124084,(C-V*),C-V
124085,(AM-PRD*),AM-PRD
124086,(C-V*),C-V
124087,(AM-PRD*),AM-PRD
124088,(C-V*),C-V
124089,(AM-PRD*),AM-PRD
124090,(C-V*),C-V
124091,(AM-PRD*),AM-PRD
124092,(A1*),A1
124093,(AM-PRD*),AM-PRD
124094,(A1*),A1
124095,(AM-PRD*),AM-PRD
124096,(C-AM-LOC*),C-AM-LOC
124097,(C-V*),C-V
124098,(AM-PRD*),AM-PRD
124099,(AM-MED*,AM-MED
124100,*),AM-MED
124101,(AM-PRD*),AM-PRD
124102,(C-V*),C-V
124103,(AM-PRD*),AM-PRD
124104,(C-V*),C-V
124105,(AM-PRD*),AM-PRD
124106,(C-V*),C-V
124107,(AM-PRD*),AM-PRD
124108,(C-V*),C-V
124109,(AM-PRD*),AM-PRD
124110,(C-V*),C-V
124111,(AM-PRD*),AM-PRD
124112,(C-V*),C-V
124113,(AM-PRD*),AM-PRD
124114,(C-V*),C-V
124115,(AM-PRD*),AM-PRD
124116,(C-V*),C-V
124117,(AM-PRD*),AM-PRD
124118,(C-V*),C-V
124119,(AM-PRD*),AM-PRD
124120,(C-V*),C-V
124121,(AM-PRD*),AM-PRD
124122,(C-V*),C-V
124123,(AM-PRD*),AM-PRD
124124,(C-V*),C-V
124125,(AM-PRD*),AM-PRD
124126,(C-V*),C-V
124127,(AM-PRD*),AM-PRD
124128,(C-V*),C-V
124129,(AM-PRD*),AM-PRD
124130,(C-V*),C-V
124131,(AM-PRD*),AM-PRD
124132,(C-AM-LOC*),C-AM-LOC
124133,(C-V*),C-V
124134,(AM-PRD*),AM-PRD
124135,(C-V*),C-V
124136,(AM-MED*,AM-MED
124137,*),AM-MED
124138,(C-V*),C-V
124139,(AM-PRD*),AM-PRD
124140,(C-V*),C-V
124141,(AM-PRD*),AM-PRD
124142,(C-V*),C-V
124143,(AM-PRD*),AM-PRD
124144,(C-V*),C-V
124145,(AM-PRD*),AM-PRD
124146,(C-V*),C-V
124147,(AM-PRD*),AM-PRD
124148,(C-V*),C-V
124149,(AM-PRD*),AM-PRD
124150,(C-V*),C-V
124151,(AM-PRD*),AM-PRD
124152,(C-V*),C-V
124153,(AM-PRD*),AM-PRD
124154,(C-V*),C-V
124155,(AM-PRD*),AM-PRD
124156,(C-V*,C-V
124157,*),C-V
124158,(AM-MED*,AM-MED
124159,*),AM-MED
124160,(C-V*),C-V
124161,(AM-PRD*),AM-PRD
124162,(C-V*),C-V
124163,(AM-PRD*),AM-PRD
124164,(C-V*),C-V
124165,(AM-PRD*),AM-PRD
124166,(C-V*),C-V
124167,(AM-PRD*),AM-PRD
124168,(C-V*),C-V
124169,(AM-PRD*),AM-PRD
124170,(C-V*),C-V
124171,(AM-PRD*),AM-PRD
124172,(C-V*),C-V
124173,(AM-PRD*),AM-PRD
124174,(C-V*),C-V
124175,(AM-PRD*),AM-PRD
124176,(C-V*),C-V
124177,(AM-PRD*),AM-PRD
124178,(C-V*),C-V
124179,(AM-PRD*),AM-PRD
124180,(C-V*),C-V
124181,(AM-PRD*),AM-PRD
124182,(C-V*),C-V
124183,(AM-PRD*),AM-PRD
124184,(C-V*),C-V
124185,(AM-PRD*),AM-PRD
124186,(C-V*),C-V
124187,(AM-PRD*),AM-PRD
124188,(C-V*),C-V
124189,(AM-PRD*),AM-PRD
124190,(C-V*),C-V
124191,(AM-MED*,AM-MED
124192,*),AM-MED
124193,(AM-PRD*),AM-PRD
124194,(C-V*),C-V
124195,(AM-PRD*),AM-PRD
124196,(C-V*),C-V
124197,(AM-PRD*),AM-PRD
124198,(C-V*),C-V
124199,(AM-PRD*),AM-PRD
124200,(C-V*),C-V
124201,(AM-LOC*),AM-LOC
124202,(A5*),A5
124203,(AM-LOC*),AM-LOC
124204,(A5*),A5
124205,(AM-LOC*),AM-LOC
124206,(A5*),A5
124207,(AM-LOC*),AM-LOC
124208,(A5*),A5
124209,(AM-LOC*),AM-LOC
124210,(AM-PRD*),AM-PRD
124211,(C-V*),C-V
124212,(AM-PRD*),AM-PRD
124213,(C-V*),C-V
124214,(AM-PRD*),AM-PRD
124215,(C-V*),C-V
124216,(AM-PRD*),AM-PRD
124217,(C-V*),C-V
124218,(AM-PRD*),AM-PRD
124219,(C-V*),C-V
124220,(AM-PRD*),AM-PRD
124221,(C-V*),C-V
124222,(AM-PRD*),AM-PRD
124223,(C-V*),C-V
124224,(AM-PRD*),AM-PRD
124225,(AM-MED*),AM-MED
124226,(AM-PRD*),AM-PRD
124227,(C-V*),C-V
124228,(AM-PRD*),AM-PRD
124229,(C-V*),C-V
124230,(AM-PRD*),AM-PRD
124231,(C-V*),C-V
124232,(AM-PRD*),AM-PRD
124233,(C-V*),C-V
124234,(AM-PRD*),AM-PRD
124235,(C-V*),C-V
124236,(AM-PRD*),AM-PRD
124237,(C-V*),C-V
124238,(AM-PRD*),AM-PRD
124239,(C-V*),C-V
124240,(AM-PRD*),AM-PRD
124241,(C-V*),C-V
124242,(AM-PRD*),AM-PRD
124243,(AM-MED*),AM-MED
124244,(C-V*),C-V
124245,(AM-PRD*),AM-PRD
124246,(C-V*),C-V
124247,(AM-PRD*),AM-PRD
124248,(C-V*),C-V
124249,(AM-PRD*),AM-PRD
124250,(C-V*),C-V
124251,(AM-PRD*),AM-PRD
124252,(C-V*),C-V
124253,(AM-PRD*),AM-PRD
124254,(C-V*),C-V
124255,(AM-PRD*),AM-PRD
124256,(C-V*),C-V
124257,(AM-MED*),AM-MED
124258,(C-V*),C-V
124259,(AM-PRD*),AM-PRD
124260,(C-V*),C-V
124261,(AM-PRD*),AM-PRD
124262,(C-V*),C-V
124263,(AM-PRD*),AM-PRD
124264,(C-V*),C-V
124265,(AM-PRD*),AM-PRD
124266,(C-V*),C-V
124267,(AM-PRD*),AM-PRD
124268,(C-V*,C-V
124269,*),C-V
124270,(AM-PRD*),AM-PRD
124271,(AM-MED*),AM-MED
124272,(C-AM-PNC*),C-AM-PNC
124273,(AM-REC*),AM-REC
124274,(C-V*),C-V
124275,(AM-PRD*,AM-PRD
124276,*),AM-PRD
124277,(C-V*),C-V
124278,(AM-PRD*),AM-PRD
124279,(C-V*),C-V
124280,(AM-PRD*),AM-PRD
124281,(C-V*),C-V
124282,(AM-PRD*,AM-PRD
124283,*,AM-PRD
124284,*),AM-PRD
124285,(AM-MED*,AM-MED
124286,*),AM-MED
124287,(AM-PRD*),AM-PRD
124288,(C-V*),C-V
124289,(AM-PRD*),AM-PRD
124290,(C-V*),C-V
124291,(AM-PRD*),AM-PRD
124292,(C-V*),C-V
124293,(AM-PRD*),AM-PRD
124294,(C-V*),C-V
124295,(AM-PRD*),AM-PRD
124296,(C-V*),C-V
124297,(AM-PRD*),AM-PRD
124298,(C-AM-LOC*),C-AM-LOC
124299,(C-V*),C-V
124300,(AM-PRD*),AM-PRD
124301,(AM-MED*),AM-MED
124302,(AM-PRD*,AM-PRD
124303,*,AM-PRD
124304,*),AM-PRD
124305,(C-V*),C-V
124306,(AM-PRD*),AM-PRD
124307,(C-V*),C-V
124308,(AM-PRD*),AM-PRD
124309,(C-V*),C-V
124310,(AM-PRD*),AM-PRD
124311,(C-V*),C-V
124312,(AM-PRD*),AM-PRD
124313,(C-V*),C-V
124314,(AM-PRD*),AM-PRD
124315,(C-V*),C-V
124316,(AM-PRD*),AM-PRD
124317,(C-V*),C-V
124318,(AM-PRD*),AM-PRD
124319,(C-V*),C-V
124320,(AM-PRD*),AM-PRD
124321,(C-V*),C-V
124322,(AM-PRD*),AM-PRD
124323,(C-V*),C-V
124324,(AM-PRD*),AM-PRD
124325,(C-V*),C-V
124326,(AM-PRD*),AM-PRD
124327,(C-V*),C-V
124328,(AM-PRD*),AM-PRD
124329,(C-V*,C-V
124330,*),C-V
124331,(AM-PRD*),AM-PRD
124332,(AM-MED*,AM-MED
124333,*,AM-MED
124334,*),AM-MED
124335,(AM-PRD*),AM-PRD
124336,(C-AM-PNC*),C-AM-PNC
124337,(AM-PRD*),AM-PRD
124338,(C-V*),C-V
124339,(AM-PRD*),AM-PRD
124340,(C-V*),C-V
124341,(AM-PRD*),AM-PRD
124342,(C-V*),C-V
124343,(AM-PRD*),AM-PRD
124344,(C-V*),C-V
124345,(AM-PRD*),AM-PRD
124346,(C-V*),C-V
124347,(AM-PRD*),AM-PRD
124348,(C-V*),C-V
124349,(AM-PRD*),AM-PRD
124350,(C-V*),C-V
124351,(AM-PRD*),AM-PRD
124352,(C-V*),C-V
124353,(AM-PRD*),AM-PRD
124354,(C-V*),C-V
124355,(AM-PRD*),AM-PRD
124356,(C-V*),C-V
124357,(AM-PRD*),AM-PRD
124358,(C-V*),C-V
124359,(AM-PRD*),AM-PRD
124360,(C-V*),C-V
124361,(AM-PRD*),AM-PRD
124362,(C-V*),C-V
124363,(AM-PRD*),AM-PRD
124364,(AM-MED*,AM-MED
124365,*),AM-MED
124366,(C-AM-ADV*,C-AM-ADV
124367,*),C-AM-ADV
124368,(C-V*),C-V
124369,(AM-PRD*),AM-PRD
124370,(C-V*),C-V
124371,(AM-PRD*),AM-PRD
124372,(C-V*),C-V
124373,(AM-PRD*),AM-PRD
124374,(C-V*),C-V
124375,(AM-PRD*),AM-PRD
124376,(C-V*),C-V
124377,(AM-PRD*),AM-PRD
124378,(C-V*),C-V
124379,(AM-PRD*),AM-PRD
124380,(C-V*),C-V
124381,(AM-PRD*),AM-PRD
124382,(C-V*),C-V
124383,(AM-PRD*),AM-PRD
124384,(C-V*),C-V
124385,(AM-PRD*),AM-PRD
124386,(C-V*),C-V
124387,(AM-PRD*),AM-PRD
124388,(C-V*),C-V
124389,(AM-PRD*),AM-PRD
124390,(C-V*),C-V
124391,(AM-PRD*),AM-PRD
124392,(C-V*),C-V
124393,(AM-PRD*),AM-PRD
124394,(C-V*),C-V
124395,(AM-PRD*),AM-PRD
124396,(A5*),A5
124397,(AM-MED*),AM-MED
124398,(C-V*),C-V
124399,(AM-PRD*),AM-PRD
124400,(C-V*),C-V
124401,(AM-PRD*),AM-PRD
124402,(C-V*),C-V
124403,(AM-PRD*),AM-PRD
124404,(C-V*),C-V
124405,(AM-PRD*),AM-PRD
124406,(C-V*),C-V
124407,(AM-PRD*),AM-PRD
124408,(C-V*),C-V
124409,(AM-PRD*),AM-PRD
124410,(C-V*),C-V
124411,(AM-PRD*),AM-PRD
124412,(C-V*),C-V
124413,(AM-PRD*),AM-PRD
124414,(C-V*),C-V
124415,(AM-PRD*),AM-PRD
124416,(C-V*),C-V
124417,(AM-PRD*),AM-PRD
124418,(C-V*,C-V
124419,*),C-V
124420,(AM-PRD*),AM-PRD
124421,(AM-MED*),AM-MED
124422,(AM-PRD*),AM-PRD
124423,(C-V*),C-V
124424,(AM-PRD*),AM-PRD
124425,(C-V*),C-V
124426,(AM-PRD*),AM-PRD
124427,(C-V*),C-V
124428,(AM-PRD*),AM-PRD
124429,(C-V*),C-V
124430,(AM-PRD*),AM-PRD
124431,(C-V*),C-V
124432,(AM-PRD*),AM-PRD
124433,(C-V*),C-V
124434,(AM-PRD*),AM-PRD
124435,(C-V*),C-V
124436,(AM-PRD*),AM-PRD
124437,(C-V*),C-V
124438,(AM-PRD*),AM-PRD
124439,(C-AM-LOC*),C-AM-LOC
124440,(C-V*),C-V
124441,(AM-PRD*),AM-PRD
124442,(C-AM-LOC*),C-AM-LOC
124443,(AM-MED*),AM-MED
124444,(AM-PRD*,AM-PRD
124445,*),AM-PRD
124446,(C-V*),C-V
124447,(AM-PRD*),AM-PRD
124448,(C-V*),C-V
124449,(AM-PRD*),AM-PRD
124450,(C-V*),C-V
124451,(AM-PRD*),AM-PRD
124452,(C-V*),C-V
124453,(AM-PRD*),AM-PRD
124454,(C-V*),C-V
124455,(AM-PRD*),AM-PRD
124456,(C-V*),C-V
124457,(AM-PRD*),AM-PRD
124458,(C-V*),C-V
124459,(AM-PRD*),AM-PRD
124460,(C-V*),C-V
124461,(AM-PRD*),AM-PRD
124462,(C-V*),C-V
124463,(AM-PRD*,AM-PRD
124464,*),AM-PRD
124465,(AM-MED*),AM-MED
124466,(C-V*),C-V
124467,(AM-PRD*),AM-PRD
124468,(C-V*),C-V
124469,(AM-PRD*),AM-PRD
124470,(C-V*),C-V
124471,(AM-PRD*),AM-PRD
124472,(C-V*),C-V
124473,(AM-PRD*),AM-PRD
124474,(C-V*),C-V
124475,(AM-PRD*),AM-PRD
124476,(C-V*),C-V
124477,(AM-PRD*),AM-PRD
124478,(C-V*),C-V
124479,(AM-PRD*),AM-PRD
124480,(C-V*),C-V
124481,(AM-PRD*),AM-PRD
124482,(C-V*),C-V
124483,(AM-PRD*),AM-PRD
124484,(C-V*),C-V
124485,(AM-PRD*),AM-PRD
124486,(C-V*),C-V
124487,(AM-MED*),AM-MED
124488,(C-V*),C-V
124489,(AM-PRD*),AM-PRD
124490,(C-V*),C-V
124491,(AM-PRD*),AM-PRD
124492,(C-V*),C-V
124493,(AM-PRD*),AM-PRD
124494,(C-V*),C-V
124495,(AM-PRD*),AM-PRD
124496,(C-V*),C-V
124497,(AM-PRD*),AM-PRD
124498,(C-V*),C-V
124499,(AM-PRD*),AM-PRD
124500,(C-V*),C-V
124501,(AM-PRD*),AM-PRD
124502,(C-V*),C-V
124503,(AM-PRD*),AM-PRD
124504,(C-V*),C-V
124505,(AM-PRD*),AM-PRD
124506,(C-V*),C-V
124507,(AM-PRD*),AM-PRD
124508,(C-V*),C-V
124509,(AM-PRD*),AM-PRD
124510,(C-V*),C-V
124511,(AM-PRD*),AM-PRD
124512,(C-V*),C-V
124513,(AM-PRD*),AM-PRD
124514,(C-V*),C-V
124515,(AM-MED*),AM-MED
124516,(AM-PRD*),AM-PRD
124517,(C-V*),C-V
124518,(AM-PRD*),AM-PRD
124519,(C-V*),C-V
124520,(AM-PRD*),AM-PRD
124521,(C-V*),C-V
124522,(AM-PRD*),AM-PRD
124523,(C-V*),C-V
124524,(AM-PRD*),AM-PRD
124525,(C-V*),C-V
124526,(AM-PRD*),AM-PRD
124527,(C-V*),C-V
124528,(AM-PRD*),AM-PRD
124529,(C-V*),C-V
124530,(AM-PRD*),AM-PRD
124531,(C-V*),C-V
124532,(AM-PRD*),AM-PRD
124533,(C-V*),C-V
124534,(AM-PRD*),AM-PRD
124535,(C-V*),C-V
124536,(AM-PRD*),AM-PRD
124537,(C-V*),C-V
124538,(AM-PRD*),AM-PRD
124539,(C-V*),C-V
124540,(AM-PRD*),AM-PRD
124541,(C-V*),C-V
124542,(AM-PRD*),AM-PRD
124543,(AM-MED*),AM-MED
124544,(AM-PRD*),AM-PRD
124545,(C-V*),C-V
124546,(AM-PRD*),AM-PRD
124547,(C-V*),C-V
124548,(AM-PRD*),AM-PRD
124549,(C-V*),C-V
124550,(AM-PRD*),AM-PRD
124551,(C-V*),C-V
124552,(AM-PRD*),AM-PRD
124553,(C-V*),C-V
124554,(AM-PRD*),AM-PRD
124555,(C-V*),C-V
124556,(AM-PRD*),AM-PRD
124557,(C-V*),C-V
124558,(AM-PRD*),AM-PRD
124559,(C-V*),C-V
124560,(AM-PRD*),AM-PRD
124561,(C-V*),C-V
124562,(AM-PRD*),AM-PRD
124563,(C-V*),C-V
124564,(AM-PRD*),AM-PRD
124565,(C-V*),C-V
124566,(AM-PRD*),AM-PRD
124567,(C-V*),C-V
124568,(AM-PRD*),AM-PRD
124569,(C-V*),C-V
124570,(AM-PRD*),AM-PRD
124571,(AM-MED*),AM-MED
124572,(AM-PRD*),AM-PRD
124573,(C-V*),C-V
124574,(AM-PRD*),AM-PRD
124575,(C-V*),C-V
124576,(AM-PRD*),AM-PRD
124577,(C-V*),C-V
124578,(AM-PRD*),AM-PRD
124579,(C-V*),C-V
124580,(AM-PRD*),AM-PRD
124581,(C-V*),C-V
124582,(AM-PRD*),AM-PRD
124583,(C-V*),C-V
124584,(AM-PRD*),AM-PRD
124585,(C-V*),C-V
124586,(AM-PRD*),AM-PRD
124587,(C-V*),C-V
124588,(AM-PRD*),AM-PRD
124589,(C-V*),C-V
124590,(AM-PRD*),AM-PRD
124591,(C-V*),C-V
124592,(AM-PRD*),AM-PRD
124593,(C-V*),C-V
124594,(AM-PRD*),AM-PRD
124595,(C-V*),C-V
124596,(AM-PRD*),AM-PRD
124597,(C-V*),C-V
124598,(AM-MED*,AM-MED
124599,*),AM-MED
124600,(C-AM-PNC*),C-AM-PNC
124601,(AM-ADV*,AM-ADV
124602,*,AM-ADV
124603,*,AM-ADV
124604,*,AM-ADV
124605,*,AM-ADV
124606,*),AM-ADV
124607,(AM-MED*,AM-MED
124608,*,AM-MED
124609,*,AM-MED
124610,*),AM-MED
124611,(C-V*,C-V
124612,*),C-V
124613,(AM-PRD*),AM-PRD
124614,(C-V*),C-V
124615,(AM-PRD*),AM-PRD
124616,(C-V*),C-V
124617,(AM-PRD*),AM-PRD
124618,(C-V*),C-V
124619,(AM-PRD*),AM-PRD
124620,(C-V*),C-V
124621,(AM-PRD*),AM-PRD
124622,(C-V*),C-V
124623,(AM-PRD*),AM-PRD
124624,(C-V*),C-V
124625,(AM-PRD*),AM-PRD
124626,(C-V*,C-V
124627,*),C-V
124628,(AM-MED*),AM-MED
124629,(C-V*),C-V
124630,(AM-PRD*),AM-PRD
124631,(C-V*),C-V
124632,(AM-PRD*),AM-PRD
124633,(C-V*),C-V
124634,(AM-PRD*),AM-PRD
124635,(C-V*),C-V
124636,(AM-PRD*),AM-PRD
124637,(C-V*),C-V
124638,(AM-PRD*),AM-PRD
124639,(C-V*),C-V
124640,(AM-PRD*),AM-PRD
124641,(C-V*),C-V
124642,(AM-PRD*),AM-PRD
124643,(C-V*),C-V
124644,(AM-PRD*),AM-PRD
124645,(C-V*),C-V
124646,(AM-PRD*),AM-PRD
124647,(C-V*),C-V
124648,(AM-PRD*),AM-PRD
124649,(C-V*),C-V
124650,(AM-PRD*),AM-PRD
124651,(C-V*),C-V
124652,(AM-PRD*),AM-PRD
124653,(C-V*),C-V
124654,(AM-PRD*),AM-PRD
124655,(C-V*),C-V
124656,(AM-PRD*),AM-PRD
124657,(C-V*),C-V
124658,(AM-PRD*),AM-PRD
124659,(C-V*),C-V
124660,(AM-PRD*),AM-PRD
124661,(C-V*),C-V
124662,(AM-PRD*),AM-PRD
124663,(C-V*),C-V
124664,(AM-PRD*),AM-PRD
124665,(C-V*),C-V
124666,(AM-PRD*),AM-PRD
124667,(C-V*),C-V
124668,(AM-PRD*),AM-PRD
124669,(C-V*),C-V
124670,(AM-PRD*),AM-PRD
124671,(C-V*),C-V
124672,(AM-PRD*),AM-PRD
124673,(C-V*),C-V
124674,(AM-PRD*),AM-PRD
124675,(C-V*),C-V
124676,(AM-MED*,AM-MED
124677,*),AM-MED
124678,(AM-PRD*),AM-PRD
124679,(C-V*),C-V
124680,(AM-PRD*),AM-PRD
124681,(C-V*),C-V
124682,(AM-PRD*),AM-PRD
124683,(C-V*),C-V
124684,(AM-PRD*),AM-PRD
124685,(C-V*),C-V
124686,(AM-PRD*),AM-PRD
124687,(C-V*),C-V
124688,(AM-PRD*),AM-PRD
124689,(C-V*),C-V
124690,(AM-PRD*),AM-PRD
124691,(C-V*),C-V
124692,(AM-PRD*),AM-PRD
124693,(C-V*),C-V
124694,(AM-PRD*),AM-PRD
124695,(C-V*),C-V
124696,(AM-PRD*),AM-PRD
124697,(C-V*),C-V
124698,(AM-PRD*),AM-PRD
124699,(C-V*),C-V
124700,(AM-PRD*),AM-PRD
124701,(C-V*),C-V
124702,(AM-LOC*),AM-LOC
124703,(A5*),A5
124704,(AM-LOC*),AM-LOC
124705,(A5*),A5
124706,(AM-LOC*),AM-LOC
124707,(A5*),A5
124708,(AM-LOC*),AM-LOC
124709,(A5*),A5
124710,(AM-LOC*),AM-LOC
124711,(A5*),A5
124712,(AM-LOC*),AM-LOC
124713,(A5*),A5
124714,(AM-LOC*),AM-LOC
124715,(AM-PRD*),AM-PRD
124716,(C-V*),C-V
124717,(AM-PRD*),AM-PRD
124718,(C-V*),C-V
124719,(AM-PRD*),AM-PRD
124720,(C-V*),C-V
124721,(AM-PRD*),AM-PRD
124722,(C-V*),C-V
