INDEX,ID,S,P,P_S,FORM,LEMMA,GPOS,MORF,DTREE,FUNC,CTREE,PRED,ARG,CTX_P+1,CTX_P+2,CTX_P+3,CTX_P-1,CTX_P-2,CTX_P-3,M_R,PRED_1,T
123892,18,2880,5101,0,salariais,salarial,ADJ,F|P,17,N<,(ADJP*),-,*,que,Lídice,estar,prefeitura,o,de,1,reclamar,A1
123893,19,2880,5101,0,de,de,PRP,-,17,N<ARGS,(PP*,-,*,que,Lídice,estar,prefeitura,o,de,1,reclamar,A1
123894,20,2880,5101,0,a,o,ART,F|S,21,>N,(NP*,-,*,que,Lídice,estar,prefeitura,o,de,1,reclamar,A1
123895,21,2880,5101,0,categoria,categoria,N,F|S,19,P<,*)))))),-,*),que,Lídice,estar,prefeitura,o,de,1,reclamar,A1
123896,22,2880,5101,0,.,-,PU,-,6,PU,*),-,*,que,Lídice,estar,prefeitura,o,de,1,reclamar,*
123897,1,2880,5102,1,Os,o,ART,M|P,2,>N,(FCL(NP*,-,*,desde,maio,o,estar,Lídice,que,0,adiar,*
123898,2,2880,5102,1,funcionários,funcionário,N,M|P,6,SUBJ,*,-,*,desde,maio,o,estar,Lídice,que,0,adiar,*
123899,3,2880,5102,1,de,de,PRP,-,2,N<,(PP*,-,*,desde,maio,o,estar,Lídice,que,0,adiar,*
123900,4,2880,5102,1,a,o,ART,F|S,5,>N,(NP*,-,*,desde,maio,o,estar,Lídice,que,0,adiar,*
123901,5,2880,5102,1,prefeitura,prefeitura,N,F|S,3,P<,*))),-,*,desde,maio,o,estar,Lídice,que,0,adiar,*
123902,6,2880,5102,1,reclamam,reclamar,V-FIN,PR|3P|IND,0,STA,(VP*),-,*,desde,maio,o,estar,Lídice,que,0,adiar,*
123903,7,2880,5102,1,que,que,CONJ-S,-,9,SUB,(FCL*,-,*,desde,maio,o,estar,Lídice,que,0,adiar,*
123904,8,2880,5102,1,Lídice,Lídice,PROP,M|S,9,SUBJ,(NP*),-,(A0*),desde,maio,o,estar,Lídice,que,0,adiar,A0
123905,9,2880,5102,1,está,estar,V-FIN,PR|3S|IND,6,ACC,(VP*,-,*,desde,maio,o,estar,Lídice,que,0,adiar,*
123906,10,2880,5102,1,adiando,adiar,V-GER,-,9,MV,*),adiar,(V*),desde,maio,o,estar,Lídice,que,1,adiar,V
123907,11,2880,5102,1,desde,desde,PRP,-,10,ADVL,(PP*,-,(A2*,desde,maio,o,estar,Lídice,que,1,adiar,A2
123908,12,2880,5102,1,maio,maio,N,M|S,11,P<,(NP*)),-,*),desde,maio,o,estar,Lídice,que,1,adiar,A2
123909,13,2880,5102,1,o,o,ART,M|S,14,>N,(NP*,-,(A1*,desde,maio,o,estar,Lídice,que,1,adiar,A1
123910,14,2880,5102,1,pagamento,pagamento,N,M|S,10,ACC,*,-,*,desde,maio,o,estar,Lídice,que,1,adiar,A1
123911,15,2880,5102,1,de,de,PRP,-,14,N<ARGO,(PP*,-,*,desde,maio,o,estar,Lídice,que,1,adiar,A1
123912,16,2880,5102,1,as,o,ART,F|P,17,>N,(NP*,-,*,desde,maio,o,estar,Lídice,que,1,adiar,A1
123913,17,2880,5102,1,perdas,perda,N,F|P,15,P<,*,-,*,desde,maio,o,estar,Lídice,que,1,adiar,A1
123914,18,2880,5102,1,salariais,salarial,ADJ,F|P,17,N<,(ADJP*),-,*,desde,maio,o,estar,Lídice,que,1,adiar,A1
123915,19,2880,5102,1,de,de,PRP,-,17,N<ARGS,(PP*,-,*,desde,maio,o,estar,Lídice,que,1,adiar,A1
123916,20,2880,5102,1,a,o,ART,F|S,21,>N,(NP*,-,*,desde,maio,o,estar,Lídice,que,1,adiar,A1
123917,21,2880,5102,1,categoria,categoria,N,F|S,19,P<,*)))))),-,*),desde,maio,o,estar,Lídice,que,1,adiar,A1
123918,22,2880,5102,1,.,-,PU,-,6,PU,*),-,*,desde,maio,o,estar,Lídice,que,1,adiar,*
123919,1,2881,5103,0,Eles,eles,PRON-PERS,M|3P|NOM,2,SUBJ,(FCL(NP*),-,(A0*),um,encontro,com,tentar,eles,-,0,agendar,A0
123920,2,2881,5103,0,tentaram,tentar,V-FIN,PS/MQP|3P|IND,0,STA,(VP*),-,*,um,encontro,com,tentar,eles,-,0,agendar,*
123921,3,2881,5103,0,agendar,agendar,V-INF,-,2,ACC,(ICL(VP*),agendar,(V*),um,encontro,com,tentar,eles,-,1,agendar,V
123922,4,2881,5103,0,um,um,ART,M|S,5,>N,(NP*,-,(A1*,um,encontro,com,tentar,eles,-,1,agendar,A1
123923,5,2881,5103,0,encontro,encontro,N,M|S,3,ACC,*,-,*,um,encontro,com,tentar,eles,-,1,agendar,A1
123924,6,2881,5103,0,com,com,PRP,-,5,N<,(PP*,-,*,um,encontro,com,tentar,eles,-,1,agendar,A1
123925,7,2881,5103,0,Lula,Lula,PROP,M|S,6,P<,(NP*)),-,*,um,encontro,com,tentar,eles,-,1,agendar,A1
123926,8,2881,5103,0,para,para,PRP,-,5,N<,(PP*,-,*,um,encontro,com,tentar,eles,-,1,agendar,A1
123927,9,2881,5103,0,pedir,pedir,V-INF,-,8,P<,(ICL(VP*),-,*,um,encontro,com,tentar,eles,-,1,agendar,A1
123928,10,2881,5103,0,que,que,CONJ-S,-,12,SUB,(FCL*,-,*,um,encontro,com,tentar,eles,-,1,agendar,A1
123929,11,2881,5103,0,ele,ele,PRON-PERS,M|3S|NOM,12,SUBJ,(NP*),-,*,um,encontro,com,tentar,eles,-,1,agendar,A1
123930,12,2881,5103,0,ajudasse,ajudar,V-FIN,IMPF|3S|SUBJ,9,ACC,(VP*),-,*,um,encontro,com,tentar,eles,-,1,agendar,A1
123931,13,2881,5103,0,em,em,PRP,-,12,ADVL,(PP*,-,*,um,encontro,com,tentar,eles,-,1,agendar,A1
123932,14,2881,5103,0,a,o,ART,F|S,15,>N,(NP*,-,*,um,encontro,com,tentar,eles,-,1,agendar,A1
123933,15,2881,5103,0,negociação,negociação,N,F|S,13,P<,*))))))),-,*),um,encontro,com,tentar,eles,-,1,agendar,A1
123934,16,2881,5103,0,.,-,PU,-,2,PU,*),-,*,um,encontro,com,tentar,eles,-,1,agendar,*
123935,1,2881,5104,1,Eles,eles,PRON-PERS,M|3P|NOM,2,SUBJ,(FCL(NP*),-,*,que,ele,ajudar,para,Lula,com,0,pedir,*
123936,2,2881,5104,1,tentaram,tentar,V-FIN,PS/MQP|3P|IND,0,STA,(VP*),-,*,que,ele,ajudar,para,Lula,com,0,pedir,*
123937,3,2881,5104,1,agendar,agendar,V-INF,-,2,ACC,(ICL(VP*),-,*,que,ele,ajudar,para,Lula,com,0,pedir,*
123938,4,2881,5104,1,um,um,ART,M|S,5,>N,(NP*,-,*,que,ele,ajudar,para,Lula,com,0,pedir,*
123939,5,2881,5104,1,encontro,encontro,N,M|S,3,ACC,*,-,*,que,ele,ajudar,para,Lula,com,0,pedir,*
123940,6,2881,5104,1,com,com,PRP,-,5,N<,(PP*,-,*,que,ele,ajudar,para,Lula,com,0,pedir,*
123941,7,2881,5104,1,Lula,Lula,PROP,M|S,6,P<,(NP*)),-,*,que,ele,ajudar,para,Lula,com,0,pedir,*
123942,8,2881,5104,1,para,para,PRP,-,5,N<,(PP*,-,*,que,ele,ajudar,para,Lula,com,0,pedir,*
123943,9,2881,5104,1,pedir,pedir,V-INF,-,8,P<,(ICL(VP*),pedir,(V*),que,ele,ajudar,para,Lula,com,1,pedir,V
123944,10,2881,5104,1,que,que,CONJ-S,-,12,SUB,(FCL*,-,(A1*,que,ele,ajudar,para,Lula,com,1,pedir,A1
123945,11,2881,5104,1,ele,ele,PRON-PERS,M|3S|NOM,12,SUBJ,(NP*),-,*,que,ele,ajudar,para,Lula,com,1,pedir,A1
123946,12,2881,5104,1,ajudasse,ajudar,V-FIN,IMPF|3S|SUBJ,9,ACC,(VP*),-,*,que,ele,ajudar,para,Lula,com,1,pedir,A1
123947,13,2881,5104,1,em,em,PRP,-,12,ADVL,(PP*,-,*,que,ele,ajudar,para,Lula,com,1,pedir,A1
123948,14,2881,5104,1,a,o,ART,F|S,15,>N,(NP*,-,*,que,ele,ajudar,para,Lula,com,1,pedir,A1
123949,15,2881,5104,1,negociação,negociação,N,F|S,13,P<,*))))))),-,*),que,ele,ajudar,para,Lula,com,1,pedir,A1
123950,16,2881,5104,1,.,-,PU,-,2,PU,*),-,*,que,ele,ajudar,para,Lula,com,1,pedir,*
123951,1,2881,5105,2,Eles,eles,PRON-PERS,M|3P|NOM,2,SUBJ,(FCL(NP*),-,*,em,o,negociação,ele,que,pedir,0,ajudar,*
123952,2,2881,5105,2,tentaram,tentar,V-FIN,PS/MQP|3P|IND,0,STA,(VP*),-,*,em,o,negociação,ele,que,pedir,0,ajudar,*
123953,3,2881,5105,2,agendar,agendar,V-INF,-,2,ACC,(ICL(VP*),-,*,em,o,negociação,ele,que,pedir,0,ajudar,*
123954,4,2881,5105,2,um,um,ART,M|S,5,>N,(NP*,-,*,em,o,negociação,ele,que,pedir,0,ajudar,*
123955,5,2881,5105,2,encontro,encontro,N,M|S,3,ACC,*,-,*,em,o,negociação,ele,que,pedir,0,ajudar,*
123956,6,2881,5105,2,com,com,PRP,-,5,N<,(PP*,-,*,em,o,negociação,ele,que,pedir,0,ajudar,*
123957,7,2881,5105,2,Lula,Lula,PROP,M|S,6,P<,(NP*)),-,*,em,o,negociação,ele,que,pedir,0,ajudar,*
123958,8,2881,5105,2,para,para,PRP,-,5,N<,(PP*,-,*,em,o,negociação,ele,que,pedir,0,ajudar,*
123959,9,2881,5105,2,pedir,pedir,V-INF,-,8,P<,(ICL(VP*),-,*,em,o,negociação,ele,que,pedir,0,ajudar,*
123960,10,2881,5105,2,que,que,CONJ-S,-,12,SUB,(FCL*,-,*,em,o,negociação,ele,que,pedir,0,ajudar,*
123961,11,2881,5105,2,ele,ele,PRON-PERS,M|3S|NOM,12,SUBJ,(NP*),-,(A0*),em,o,negociação,ele,que,pedir,0,ajudar,A0
123962,12,2881,5105,2,ajudasse,ajudar,V-FIN,IMPF|3S|SUBJ,9,ACC,(VP*),ajudar,(V*),em,o,negociação,ele,que,pedir,1,ajudar,V
123963,13,2881,5105,2,em,em,PRP,-,12,ADVL,(PP*,-,(A1*,em,o,negociação,ele,que,pedir,1,ajudar,A1
123964,14,2881,5105,2,a,o,ART,F|S,15,>N,(NP*,-,*,em,o,negociação,ele,que,pedir,1,ajudar,A1
123965,15,2881,5105,2,negociação,negociação,N,F|S,13,P<,*))))))),-,*),em,o,negociação,ele,que,pedir,1,ajudar,A1
123966,16,2881,5105,2,.,-,PU,-,2,PU,*),-,*,em,o,negociação,ele,que,pedir,1,ajudar,*
123967,1,2882,5106,0,Uma,um,ART,F|S,2,>N,(FCL(NP*,-,(A0*,uma,de,o,-,Goya,de,0,ocupar,A0
123968,2,2882,5106,0,reprodução,reprodução,N,F|S,13,SUBJ,*,-,*,uma,de,o,-,Goya,de,0,ocupar,A0
123969,3,2882,5106,0,gigantesca,gigantesco,ADJ,F|S,2,N<,(ADJP*),-,*,uma,de,o,-,Goya,de,0,ocupar,A0
123970,4,2882,5106,0,de,de,PRP,-,2,N<,(PP*,-,*,uma,de,o,-,Goya,de,0,ocupar,A0
123971,5,2882,5106,0,a,o,ART,F|S,7,>N,(NP*,-,*,uma,de,o,-,Goya,de,0,ocupar,A0
123972,6,2882,5106,0,«,-,PU,-,7,PU,*,-,*,uma,de,o,-,Goya,de,0,ocupar,A0
123973,7,2882,5106,0,Maja_Desnuda,Maja_Desnuda,PROP,F|S,4,P<,*,-,*,uma,de,o,-,Goya,de,0,ocupar,A0
123974,8,2882,5106,0,»,-,PU,-,7,PU,*,-,*,uma,de,o,-,Goya,de,0,ocupar,A0
123975,9,2882,5106,0,",",-,PU,-,7,PU,*,-,*,uma,de,o,-,Goya,de,0,ocupar,A0
123976,10,2882,5106,0,de,de,PRP,-,7,N<PRED,(PP*,-,*,uma,de,o,-,Goya,de,0,ocupar,A0
123977,11,2882,5106,0,Goya,Goya,PROP,M|S,10,P<,(NP*)),-,*,uma,de,o,-,Goya,de,0,ocupar,A0
123978,12,2882,5106,0,",",-,PU,-,7,PU,*))),-,*),uma,de,o,-,Goya,de,0,ocupar,A0
123979,13,2882,5106,0,ocupa,ocupar,V-FIN,PR|3S|IND,0,STA,(VP*),ocupar,(V*),uma,de,o,-,Goya,de,1,ocupar,V
123980,14,2882,5106,0,uma,uma,NUM,F|S,13,ACC,(ADJP*,-,(A1*,uma,de,o,-,Goya,de,1,ocupar,A1
123981,15,2882,5106,0,de,de,PRP,-,14,N<,(PP*,-,*,uma,de,o,-,Goya,de,1,ocupar,A1
123982,16,2882,5106,0,as,o,ART,F|P,17,>N,(NP*,-,*,uma,de,o,-,Goya,de,1,ocupar,A1
123983,17,2882,5106,0,paredes,parede,N,F|P,15,P<,*,-,*,uma,de,o,-,Goya,de,1,ocupar,A1
123984,18,2882,5106,0,de,de,PRP,-,17,N<,(PP*,-,*,uma,de,o,-,Goya,de,1,ocupar,A1
123985,19,2882,5106,0,a,o,ART,F|S,20,>N,(NP*,-,*,uma,de,o,-,Goya,de,1,ocupar,A1
123986,20,2882,5106,0,casa,casa,N,F|S,18,P<,*))))),-,*),uma,de,o,-,Goya,de,1,ocupar,A1
123987,21,2882,5106,0,.,-,PU,-,13,PU,*),-,*,uma,de,o,-,Goya,de,1,ocupar,*
123988,1,2883,5107,0,Em,em,PRP,-,7,ADVL,(FCL(PP*,-,(AM-LOC*,bala,-,cigarro,funcionário,um,-,0,vender,AM-LOC
123989,2,2883,5107,0,o,o,ART,M|S,3,>N,(NP*,-,*,bala,-,cigarro,funcionário,um,-,0,vender,AM-LOC
123990,3,2883,5107,0,banheiro,banheiro,N,M|S,1,P<,*)),-,*),bala,-,cigarro,funcionário,um,-,0,vender,AM-LOC
123991,4,2883,5107,0,",",-,PU,-,7,PU,*,-,*,bala,-,cigarro,funcionário,um,-,0,vender,*
123992,5,2883,5107,0,um,um,ART,M|S,6,>N,(NP*,-,(A0*,bala,-,cigarro,funcionário,um,-,0,vender,A0
123993,6,2883,5107,0,funcionário,funcionário,N,M|S,7,SUBJ,*),-,*),bala,-,cigarro,funcionário,um,-,0,vender,A0
123994,7,2883,5107,0,vende,vender,V-FIN,PR|3S|IND,0,STA,(VP*),vender,(V*),bala,-,cigarro,funcionário,um,-,1,vender,V
123995,8,2883,5107,0,balas,bala,N,F|P,7,ACC,(CU(NP*),-,(A1*,bala,-,cigarro,funcionário,um,-,1,vender,A1
123996,9,2883,5107,0,",",-,PU,-,8,PU,*,-,*,bala,-,cigarro,funcionário,um,-,1,vender,A1
123997,10,2883,5107,0,cigarros,cigarro,N,M|P,8,CJT,(NP*),-,*,bala,-,cigarro,funcionário,um,-,1,vender,A1
123998,11,2883,5107,0,",",-,PU,-,8,PU,*,-,*,bala,-,cigarro,funcionário,um,-,1,vender,A1
123999,12,2883,5107,0,chocolates,chocolate,N,M|P,8,CJT,(NP*),-,*,bala,-,cigarro,funcionário,um,-,1,vender,A1
124000,13,2883,5107,0,",",-,PU,-,8,PU,*,-,*,bala,-,cigarro,funcionário,um,-,1,vender,A1
124001,14,2883,5107,0,água,água,N,F|S,8,CJT,(NP*,-,*,bala,-,cigarro,funcionário,um,-,1,vender,A1
124002,15,2883,5107,0,mineral,mineral,ADJ,F|S,14,N<,(ADJP*)),-,*,bala,-,cigarro,funcionário,um,-,1,vender,A1
124003,16,2883,5107,0,",",-,PU,-,8,PU,*,-,*,bala,-,cigarro,funcionário,um,-,1,vender,A1
124004,17,2883,5107,0,remédios,remédio,N,M|P,8,CJT,(NP*,-,*,bala,-,cigarro,funcionário,um,-,1,vender,A1
124005,18,2883,5107,0,(,-,PU,-,17,PU,*,-,*,bala,-,cigarro,funcionário,um,-,1,vender,A1
124006,19,2883,5107,0,Engov,Engov,PROP,M|S,17,N<PRED,(NP*),-,*,bala,-,cigarro,funcionário,um,-,1,vender,A1
124007,20,2883,5107,0,),-,PU,-,17,PU,*),-,*,bala,-,cigarro,funcionário,um,-,1,vender,A1
124008,21,2883,5107,0,e,e,CONJ-C,-,8,CO,*,-,*,bala,-,cigarro,funcionário,um,-,1,vender,A1
124009,22,2883,5107,0,",",-,PU,-,8,PU,*,-,*,bala,-,cigarro,funcionário,um,-,1,vender,A1
124010,23,2883,5107,0,claro,claro,ADJ,M|S,8,ADVL,(ADJP*),-,*,bala,-,cigarro,funcionário,um,-,1,vender,A1
124011,24,2883,5107,0,",",-,PU,-,8,PU,*,-,*,bala,-,cigarro,funcionário,um,-,1,vender,A1
124012,25,2883,5107,0,camisinhas,camisinha,N,F|P,8,CJT,(NP*)),-,*),bala,-,cigarro,funcionário,um,-,1,vender,A1
124013,26,2883,5107,0,.,-,PU,-,7,PU,*),-,*,bala,-,cigarro,funcionário,um,-,1,vender,*
124014,1,2884,5108,0,19,19,NUM,M|P,6,ADVL,(FCL(ADJP*,-,(AM-TMP*,o,construção,de,Médici,-,junho,0,anunciar,AM-TMP
124015,2,2884,5108,0,de,de,PRP,-,1,N<,(PP*,-,*,o,construção,de,Médici,-,junho,0,anunciar,AM-TMP
124016,3,2884,5108,0,junho,junho,N,M|S,2,P<,(NP*))),-,*),o,construção,de,Médici,-,junho,0,anunciar,AM-TMP
124017,4,2884,5108,0,--,-,PU,-,6,PU,*,-,*,o,construção,de,Médici,-,junho,0,anunciar,*
124018,5,2884,5108,0,Médici,Médici,PROP,M|S,6,SUBJ,(NP*),-,(A0*),o,construção,de,Médici,-,junho,0,anunciar,A0
124019,6,2884,5108,0,anuncia,anunciar,V-FIN,PR|3S|IND,0,STA,(VP*),anunciar,(V*),o,construção,de,Médici,-,junho,1,anunciar,V
124020,7,2884,5108,0,a,o,ART,F|S,8,>N,(NP*,-,(A1*,o,construção,de,Médici,-,junho,1,anunciar,A1
124021,8,2884,5108,0,construção,construção,N,F|S,6,ACC,*,-,*,o,construção,de,Médici,-,junho,1,anunciar,A1
124022,9,2884,5108,0,de,de,PRP,-,8,N<ARGO,(PP*,-,*,o,construção,de,Médici,-,junho,1,anunciar,A1
124023,10,2884,5108,0,a,o,ART,F|S,11,>N,(NP*,-,*,o,construção,de,Médici,-,junho,1,anunciar,A1
124024,11,2884,5108,0,rodovia,rodovia,N,F|S,9,P<,*,-,*,o,construção,de,Médici,-,junho,1,anunciar,A1
124025,12,2884,5108,0,Transamazônica,Transamazônica,PROP,F|S,11,N<,(NP*)))),-,*),o,construção,de,Médici,-,junho,1,anunciar,A1
124026,13,2884,5108,0,.,-,PU,-,6,PU,*),-,*,o,construção,de,Médici,-,junho,1,anunciar,*
124027,1,2885,5109,0,As,o,ART,F|P,2,>N,(FCL(NP*,-,(A1*,agora,como,reflexão,ser,60,ano,0,retomar,A1
124028,2,2885,5109,0,questões,questão,N,F|P,13,SUBJ,*,-,*,agora,como,reflexão,ser,60,ano,0,retomar,A1
124029,3,2885,5109,0,colocadas,colocar,V-PCP,F|P,2,N<,(ICL(VP*),-,*,agora,como,reflexão,ser,60,ano,0,retomar,A1
124030,4,2885,5109,0,por,por,PRP,-,3,PASS,(PP*,-,*,agora,como,reflexão,ser,60,ano,0,retomar,A1
124031,5,2885,5109,0,a,o,ART,F|S,7,>N,(NP*,-,*,agora,como,reflexão,ser,60,ano,0,retomar,A1
124032,6,2885,5109,0,«,-,PU,-,7,PU,*,-,*,agora,como,reflexão,ser,60,ano,0,retomar,A1
124033,7,2885,5109,0,body_art,body_art,N,F|S,4,P<,*,-,*,agora,como,reflexão,ser,60,ano,0,retomar,A1
124034,8,2885,5109,0,»,-,PU,-,7,PU,*)),-,*,agora,como,reflexão,ser,60,ano,0,retomar,A1
124035,9,2885,5109,0,em,em,PRP,-,3,ADVL,(PP*,-,*,agora,como,reflexão,ser,60,ano,0,retomar,A1
124036,10,2885,5109,0,os,o,ART,M|P,11,>N,(NP*,-,*,agora,como,reflexão,ser,60,ano,0,retomar,A1
124037,11,2885,5109,0,anos,ano,N,M|P,9,P<,*,-,*,agora,como,reflexão,ser,60,ano,0,retomar,A1
124038,12,2885,5109,0,60,60,NUM,M|P,11,N<,(ADJP*))))),-,*),agora,como,reflexão,ser,60,ano,0,retomar,A1
124039,13,2885,5109,0,foram,ser,V-FIN,PS/MQP|3P|IND,0,STA,(VP*,-,*,agora,como,reflexão,ser,60,ano,0,retomar,*
124040,14,2885,5109,0,retomadas,retomar,V-PCP,F|P,13,MV,*),retomar,(V*),agora,como,reflexão,ser,60,ano,1,retomar,V
124041,15,2885,5109,0,agora,agora,ADV,-,14,ADVL,(ADVP*),-,(AM-TMP*),agora,como,reflexão,ser,60,ano,1,retomar,AM-TMP
124042,16,2885,5109,0,como,como,ADV,-,14,KOMP<,(ACL*,-,(A2*,agora,como,reflexão,ser,60,ano,1,retomar,A2
124043,17,2885,5109,0,reflexão,reflexão,N,F|S,16,SC,(NP*,-,*,agora,como,reflexão,ser,60,ano,1,retomar,A2
124044,18,2885,5109,0,sobre,sobre,PRP,-,17,N<,(PP*,-,*,agora,como,reflexão,ser,60,ano,1,retomar,A2
124045,19,2885,5109,0,uma,um,ART,F|S,20,>N,(NP*,-,*,agora,como,reflexão,ser,60,ano,1,retomar,A2
124046,20,2885,5109,0,realidade,realidade,N,F|S,18,P<,*,-,*,agora,como,reflexão,ser,60,ano,1,retomar,A2
