INDEX,ID,S,P,P_S,FORM,LEMMA,GPOS,MORF,DTREE,FUNC,CTREE,PRED,ARG,CTX_P+1,CTX_P+2,CTX_P+3,CTX_P-1,CTX_P-2,CTX_P-3,M_R,PRED_1,T
136172,7,3206,5671,0,de,de,PRP,-,2,N<PRED,(PP*,-,*,exercício,leve,-,-,Competition,academia,0,recomendar,A0
136173,8,3206,5671,0,a,o,ART,F|S,9,>N,(NP*,-,*,exercício,leve,-,-,Competition,academia,0,recomendar,A0
136174,9,3206,5671,0,academia,academia,N,F|S,7,P<,*,-,*,exercício,leve,-,-,Competition,academia,0,recomendar,A0
136175,10,3206,5671,0,Competition,Competition,PROP,F|S,9,N<,(NP*))),-,*,exercício,leve,-,-,Competition,academia,0,recomendar,A0
136176,11,3206,5671,0,",",-,PU,-,2,PU,*),-,*),exercício,leve,-,-,Competition,academia,0,recomendar,A0
136177,12,3206,5671,0,recomenda,recomendar,V-FIN,PR|3S|IND,0,STA,(VP*),recomendar,(V*),exercício,leve,-,-,Competition,academia,1,recomendar,V
136178,13,3206,5671,0,exercícios,exercício,N,M|P,12,ACC,(NP*,-,(A1*,exercício,leve,-,-,Competition,academia,1,recomendar,A1
136179,14,3206,5671,0,leves,leve,ADJ,M|P,13,N<,(ADJP*)),-,*),exercício,leve,-,-,Competition,academia,1,recomendar,A1
136180,15,3206,5671,0,",",-,PU,-,12,PU,*,-,*,exercício,leve,-,-,Competition,academia,1,recomendar,*
136181,16,3206,5671,0,como,como,ADV,-,12,ADVL,(ACL*,-,(A3*,exercício,leve,-,-,Competition,academia,1,recomendar,A3
136182,17,3206,5671,0,a,o,ART,F|S,18,>N,(NP*,-,*,exercício,leve,-,-,Competition,academia,1,recomendar,A3
136183,18,3206,5671,0,corrida,corrida,N,F|S,16,SUBJ,*)),-,*),exercício,leve,-,-,Competition,academia,1,recomendar,A3
136184,19,3206,5671,0,.,-,PU,-,12,PU,*),-,*,exercício,leve,-,-,Competition,academia,1,recomendar,*
136185,1,3207,5672,0,«,-,PU,-,25,PU,(FCL*,-,*,levantar,bem,o,importante,o,-,0,ser,*
136186,2,3207,5672,0,O,o,ART,M|S,3,>N,(FCL(NP*,-,(A1*,levantar,bem,o,importante,o,-,0,ser,A1
136187,3,3207,5672,0,importante,importante,N-ADJ,M|S,4,SC,*),-,*),levantar,bem,o,importante,o,-,0,ser,A1
136188,4,3207,5672,0,é,ser,V-FIN,PR|3S|IND,25,ACC,(VP*),ser,(V*),levantar,bem,o,importante,o,-,1,ser,V
136189,5,3207,5672,0,levantar,levantar,V-INF,-,4,SUBJ,(CU(ICL(VP*),-,(A2*,levantar,bem,o,importante,o,-,1,ser,A2
136190,6,3207,5672,0,bem,bem,ADV,-,5,ADVL,(ADVP*),-,*,levantar,bem,o,importante,o,-,1,ser,A2
136191,7,3207,5672,0,o,o,ART,M|S,8,>N,(NP*,-,*,levantar,bem,o,importante,o,-,1,ser,A2
136192,8,3207,5672,0,joelho,joelho,N,M|S,5,ACC,*)),-,*,levantar,bem,o,importante,o,-,1,ser,A2
136193,9,3207,5672,0,",",-,PU,-,5,PU,*,-,*,levantar,bem,o,importante,o,-,1,ser,A2
136194,10,3207,5672,0,manter,manter,V-INF,-,5,CJT,(ICL(VP*),-,*,levantar,bem,o,importante,o,-,1,ser,A2
136195,11,3207,5672,0,o,o,ART,M|S,12,>N,(NP*,-,*,levantar,bem,o,importante,o,-,1,ser,A2
136196,12,3207,5672,0,ritmo,ritmo,N,M|S,10,ACC,*)),-,*,levantar,bem,o,importante,o,-,1,ser,A2
136197,13,3207,5672,0,e,e,CONJ-C,-,5,CO,*,-,*,levantar,bem,o,importante,o,-,1,ser,A2
136198,14,3207,5672,0,encostar,encostar,V-INF,-,5,CJT,(FCL(VP*),-,*,levantar,bem,o,importante,o,-,1,ser,A2
136199,15,3207,5672,0,o,o,ART,M|S,16,>N,(NP*,-,*,levantar,bem,o,importante,o,-,1,ser,A2
136200,16,3207,5672,0,calcanhar,calcanhar,N,M|S,14,ACC,*,-,*,levantar,bem,o,importante,o,-,1,ser,A2
136201,17,3207,5672,0,em,em,PRP,-,16,N<,(PP*,-,*,levantar,bem,o,importante,o,-,1,ser,A2
136202,18,3207,5672,0,o,o,ART,M|S,19,>N,(NP*,-,*,levantar,bem,o,importante,o,-,1,ser,A2
136203,19,3207,5672,0,chão,chão,N,M|S,17,P<,*))),-,*,levantar,bem,o,importante,o,-,1,ser,A2
136204,20,3207,5672,0,a,a,PRP,-,14,ADVL,(PP*,-,*,levantar,bem,o,importante,o,-,1,ser,A2
136205,21,3207,5672,0,cada,cada,PRON-DET,M|S,22,>N,(NP*,-,*,levantar,bem,o,importante,o,-,1,ser,A2
136206,22,3207,5672,0,movimento,movimento,N,M|S,20,P<,*))))),-,*),levantar,bem,o,importante,o,-,1,ser,A2
136207,23,3207,5672,0,»,-,PU,-,25,PU,*,-,*,levantar,bem,o,importante,o,-,1,ser,*
136208,24,3207,5672,0,",",-,PU,-,25,PU,*,-,*,levantar,bem,o,importante,o,-,1,ser,*
136209,25,3207,5672,0,diz,dizer,V-FIN,PR|3S|IND,0,STA,(VP*),-,*,levantar,bem,o,importante,o,-,1,ser,*
136210,26,3207,5672,0,.,-,PU,-,25,PU,*),-,*,levantar,bem,o,importante,o,-,1,ser,*
136211,1,3207,5673,1,«,-,PU,-,25,PU,(FCL*,-,*,bem,o,joelho,ser,importante,o,0,levantar,*
136212,2,3207,5673,1,O,o,ART,M|S,3,>N,(FCL(NP*,-,*,bem,o,joelho,ser,importante,o,0,levantar,*
136213,3,3207,5673,1,importante,importante,N-ADJ,M|S,4,SC,*),-,*,bem,o,joelho,ser,importante,o,0,levantar,*
136214,4,3207,5673,1,é,ser,V-FIN,PR|3S|IND,25,ACC,(VP*),-,*,bem,o,joelho,ser,importante,o,0,levantar,*
136215,5,3207,5673,1,levantar,levantar,V-INF,-,4,SUBJ,(CU(ICL(VP*),levantar,(V*),bem,o,joelho,ser,importante,o,1,levantar,V
136216,6,3207,5673,1,bem,bem,ADV,-,5,ADVL,(ADVP*),-,(AM-EXT*),bem,o,joelho,ser,importante,o,1,levantar,AM-EXT
136217,7,3207,5673,1,o,o,ART,M|S,8,>N,(NP*,-,(A1*,bem,o,joelho,ser,importante,o,1,levantar,A1
136218,8,3207,5673,1,joelho,joelho,N,M|S,5,ACC,*)),-,*),bem,o,joelho,ser,importante,o,1,levantar,A1
136219,9,3207,5673,1,",",-,PU,-,5,PU,*,-,*,bem,o,joelho,ser,importante,o,1,levantar,*
136220,10,3207,5673,1,manter,manter,V-INF,-,5,CJT,(ICL(VP*),-,*,bem,o,joelho,ser,importante,o,1,levantar,*
136221,11,3207,5673,1,o,o,ART,M|S,12,>N,(NP*,-,*,bem,o,joelho,ser,importante,o,1,levantar,*
136222,12,3207,5673,1,ritmo,ritmo,N,M|S,10,ACC,*)),-,*,bem,o,joelho,ser,importante,o,1,levantar,*
136223,13,3207,5673,1,e,e,CONJ-C,-,5,CO,*,-,*,bem,o,joelho,ser,importante,o,1,levantar,*
136224,14,3207,5673,1,encostar,encostar,V-INF,-,5,CJT,(FCL(VP*),-,*,bem,o,joelho,ser,importante,o,1,levantar,*
136225,15,3207,5673,1,o,o,ART,M|S,16,>N,(NP*,-,*,bem,o,joelho,ser,importante,o,1,levantar,*
136226,16,3207,5673,1,calcanhar,calcanhar,N,M|S,14,ACC,*,-,*,bem,o,joelho,ser,importante,o,1,levantar,*
136227,17,3207,5673,1,em,em,PRP,-,16,N<,(PP*,-,*,bem,o,joelho,ser,importante,o,1,levantar,*
136228,18,3207,5673,1,o,o,ART,M|S,19,>N,(NP*,-,*,bem,o,joelho,ser,importante,o,1,levantar,*
136229,19,3207,5673,1,chão,chão,N,M|S,17,P<,*))),-,*,bem,o,joelho,ser,importante,o,1,levantar,*
136230,20,3207,5673,1,a,a,PRP,-,14,ADVL,(PP*,-,*,bem,o,joelho,ser,importante,o,1,levantar,*
136231,21,3207,5673,1,cada,cada,PRON-DET,M|S,22,>N,(NP*,-,*,bem,o,joelho,ser,importante,o,1,levantar,*
136232,22,3207,5673,1,movimento,movimento,N,M|S,20,P<,*))))),-,*,bem,o,joelho,ser,importante,o,1,levantar,*
136233,23,3207,5673,1,»,-,PU,-,25,PU,*,-,*,bem,o,joelho,ser,importante,o,1,levantar,*
136234,24,3207,5673,1,",",-,PU,-,25,PU,*,-,*,bem,o,joelho,ser,importante,o,1,levantar,*
136235,25,3207,5673,1,diz,dizer,V-FIN,PR|3S|IND,0,STA,(VP*),-,*,bem,o,joelho,ser,importante,o,1,levantar,*
136236,26,3207,5673,1,.,-,PU,-,25,PU,*),-,*,bem,o,joelho,ser,importante,o,1,levantar,*
136237,1,3207,5674,2,«,-,PU,-,25,PU,(FCL*,-,*,o,ritmo,e,-,joelho,o,0,manter,*
136238,2,3207,5674,2,O,o,ART,M|S,3,>N,(FCL(NP*,-,*,o,ritmo,e,-,joelho,o,0,manter,*
136239,3,3207,5674,2,importante,importante,N-ADJ,M|S,4,SC,*),-,*,o,ritmo,e,-,joelho,o,0,manter,*
136240,4,3207,5674,2,é,ser,V-FIN,PR|3S|IND,25,ACC,(VP*),-,*,o,ritmo,e,-,joelho,o,0,manter,*
136241,5,3207,5674,2,levantar,levantar,V-INF,-,4,SUBJ,(CU(ICL(VP*),-,*,o,ritmo,e,-,joelho,o,0,manter,*
136242,6,3207,5674,2,bem,bem,ADV,-,5,ADVL,(ADVP*),-,*,o,ritmo,e,-,joelho,o,0,manter,*
136243,7,3207,5674,2,o,o,ART,M|S,8,>N,(NP*,-,*,o,ritmo,e,-,joelho,o,0,manter,*
136244,8,3207,5674,2,joelho,joelho,N,M|S,5,ACC,*)),-,*,o,ritmo,e,-,joelho,o,0,manter,*
136245,9,3207,5674,2,",",-,PU,-,5,PU,*,-,*,o,ritmo,e,-,joelho,o,0,manter,*
136246,10,3207,5674,2,manter,manter,V-INF,-,5,CJT,(ICL(VP*),manter,(V*),o,ritmo,e,-,joelho,o,1,manter,V
136247,11,3207,5674,2,o,o,ART,M|S,12,>N,(NP*,-,(A1*,o,ritmo,e,-,joelho,o,1,manter,A1
136248,12,3207,5674,2,ritmo,ritmo,N,M|S,10,ACC,*)),-,*),o,ritmo,e,-,joelho,o,1,manter,A1
136249,13,3207,5674,2,e,e,CONJ-C,-,5,CO,*,-,*,o,ritmo,e,-,joelho,o,1,manter,*
136250,14,3207,5674,2,encostar,encostar,V-INF,-,5,CJT,(FCL(VP*),-,*,o,ritmo,e,-,joelho,o,1,manter,*
136251,15,3207,5674,2,o,o,ART,M|S,16,>N,(NP*,-,*,o,ritmo,e,-,joelho,o,1,manter,*
136252,16,3207,5674,2,calcanhar,calcanhar,N,M|S,14,ACC,*,-,*,o,ritmo,e,-,joelho,o,1,manter,*
136253,17,3207,5674,2,em,em,PRP,-,16,N<,(PP*,-,*,o,ritmo,e,-,joelho,o,1,manter,*
136254,18,3207,5674,2,o,o,ART,M|S,19,>N,(NP*,-,*,o,ritmo,e,-,joelho,o,1,manter,*
136255,19,3207,5674,2,chão,chão,N,M|S,17,P<,*))),-,*,o,ritmo,e,-,joelho,o,1,manter,*
136256,20,3207,5674,2,a,a,PRP,-,14,ADVL,(PP*,-,*,o,ritmo,e,-,joelho,o,1,manter,*
136257,21,3207,5674,2,cada,cada,PRON-DET,M|S,22,>N,(NP*,-,*,o,ritmo,e,-,joelho,o,1,manter,*
136258,22,3207,5674,2,movimento,movimento,N,M|S,20,P<,*))))),-,*,o,ritmo,e,-,joelho,o,1,manter,*
136259,23,3207,5674,2,»,-,PU,-,25,PU,*,-,*,o,ritmo,e,-,joelho,o,1,manter,*
136260,24,3207,5674,2,",",-,PU,-,25,PU,*,-,*,o,ritmo,e,-,joelho,o,1,manter,*
136261,25,3207,5674,2,diz,dizer,V-FIN,PR|3S|IND,0,STA,(VP*),-,*,o,ritmo,e,-,joelho,o,1,manter,*
136262,26,3207,5674,2,.,-,PU,-,25,PU,*),-,*,o,ritmo,e,-,joelho,o,1,manter,*
136263,1,3207,5675,3,«,-,PU,-,25,PU,(FCL*,-,*,o,calcanhar,em,e,ritmo,o,0,encostar,*
136264,2,3207,5675,3,O,o,ART,M|S,3,>N,(FCL(NP*,-,*,o,calcanhar,em,e,ritmo,o,0,encostar,*
136265,3,3207,5675,3,importante,importante,N-ADJ,M|S,4,SC,*),-,*,o,calcanhar,em,e,ritmo,o,0,encostar,*
136266,4,3207,5675,3,é,ser,V-FIN,PR|3S|IND,25,ACC,(VP*),-,*,o,calcanhar,em,e,ritmo,o,0,encostar,*
136267,5,3207,5675,3,levantar,levantar,V-INF,-,4,SUBJ,(CU(ICL(VP*),-,*,o,calcanhar,em,e,ritmo,o,0,encostar,*
136268,6,3207,5675,3,bem,bem,ADV,-,5,ADVL,(ADVP*),-,*,o,calcanhar,em,e,ritmo,o,0,encostar,*
136269,7,3207,5675,3,o,o,ART,M|S,8,>N,(NP*,-,*,o,calcanhar,em,e,ritmo,o,0,encostar,*
136270,8,3207,5675,3,joelho,joelho,N,M|S,5,ACC,*)),-,*,o,calcanhar,em,e,ritmo,o,0,encostar,*
136271,9,3207,5675,3,",",-,PU,-,5,PU,*,-,*,o,calcanhar,em,e,ritmo,o,0,encostar,*
136272,10,3207,5675,3,manter,manter,V-INF,-,5,CJT,(ICL(VP*),-,*,o,calcanhar,em,e,ritmo,o,0,encostar,*
136273,11,3207,5675,3,o,o,ART,M|S,12,>N,(NP*,-,*,o,calcanhar,em,e,ritmo,o,0,encostar,*
136274,12,3207,5675,3,ritmo,ritmo,N,M|S,10,ACC,*)),-,*,o,calcanhar,em,e,ritmo,o,0,encostar,*
136275,13,3207,5675,3,e,e,CONJ-C,-,5,CO,*,-,*,o,calcanhar,em,e,ritmo,o,0,encostar,*
136276,14,3207,5675,3,encostar,encostar,V-INF,-,5,CJT,(FCL(VP*),encostar,(V*),o,calcanhar,em,e,ritmo,o,1,encostar,V
136277,15,3207,5675,3,o,o,ART,M|S,16,>N,(NP*,-,(A1*,o,calcanhar,em,e,ritmo,o,1,encostar,A1
136278,16,3207,5675,3,calcanhar,calcanhar,N,M|S,14,ACC,*,-,*,o,calcanhar,em,e,ritmo,o,1,encostar,A1
136279,17,3207,5675,3,em,em,PRP,-,16,N<,(PP*,-,*,o,calcanhar,em,e,ritmo,o,1,encostar,A1
136280,18,3207,5675,3,o,o,ART,M|S,19,>N,(NP*,-,*,o,calcanhar,em,e,ritmo,o,1,encostar,A1
136281,19,3207,5675,3,chão,chão,N,M|S,17,P<,*))),-,*),o,calcanhar,em,e,ritmo,o,1,encostar,A1
136282,20,3207,5675,3,a,a,PRP,-,14,ADVL,(PP*,-,(AM-TMP*,o,calcanhar,em,e,ritmo,o,1,encostar,AM-TMP
136283,21,3207,5675,3,cada,cada,PRON-DET,M|S,22,>N,(NP*,-,*,o,calcanhar,em,e,ritmo,o,1,encostar,AM-TMP
136284,22,3207,5675,3,movimento,movimento,N,M|S,20,P<,*))))),-,*),o,calcanhar,em,e,ritmo,o,1,encostar,AM-TMP
136285,23,3207,5675,3,»,-,PU,-,25,PU,*,-,*,o,calcanhar,em,e,ritmo,o,1,encostar,*
136286,24,3207,5675,3,",",-,PU,-,25,PU,*,-,*,o,calcanhar,em,e,ritmo,o,1,encostar,*
136287,25,3207,5675,3,diz,dizer,V-FIN,PR|3S|IND,0,STA,(VP*),-,*,o,calcanhar,em,e,ritmo,o,1,encostar,*
136288,26,3207,5675,3,.,-,PU,-,25,PU,*),-,*,o,calcanhar,em,e,ritmo,o,1,encostar,*
136289,1,3207,5676,4,«,-,PU,-,25,PU,(FCL*,-,*,-,-,-,-,-,movimento,0,dizer,*
136290,2,3207,5676,4,O,o,ART,M|S,3,>N,(FCL(NP*,-,(A1*,-,-,-,-,-,movimento,0,dizer,A1
136291,3,3207,5676,4,importante,importante,N-ADJ,M|S,4,SC,*),-,*,-,-,-,-,-,movimento,0,dizer,A1
136292,4,3207,5676,4,é,ser,V-FIN,PR|3S|IND,25,ACC,(VP*),-,*,-,-,-,-,-,movimento,0,dizer,A1
136293,5,3207,5676,4,levantar,levantar,V-INF,-,4,SUBJ,(CU(ICL(VP*),-,*,-,-,-,-,-,movimento,0,dizer,A1
136294,6,3207,5676,4,bem,bem,ADV,-,5,ADVL,(ADVP*),-,*,-,-,-,-,-,movimento,0,dizer,A1
136295,7,3207,5676,4,o,o,ART,M|S,8,>N,(NP*,-,*,-,-,-,-,-,movimento,0,dizer,A1
136296,8,3207,5676,4,joelho,joelho,N,M|S,5,ACC,*)),-,*,-,-,-,-,-,movimento,0,dizer,A1
136297,9,3207,5676,4,",",-,PU,-,5,PU,*,-,*,-,-,-,-,-,movimento,0,dizer,A1
136298,10,3207,5676,4,manter,manter,V-INF,-,5,CJT,(ICL(VP*),-,*,-,-,-,-,-,movimento,0,dizer,A1
136299,11,3207,5676,4,o,o,ART,M|S,12,>N,(NP*,-,*,-,-,-,-,-,movimento,0,dizer,A1
136300,12,3207,5676,4,ritmo,ritmo,N,M|S,10,ACC,*)),-,*,-,-,-,-,-,movimento,0,dizer,A1
136301,13,3207,5676,4,e,e,CONJ-C,-,5,CO,*,-,*,-,-,-,-,-,movimento,0,dizer,A1
136302,14,3207,5676,4,encostar,encostar,V-INF,-,5,CJT,(FCL(VP*),-,*,-,-,-,-,-,movimento,0,dizer,A1
136303,15,3207,5676,4,o,o,ART,M|S,16,>N,(NP*,-,*,-,-,-,-,-,movimento,0,dizer,A1
136304,16,3207,5676,4,calcanhar,calcanhar,N,M|S,14,ACC,*,-,*,-,-,-,-,-,movimento,0,dizer,A1
136305,17,3207,5676,4,em,em,PRP,-,16,N<,(PP*,-,*,-,-,-,-,-,movimento,0,dizer,A1
136306,18,3207,5676,4,o,o,ART,M|S,19,>N,(NP*,-,*,-,-,-,-,-,movimento,0,dizer,A1
136307,19,3207,5676,4,chão,chão,N,M|S,17,P<,*))),-,*,-,-,-,-,-,movimento,0,dizer,A1
136308,20,3207,5676,4,a,a,PRP,-,14,ADVL,(PP*,-,*,-,-,-,-,-,movimento,0,dizer,A1
136309,21,3207,5676,4,cada,cada,PRON-DET,M|S,22,>N,(NP*,-,*,-,-,-,-,-,movimento,0,dizer,A1
136310,22,3207,5676,4,movimento,movimento,N,M|S,20,P<,*))))),-,*),-,-,-,-,-,movimento,0,dizer,A1
136311,23,3207,5676,4,»,-,PU,-,25,PU,*,-,*,-,-,-,-,-,movimento,0,dizer,*
136312,24,3207,5676,4,",",-,PU,-,25,PU,*,-,*,-,-,-,-,-,movimento,0,dizer,*
136313,25,3207,5676,4,diz,dizer,V-FIN,PR|3S|IND,0,STA,(VP*),dizer,(V*),-,-,-,-,-,movimento,1,dizer,V
136314,26,3207,5676,4,.,-,PU,-,25,PU,*),-,*,-,-,-,-,-,movimento,1,dizer,*
136315,1,3208,5677,0,«,-,PU,-,3,PU,(FCL*,-,*,um,oportunidade,de,primeiro,-,-,0,ser,*
136316,2,3208,5677,0,Primeiro,primeiro,ADV,-,3,ADVL,(ADVP*),-,(AM-DIS*),um,oportunidade,de,primeiro,-,-,0,ser,AM-DIS
136317,3,3208,5677,0,foi,ser,V-FIN,PS|3S|IND,0,STA,(VP*),ser,(V*),um,oportunidade,de,primeiro,-,-,1,ser,V
136318,4,3208,5677,0,uma,um,ART,F|S,5,>N,(NP*,-,(A2*,um,oportunidade,de,primeiro,-,-,1,ser,A2
136319,5,3208,5677,0,oportunidade,oportunidade,N,F|S,3,SC,*,-,*,um,oportunidade,de,primeiro,-,-,1,ser,A2
136320,6,3208,5677,0,de,de,PRP,-,5,N<,(PP*,-,*,um,oportunidade,de,primeiro,-,-,1,ser,A2
136321,7,3208,5677,0,esclarecer,esclarecer,V-INF,-,6,P<,(ICL(VP*),-,*,um,oportunidade,de,primeiro,-,-,1,ser,A2
136322,8,3208,5677,0,muitos,muito,PRON-DET,M|P,9,>N,(NP*,-,*,um,oportunidade,de,primeiro,-,-,1,ser,A2
136323,9,3208,5677,0,pontos,ponto,N,M|P,7,ACC,*,-,*,um,oportunidade,de,primeiro,-,-,1,ser,A2
136324,10,3208,5677,0,que,que,PRON-INDP,M|P,13,ACC,(FCL(NP*),-,*,um,oportunidade,de,primeiro,-,-,1,ser,A2
136325,11,3208,5677,0,eu,eu,PRON-PERS,M|1S|NOM,13,SUBJ,(NP*),-,*,um,oportunidade,de,primeiro,-,-,1,ser,A2
136326,12,3208,5677,0,não,não,ADV,-,13,ADVL,(ADVP*),-,*,um,oportunidade,de,primeiro,-,-,1,ser,A2
136327,13,3208,5677,0,conhecia,conhecer,V-FIN,IMPF|1S|IND,9,N<,(VP*),-,*,um,oportunidade,de,primeiro,-,-,1,ser,A2
136328,14,3208,5677,0,antes,antes,ADV,-,13,ADVL,(ADVP*)))))),-,*),um,oportunidade,de,primeiro,-,-,1,ser,A2
136329,15,3208,5677,0,.,-,PU,-,3,PU,*),-,*,um,oportunidade,de,primeiro,-,-,1,ser,*
136330,1,3208,5678,1,«,-,PU,-,3,PU,(FCL*,-,*,muito,ponto,que,de,oportunidade,um,0,esclarecer,*
136331,2,3208,5678,1,Primeiro,primeiro,ADV,-,3,ADVL,(ADVP*),-,*,muito,ponto,que,de,oportunidade,um,0,esclarecer,*
136332,3,3208,5678,1,foi,ser,V-FIN,PS|3S|IND,0,STA,(VP*),-,*,muito,ponto,que,de,oportunidade,um,0,esclarecer,*
136333,4,3208,5678,1,uma,um,ART,F|S,5,>N,(NP*,-,*,muito,ponto,que,de,oportunidade,um,0,esclarecer,*
136334,5,3208,5678,1,oportunidade,oportunidade,N,F|S,3,SC,*,-,*,muito,ponto,que,de,oportunidade,um,0,esclarecer,*
136335,6,3208,5678,1,de,de,PRP,-,5,N<,(PP*,-,*,muito,ponto,que,de,oportunidade,um,0,esclarecer,*
136336,7,3208,5678,1,esclarecer,esclarecer,V-INF,-,6,P<,(ICL(VP*),esclarecer,(V*),muito,ponto,que,de,oportunidade,um,1,esclarecer,V
136337,8,3208,5678,1,muitos,muito,PRON-DET,M|P,9,>N,(NP*,-,(A1*,muito,ponto,que,de,oportunidade,um,1,esclarecer,A1
136338,9,3208,5678,1,pontos,ponto,N,M|P,7,ACC,*,-,*,muito,ponto,que,de,oportunidade,um,1,esclarecer,A1
136339,10,3208,5678,1,que,que,PRON-INDP,M|P,13,ACC,(FCL(NP*),-,*,muito,ponto,que,de,oportunidade,um,1,esclarecer,A1
136340,11,3208,5678,1,eu,eu,PRON-PERS,M|1S|NOM,13,SUBJ,(NP*),-,*,muito,ponto,que,de,oportunidade,um,1,esclarecer,A1
136341,12,3208,5678,1,não,não,ADV,-,13,ADVL,(ADVP*),-,*,muito,ponto,que,de,oportunidade,um,1,esclarecer,A1
136342,13,3208,5678,1,conhecia,conhecer,V-FIN,IMPF|1S|IND,9,N<,(VP*),-,*,muito,ponto,que,de,oportunidade,um,1,esclarecer,A1
136343,14,3208,5678,1,antes,antes,ADV,-,13,ADVL,(ADVP*)))))),-,*),muito,ponto,que,de,oportunidade,um,1,esclarecer,A1
136344,15,3208,5678,1,.,-,PU,-,3,PU,*),-,*,muito,ponto,que,de,oportunidade,um,1,esclarecer,*
136345,1,3208,5679,2,«,-,PU,-,3,PU,(FCL*,-,*,antes,-,-,não,eu,que,0,conhecer,*
136346,2,3208,5679,2,Primeiro,primeiro,ADV,-,3,ADVL,(ADVP*),-,*,antes,-,-,não,eu,que,0,conhecer,*
136347,3,3208,5679,2,foi,ser,V-FIN,PS|3S|IND,0,STA,(VP*),-,*,antes,-,-,não,eu,que,0,conhecer,*
