,FUNC+1,FUNC+2,FUNC+3,FUNC-1,FUNC-2,FUNC-3
57,>N,ACC,OC,P<,>N,N<
58,ACC,OC,PIV,N<PRED,P<,>N
59,OC,PIV,>N,>N,N<PRED,P<
60,PIV,>N,P<,ACC,>N,N<PRED
61,>N,P<,N<,OC,ACC,>N
62,P<,N<,PU,PIV,OC,ACC
63,N<,PU,,>N,PIV,OC
64,PU,,,P<,>N,PIV
65,,,,N<,P<,>N
66,SUBJ,N<,ADVL,,,
67,N<,ADVL,STA,ADVL,,
68,ADVL,STA,>N,SUBJ,ADVL,
69,STA,>N,ACC,N<,SUBJ,ADVL
70,>N,ACC,N<,ADVL,N<,SUBJ
71,ACC,N<,PU,STA,ADVL,N<
72,N<,PU,ADVL,>N,STA,ADVL
73,PU,ADVL,>N,ACC,>N,STA
74,ADVL,>N,ACC,N<,ACC,>N
75,>N,ACC,N<,PU,N<,ACC
76,ACC,N<,PU,ADVL,PU,N<
77,N<,PU,>N,>N,ADVL,PU
78,PU,>N,>N,ACC,>N,ADVL
79,>N,>N,SUBJ,N<,ACC,>N
80,>N,SUBJ,PU,PU,N<,ACC
81,SUBJ,PU,>N,>N,PU,N<
82,PU,>N,N<PRED,>N,>N,PU
83,>N,N<PRED,PU,SUBJ,>N,>N
84,N<PRED,PU,N<,PU,SUBJ,>N
85,PU,N<,>N,>N,PU,SUBJ
86,N<,>N,P<,N<PRED,>N,PU
87,>N,P<,N<PRED,PU,N<PRED,>N
88,P<,N<PRED,>N,N<,PU,N<PRED
89,N<PRED,>N,ACC,>N,N<,PU
90,>N,ACC,OC,P<,>N,N<
91,ACC,OC,PIV,N<PRED,P<,>N
92,OC,PIV,>N,>N,N<PRED,P<
93,PIV,>N,P<,ACC,>N,N<PRED
94,>N,P<,N<,OC,ACC,>N
95,P<,N<,PU,PIV,OC,ACC
96,N<,PU,,>N,PIV,OC
97,PU,,,P<,>N,PIV
98,,,,N<,P<,>N
99,SUBJ,N<,ADVL,,,
100,N<,ADVL,STA,ADVL,,
101,ADVL,STA,>N,SUBJ,ADVL,
102,STA,>N,ACC,N<,SUBJ,ADVL
103,>N,ACC,N<,ADVL,N<,SUBJ
104,ACC,N<,PU,STA,ADVL,N<
105,N<,PU,ADVL,>N,STA,ADVL
106,PU,ADVL,>N,ACC,>N,STA
107,ADVL,>N,ACC,N<,ACC,>N
108,>N,ACC,N<,PU,N<,ACC
109,ACC,N<,PU,ADVL,PU,N<
110,N<,PU,>N,>N,ADVL,PU
111,PU,>N,>N,ACC,>N,ADVL
112,>N,>N,SUBJ,N<,ACC,>N
113,>N,SUBJ,PU,PU,N<,ACC
114,SUBJ,PU,>N,>N,PU,N<
115,PU,>N,N<PRED,>N,>N,PU
116,>N,N<PRED,PU,SUBJ,>N,>N
117,N<PRED,PU,N<,PU,SUBJ,>N
118,PU,N<,>N,>N,PU,SUBJ
119,N<,>N,P<,N<PRED,>N,PU
120,>N,P<,N<PRED,PU,N<PRED,>N
121,P<,N<PRED,>N,N<,PU,N<PRED
122,N<PRED,>N,ACC,>N,N<,PU
123,>N,ACC,OC,P<,>N,N<
124,ACC,OC,PIV,N<PRED,P<,>N
125,OC,PIV,>N,>N,N<PRED,P<
126,PIV,>N,P<,ACC,>N,N<PRED
127,>N,P<,N<,OC,ACC,>N
128,P<,N<,PU,PIV,OC,ACC
129,N<,PU,,>N,PIV,OC
130,PU,,,P<,>N,PIV
131,,,,N<,P<,>N
132,ACC,PU,ADVL,,,
133,PU,ADVL,PU,STA,,
134,ADVL,PU,>N,ACC,STA,
135,PU,>N,N<PRED,PU,ACC,STA
136,>N,N<PRED,PU,ADVL,PU,ACC
137,N<PRED,PU,,PU,ADVL,PU
138,PU,,,>N,PU,ADVL
139,,,,N<PRED,>N,PU
140,SUBJ,CO,>N,,,
141,CO,>N,CJT,CO,,
142,>N,CJT,ADVL,SUBJ,CO,
143,CJT,ADVL,STA,CO,SUBJ,CO
144,ADVL,STA,>N,>N,CO,SUBJ
145,STA,>N,ACC,CJT,>N,CO
146,>N,ACC,ACC,ADVL,CJT,>N
147,ACC,ACC,ACC,STA,ADVL,CJT
148,ACC,ACC,P<,>N,STA,ADVL
149,ACC,P<,PU,ACC,>N,STA
150,P<,PU,,ACC,ACC,>N
151,PU,,,ACC,ACC,ACC
152,,,,P<,ACC,ACC
153,ACC,STA,OC,,,
154,STA,OC,PU,SUBJ,,
155,OC,PU,CO,ACC,SUBJ,
156,PU,CO,>A,STA,ACC,SUBJ
157,CO,>A,ADVL,OC,STA,ACC
158,>A,ADVL,CJT,PU,OC,STA
159,ADVL,CJT,ACC,CO,PU,OC
160,CJT,ACC,ACC,>A,CO,PU
161,ACC,ACC,MV,ADVL,>A,CO
162,ACC,MV,PU,CJT,ADVL,>A
163,MV,PU,,ACC,CJT,ADVL
164,PU,,,ACC,ACC,CJT
165,,,,MV,ACC,ACC
166,ACC,STA,OC,,,
167,STA,OC,PU,SUBJ,,
168,OC,PU,CO,ACC,SUBJ,
169,PU,CO,>A,STA,ACC,SUBJ
170,CO,>A,ADVL,OC,STA,ACC
171,>A,ADVL,CJT,PU,OC,STA
172,ADVL,CJT,ACC,CO,PU,OC
173,CJT,ACC,ACC,>A,CO,PU
174,ACC,ACC,MV,ADVL,>A,CO
175,ACC,MV,PU,CJT,ADVL,>A
176,MV,PU,,ACC,CJT,ADVL
177,PU,,,ACC,ACC,CJT
178,,,,MV,ACC,ACC
179,ACC,STA,OC,,,
180,STA,OC,PU,SUBJ,,
181,OC,PU,CO,ACC,SUBJ,
182,PU,CO,>A,STA,ACC,SUBJ
183,CO,>A,ADVL,OC,STA,ACC
184,>A,ADVL,CJT,PU,OC,STA
185,ADVL,CJT,ACC,CO,PU,OC
186,CJT,ACC,ACC,>A,CO,PU
187,ACC,ACC,MV,ADVL,>A,CO
188,ACC,MV,PU,CJT,ADVL,>A
189,MV,PU,,ACC,CJT,ADVL
190,PU,,,ACC,ACC,CJT
191,,,,MV,ACC,ACC
192,N<,>N,P<,,,
193,>N,P<,N<,SUBJ,,
194,P<,N<,>N,N<,SUBJ,
195,N<,>N,>N,>N,N<,SUBJ
196,>N,>N,P<,P<,>N,N<
197,>N,P<,STA,N<,P<,>N
198,P<,STA,PIV,>N,N<,P<
199,STA,PIV,>N,>N,>N,N<
200,PIV,>N,P<,P<,>N,>N
201,>N,P<,N<,STA,P<,>N
202,P<,N<,>N,PIV,STA,P<
203,N<,>N,P<,>N,PIV,STA
204,>N,P<,PU,P<,>N,PIV
205,P<,PU,,N<,P<,>N
206,PU,,,>N,N<,P<
207,,,,P<,>N,N<
208,SUBJ,PU,STA,,,
209,PU,STA,SA,PU,,
210,STA,SA,P<,SUBJ,PU,
211,SA,P<,,PU,SUBJ,PU
212,P<,,,STA,PU,SUBJ
213,,,,SA,STA,PU
214,>N,>N,P<,,,
215,>N,P<,N<,ADVL,,
216,P<,N<,PU,>N,ADVL,
217,N<,PU,PU,>N,>N,ADVL
218,PU,PU,SUBJ,P<,>N,>N
219,PU,SUBJ,PU,N<,P<,>N
220,SUBJ,PU,STA,PU,N<,P<
221,PU,STA,AUX,PU,PU,N<
222,STA,AUX,MV,SUBJ,PU,PU
223,AUX,MV,PASS,PU,SUBJ,PU
224,MV,PASS,>N,STA,PU,SUBJ
225,PASS,>N,P<,AUX,STA,PU
226,>N,P<,N<,MV,AUX,STA
227,P<,N<,PU,PASS,MV,AUX
228,N<,PU,,>N,PASS,MV
229,PU,,,P<,>N,PASS
230,,,,N<,P<,>N
231,SUBJ,N<,ADVL,,,
232,N<,ADVL,PASS,>N,,
233,ADVL,PASS,>N,SUBJ,>N,
234,PASS,>N,P<,N<,SUBJ,>N
235,>N,P<,STA,ADVL,N<,SUBJ
236,P<,STA,ADVL,PASS,ADVL,N<
237,STA,ADVL,>N,>N,PASS,ADVL
238,ADVL,>N,P<,P<,>N,PASS
239,>N,P<,N<,STA,P<,>N
240,P<,N<,P<,ADVL,STA,P<
241,N<,P<,PU,>N,ADVL,STA
242,P<,PU,,P<,>N,ADVL
243,PU,,,N<,P<,>N
244,,,,P<,N<,P<
245,P<,PU,>N,,,
246,PU,>N,SUBJ,ADVL,,
247,>N,SUBJ,N<,P<,ADVL,
248,SUBJ,N<,>N,PU,P<,ADVL
249,N<,>N,P<,>N,PU,P<
250,>N,P<,N<,SUBJ,>N,PU
251,P<,N<,N<,N<,SUBJ,>N
252,N<,N<,N<,>N,N<,SUBJ
253,N<,N<,>N,P<,>N,N<
254,N<,>N,P<,N<,P<,>N
255,>N,P<,N<ARGO,N<,N<,P<
256,P<,N<ARGO,>N,N<,N<,N<
257,N<ARGO,>N,>N,>N,N<,N<
258,>N,>N,P<,P<,>N,N<
259,>N,P<,STA,N<ARGO,P<,>N
260,P<,STA,AUX,>N,N<ARGO,P<
261,STA,AUX,MV,>N,>N,N<ARGO
262,AUX,MV,PU,P<,>N,>N
263,MV,PU,,STA,P<,>N
264,PU,,,AUX,STA,P<
265,,,,MV,AUX,STA
266,STA,>N,ACC,,,
267,>N,ACC,,SUBJ,,
268,ACC,,,STA,SUBJ,
269,,,,>N,STA,SUBJ
270,SUBJ,PU,STA,,,
271,PU,STA,>N,PU,,
272,STA,>N,SC,SUBJ,PU,
273,>N,SC,N<,PU,SUBJ,PU
274,SC,N<,>N,STA,PU,SUBJ
275,N<,>N,>N,>N,STA,PU
276,>N,>N,P<,SC,>N,STA
277,>N,P<,N<,N<,SC,>N
278,P<,N<,SUBJ,>N,N<,SC
279,N<,SUBJ,N<,>N,>N,N<
280,SUBJ,N<,ADVL,P<,>N,>N
281,N<,ADVL,PU,N<,P<,>N
282,ADVL,PU,ADVL,SUBJ,N<,P<
283,PU,ADVL,>N,N<,SUBJ,N<
284,ADVL,>N,P<,ADVL,N<,SUBJ
285,>N,P<,PU,PU,ADVL,N<
286,P<,PU,ADVL,ADVL,PU,ADVL
287,PU,ADVL,>N,>N,ADVL,PU
288,ADVL,>N,P<,P<,>N,ADVL
289,>N,P<,PU,PU,P<,>N
290,P<,PU,,ADVL,PU,P<
291,PU,,,>N,ADVL,PU
292,,,,P<,>N,ADVL
293,>N,P<,N<,,,
294,P<,N<,P<,ADVL,,
295,N<,P<,PU,>N,ADVL,
296,P<,PU,>N,P<,>N,ADVL
297,PU,>N,SUBJ,N<,P<,>N
298,>N,SUBJ,STA,P<,N<,P<
299,SUBJ,STA,ACC,PU,P<,N<
300,STA,ACC,N<,>N,PU,P<
301,ACC,N<,N<,SUBJ,>N,PU
302,N<,N<,P<,STA,SUBJ,>N
303,N<,P<,PU,ACC,STA,SUBJ
304,P<,PU,,N<,ACC,STA
305,PU,,,N<,N<,ACC
306,,,,P<,N<,N<
307,SUBJ,N<,>N,,,
308,N<,>N,>N,>N,,
309,>N,>N,P<,SUBJ,>N,
310,>N,P<,STA,N<,SUBJ,>N
311,P<,STA,MV,>N,N<,SUBJ
312,STA,MV,PASS,>N,>N,N<
313,MV,PASS,P<,P<,>N,>N
314,PASS,P<,PU,STA,P<,>N
315,P<,PU,,MV,STA,P<
316,PU,,,PASS,MV,STA
317,,,,P<,PASS,MV
318,SUBJ,ACC,STA,,,
319,ACC,STA,PIV,>N,,
320,STA,PIV,>N,SUBJ,>N,
321,PIV,>N,>N,ACC,SUBJ,>N
322,>N,>N,P<,STA,ACC,SUBJ
323,>N,P<,N<,PIV,STA,ACC
324,P<,N<,>N,>N,PIV,STA
325,N<,>N,P<,>N,>N,PIV
326,>N,P<,PU,P<,>N,>N
327,P<,PU,N<PRED,N<,P<,>N
328,PU,N<PRED,PIV,>N,N<,P<
329,N<PRED,PIV,P<,P<,>N,N<
330,PIV,P<,PU,PU,P<,>N
331,P<,PU,CJT,N<PRED,PU,P<
332,PU,CJT,N<,PIV,N<PRED,PU
333,CJT,N<,PU,P<,PIV,N<PRED
334,N<,PU,CJT,PU,P<,PIV
335,PU,CJT,CO,CJT,PU,P<
336,CJT,CO,CJT,N<,CJT,PU
337,CO,CJT,PU,PU,N<,CJT
338,CJT,PU,,CJT,PU,N<
339,PU,,,CO,CJT,PU
340,,,,CJT,CO,CJT
341,ACC,>N,SC,,,
342,>N,SC,N<,PU,,
343,SC,N<,>N,ACC,PU,
344,N<,>N,P<,>N,ACC,PU
345,>N,P<,PU,SC,>N,ACC
346,P<,PU,PU,N<,SC,>N
347,PU,PU,STA,>N,N<,SC
348,PU,STA,>N,P<,>N,N<
349,STA,>N,SUBJ,PU,P<,>N
350,>N,SUBJ,N<,PU,PU,P<
351,SUBJ,N<,PU,STA,PU,PU
352,N<,PU,STA,>N,STA,PU
353,PU,STA,ACC,SUBJ,>N,STA
354,STA,ACC,ADVL,N<,SUBJ,>N
355,ACC,ADVL,>N,PU,N<,SUBJ
356,ADVL,>N,P<,STA,PU,N<
357,>N,P<,PU,ACC,STA,PU
358,P<,PU,PU,ADVL,ACC,STA
359,PU,PU,,>N,ADVL,ACC
360,PU,,,P<,>N,ADVL
361,,,,PU,P<,>N
362,ACC,>N,SC,,,
363,>N,SC,N<,PU,,
364,SC,N<,>N,ACC,PU,
365,N<,>N,P<,>N,ACC,PU
366,>N,P<,PU,SC,>N,ACC
367,P<,PU,PU,N<,SC,>N
368,PU,PU,STA,>N,N<,SC
369,PU,STA,>N,P<,>N,N<
370,STA,>N,SUBJ,PU,P<,>N
371,>N,SUBJ,N<,PU,PU,P<
372,SUBJ,N<,PU,STA,PU,PU
373,N<,PU,STA,>N,STA,PU
374,PU,STA,ACC,SUBJ,>N,STA
375,STA,ACC,ADVL,N<,SUBJ,>N
376,ACC,ADVL,>N,PU,N<,SUBJ
377,ADVL,>N,P<,STA,PU,N<
378,>N,P<,PU,ACC,STA,PU
379,P<,PU,PU,ADVL,ACC,STA
380,PU,PU,,>N,ADVL,ACC
381,PU,,,P<,>N,ADVL
382,,,,PU,P<,>N
383,P<,PU,CJT,,,
384,PU,CJT,CO,ADVL,,
385,CJT,CO,CJT,P<,ADVL,
386,CO,CJT,PU,PU,P<,ADVL
387,CJT,PU,>N,CJT,PU,P<
388,PU,>N,SUBJ,CO,CJT,PU
389,>N,SUBJ,STA,CJT,CO,CJT
390,SUBJ,STA,MV,PU,CJT,CO
391,STA,MV,ADVL,>N,PU,CJT
392,MV,ADVL,PIV,SUBJ,>N,PU
393,ADVL,PIV,P<,STA,SUBJ,>N
394,PIV,P<,PU,MV,STA,SUBJ
395,P<,PU,,ADVL,MV,STA
396,PU,,,PIV,ADVL,MV
397,,,,P<,PIV,ADVL
398,SUBJ,PU,SUBJ,,,
399,PU,SUBJ,N<PRED,>N,,
400,SUBJ,N<PRED,AUX,SUBJ,>N,
401,N<PRED,AUX,ACC,PU,SUBJ,>N
402,AUX,ACC,MV,SUBJ,PU,SUBJ
403,ACC,MV,ADVL,N<PRED,SUBJ,PU
404,MV,ADVL,A<,AUX,N<PRED,SUBJ
405,ADVL,A<,>N,ACC,AUX,N<PRED
406,A<,>N,P<,MV,ACC,AUX
407,>N,P<,PU,ADVL,MV,ACC
408,P<,PU,STA,A<,ADVL,MV
409,PU,STA,>N,>N,A<,ADVL
410,STA,>N,>N,P<,>N,A<
411,>N,>N,ACC,PU,P<,>N
412,>N,ACC,N<,STA,PU,P<
413,ACC,N<,P<,>N,STA,PU
414,N<,P<,PIV,>N,>N,STA
415,P<,PIV,>N,ACC,>N,>N
416,PIV,>N,P<,N<,ACC,>N
417,>N,P<,PU,P<,N<,ACC
418,P<,PU,,PIV,P<,N<
419,PU,,,>N,PIV,P<
420,,,,P<,>N,PIV
421,SUBJ,PU,SUBJ,,,
422,PU,SUBJ,N<PRED,>N,,
423,SUBJ,N<PRED,AUX,SUBJ,>N,
424,N<PRED,AUX,ACC,PU,SUBJ,>N
425,AUX,ACC,MV,SUBJ,PU,SUBJ
426,ACC,MV,ADVL,N<PRED,SUBJ,PU
427,MV,ADVL,A<,AUX,N<PRED,SUBJ
428,ADVL,A<,>N,ACC,AUX,N<PRED
429,A<,>N,P<,MV,ACC,AUX
430,>N,P<,PU,ADVL,MV,ACC
431,P<,PU,STA,A<,ADVL,MV
432,PU,STA,>N,>N,A<,ADVL
433,STA,>N,>N,P<,>N,A<
434,>N,>N,ACC,PU,P<,>N
435,>N,ACC,N<,STA,PU,P<
436,ACC,N<,P<,>N,STA,PU
437,N<,P<,PIV,>N,>N,STA
438,P<,PIV,>N,ACC,>N,>N
439,PIV,>N,P<,N<,ACC,>N
440,>N,P<,PU,P<,N<,ACC
441,P<,PU,,PIV,P<,N<
442,PU,,,>N,PIV,P<
443,,,,P<,>N,PIV
444,>N,P<,N<ARG,,,
445,P<,N<ARG,>N,ADVL,,
446,N<ARG,>N,P<,>N,ADVL,
447,>N,P<,N<,P<,>N,ADVL
448,P<,N<,>N,N<ARG,P<,>N
449,N<,>N,P<,>N,N<ARG,P<
450,>N,P<,PU,P<,>N,N<ARG
451,P<,PU,STA,N<,P<,>N
452,PU,STA,>N,>N,N<,P<
453,STA,>N,ACC,P<,>N,N<
454,>N,ACC,SUBJ,PU,P<,>N
455,ACC,SUBJ,>N,STA,PU,P<
456,SUBJ,>N,ACC,>N,STA,PU
457,>N,ACC,N<,ACC,>N,STA
458,ACC,N<,PU,SUBJ,ACC,>N
459,N<,PU,,>N,SUBJ,ACC
460,PU,,,ACC,>N,SUBJ
461,,,,N<,ACC,>N
462,>N,P<,N<ARG,,,
463,P<,N<ARG,>N,ADVL,,
464,N<ARG,>N,P<,>N,ADVL,
465,>N,P<,N<,P<,>N,ADVL
466,P<,N<,>N,N<ARG,P<,>N
467,N<,>N,P<,>N,N<ARG,P<
468,>N,P<,PU,P<,>N,N<ARG
469,P<,PU,STA,N<,P<,>N
470,PU,STA,>N,>N,N<,P<
471,STA,>N,ACC,P<,>N,N<
472,>N,ACC,SUBJ,PU,P<,>N
473,ACC,SUBJ,>N,STA,PU,P<
474,SUBJ,>N,ACC,>N,STA,PU
475,>N,ACC,N<,ACC,>N,STA
476,ACC,N<,PU,SUBJ,ACC,>N
477,N<,PU,,>N,SUBJ,ACC
478,PU,,,ACC,>N,SUBJ
479,,,,N<,ACC,>N
480,N<,>N,N<,,,
481,>N,N<,N<,SUBJ,,
482,N<,N<,ADVL,N<,SUBJ,
483,N<,ADVL,STA,>N,N<,SUBJ
484,ADVL,STA,>N,N<,>N,N<
485,STA,>N,ACC,N<,N<,>N
486,>N,ACC,PU,ADVL,N<,N<
487,ACC,PU,,STA,ADVL,N<
488,PU,,,>N,STA,ADVL
489,,,,ACC,>N,STA
490,SUBJ,N<,PU,,,
491,N<,PU,N<PRED,>N,,
492,PU,N<PRED,>N,SUBJ,>N,
493,N<PRED,>N,P<,N<,SUBJ,>N
494,>N,P<,PU,PU,N<,SUBJ
495,P<,PU,STA,N<PRED,PU,N<
496,PU,STA,MV,>N,N<PRED,PU
497,STA,MV,ADVL,P<,>N,N<PRED
498,MV,ADVL,P<,PU,P<,>N
499,ADVL,P<,PIV,STA,PU,P<
500,P<,PIV,P<,MV,STA,PU
501,PIV,P<,N<,ADVL,MV,STA
502,P<,N<,PU,P<,ADVL,MV
503,N<,PU,,PIV,P<,ADVL
504,PU,,,P<,PIV,P<
505,,,,N<,P<,PIV
506,SUBJ,STA,MV,,,
507,STA,MV,ADVL,>N,,
508,MV,ADVL,>N,SUBJ,>N,
509,ADVL,>N,SC,STA,SUBJ,>N
510,>N,SC,N<,MV,STA,SUBJ
511,SC,N<,>N,ADVL,MV,STA
512,N<,>N,P<,>N,ADVL,MV
513,>N,P<,N<,SC,>N,ADVL
514,P<,N<,>N,N<,SC,>N
515,N<,>N,P<,>N,N<,SC
516,>N,P<,N<,P<,>N,N<
517,P<,N<,PU,N<,P<,>N
518,N<,PU,,>N,N<,P<
519,PU,,,P<,>N,N<
520,,,,N<,P<,>N
521,N<ARG,>N,P<,,,
522,>N,P<,N<,SUBJ,,
523,P<,N<,>N,N<ARG,SUBJ,
524,N<,>N,P<,>N,N<ARG,SUBJ
525,>N,P<,N<,P<,>N,N<ARG
526,P<,N<,>N,N<,P<,>N
527,N<,>N,P<,>N,N<,P<
528,>N,P<,STA,P<,>N,N<
529,P<,STA,MV,N<,P<,>N
530,STA,MV,PIV,>N,N<,P<
531,MV,PIV,>N,P<,>N,N<
532,PIV,>N,P<,STA,P<,>N
533,>N,P<,N<,MV,STA,P<
534,P<,N<,>N,PIV,MV,STA
535,N<,>N,P<,>N,PIV,MV
536,>N,P<,CO,P<,>N,PIV
537,P<,CO,CJT,N<,P<,>N
538,CO,CJT,PU,>N,N<,P<
539,CJT,PU,,P<,>N,N<
540,PU,,,CO,P<,>N
541,,,,CJT,CO,P<
542,>N,P<,PU,,,
543,P<,PU,>N,ADVL,,
544,PU,>N,>N,>N,ADVL,
545,>N,>N,SUBJ,P<,>N,ADVL
546,>N,SUBJ,N<,PU,P<,>N
547,SUBJ,N<,N<,>N,PU,P<
548,N<,N<,P<,>N,>N,PU
549,N<,P<,PU,SUBJ,>N,>N
550,P<,PU,APP,N<,SUBJ,>N
551,PU,APP,PU,N<,N<,SUBJ
552,APP,PU,STA,P<,N<,N<
553,PU,STA,>N,PU,P<,N<
554,STA,>N,ACC,APP,PU,P<
555,>N,ACC,ACC,PU,APP,PU
556,ACC,ACC,P<,STA,PU,APP
557,ACC,P<,N<,>N,STA,PU
558,P<,N<,H,ACC,>N,STA
559,N<,H,P<,ACC,ACC,>N
560,H,P<,>N,P<,ACC,ACC
561,P<,>N,ACC,N<,P<,ACC
562,>N,ACC,N<ARGS,H,N<,P<
563,ACC,N<ARGS,>N,P<,H,N<
564,N<ARGS,>N,P<,>N,P<,H
565,>N,P<,N<ARGO,ACC,>N,P<
566,P<,N<ARGO,P<,N<ARGS,ACC,>N
567,N<ARGO,P<,>N,>N,N<ARGS,ACC
568,P<,>N,ACC,P<,>N,N<ARGS
569,>N,ACC,PIV,N<ARGO,P<,>N
570,ACC,PIV,P<,P<,N<ARGO,P<
571,PIV,P<,N<,>N,P<,N<ARGO
572,P<,N<,PU,ACC,>N,P<
573,N<,PU,,PIV,ACC,>N
574,PU,,,P<,PIV,ACC
575,,,,N<,P<,PIV
576,>N,P<,PU,,,
577,P<,PU,>N,ADVL,,
578,PU,>N,>N,>N,ADVL,
579,>N,>N,SUBJ,P<,>N,ADVL
580,>N,SUBJ,N<,PU,P<,>N
581,SUBJ,N<,N<,>N,PU,P<
582,N<,N<,P<,>N,>N,PU
583,N<,P<,PU,SUBJ,>N,>N
584,P<,PU,APP,N<,SUBJ,>N
585,PU,APP,PU,N<,N<,SUBJ
586,APP,PU,STA,P<,N<,N<
587,PU,STA,>N,PU,P<,N<
588,STA,>N,ACC,APP,PU,P<
589,>N,ACC,ACC,PU,APP,PU
590,ACC,ACC,P<,STA,PU,APP
591,ACC,P<,N<,>N,STA,PU
592,P<,N<,H,ACC,>N,STA
593,N<,H,P<,ACC,ACC,>N
594,H,P<,>N,P<,ACC,ACC
595,P<,>N,ACC,N<,P<,ACC
596,>N,ACC,N<ARGS,H,N<,P<
597,ACC,N<ARGS,>N,P<,H,N<
598,N<ARGS,>N,P<,>N,P<,H
599,>N,P<,N<ARGO,ACC,>N,P<
600,P<,N<ARGO,P<,N<ARGS,ACC,>N
601,N<ARGO,P<,>N,>N,N<ARGS,ACC
602,P<,>N,ACC,P<,>N,N<ARGS
603,>N,ACC,PIV,N<ARGO,P<,>N
604,ACC,PIV,P<,P<,N<ARGO,P<
605,PIV,P<,N<,>N,P<,N<ARGO
606,P<,N<,PU,ACC,>N,P<
607,N<,PU,,PIV,ACC,>N
608,PU,,,P<,PIV,ACC
609,,,,N<,P<,PIV
610,>N,P<,PU,,,
611,P<,PU,>N,ADVL,,
612,PU,>N,>N,>N,ADVL,
613,>N,>N,SUBJ,P<,>N,ADVL
614,>N,SUBJ,N<,PU,P<,>N
615,SUBJ,N<,N<,>N,PU,P<
616,N<,N<,P<,>N,>N,PU
617,N<,P<,PU,SUBJ,>N,>N
618,P<,PU,APP,N<,SUBJ,>N
619,PU,APP,PU,N<,N<,SUBJ
620,APP,PU,STA,P<,N<,N<
621,PU,STA,>N,PU,P<,N<
622,STA,>N,ACC,APP,PU,P<
623,>N,ACC,ACC,PU,APP,PU
624,ACC,ACC,P<,STA,PU,APP
625,ACC,P<,N<,>N,STA,PU
626,P<,N<,H,ACC,>N,STA
627,N<,H,P<,ACC,ACC,>N
628,H,P<,>N,P<,ACC,ACC
629,P<,>N,ACC,N<,P<,ACC
630,>N,ACC,N<ARGS,H,N<,P<
631,ACC,N<ARGS,>N,P<,H,N<
632,N<ARGS,>N,P<,>N,P<,H
633,>N,P<,N<ARGO,ACC,>N,P<
634,P<,N<ARGO,P<,N<ARGS,ACC,>N
635,N<ARGO,P<,>N,>N,N<ARGS,ACC
636,P<,>N,ACC,P<,>N,N<ARGS
637,>N,ACC,PIV,N<ARGO,P<,>N
638,ACC,PIV,P<,P<,N<ARGO,P<
639,PIV,P<,N<,>N,P<,N<ARGO
640,P<,N<,PU,ACC,>N,P<
641,N<,PU,,PIV,ACC,>N
