,GPOS_CTX_P+0,GPOS_CTX_P+1,GPOS_CTX_P-1
159,PRON-PERS,V-FIN,PRON-PERS
160,PRON-PERS,V-FIN,PRON-PERS
161,PRON-PERS,V-FIN,PRON-PERS
162,PRON-PERS,V-FIN,PRON-PERS
163,PRON-PERS,V-FIN,PRON-PERS
164,PRON-PERS,V-FIN,PRON-PERS
165,PRON-PERS,,PRON-PERS
166,V-FIN,PRON-INDP,
167,V-FIN,PRON-INDP,ADV
168,V-FIN,PRON-INDP,ADV
169,V-FIN,PRON-INDP,ADV
170,V-FIN,PRON-INDP,ADV
171,V-FIN,PRON-INDP,ADV
172,V-FIN,PRON-INDP,ADV
173,V-FIN,PRON-INDP,ADV
174,V-FIN,PRON-INDP,ADV
175,V-FIN,PRON-INDP,ADV
176,V-FIN,PRON-INDP,ADV
177,V-FIN,PRON-INDP,ADV
178,V-FIN,,ADV
179,V-INF,PU,
180,V-INF,PU,V-FIN
181,V-INF,PU,V-FIN
182,V-INF,PU,V-FIN
183,V-INF,PU,V-FIN
184,V-INF,PU,V-FIN
185,V-INF,PU,V-FIN
186,V-INF,PU,V-FIN
187,V-INF,PU,V-FIN
188,V-INF,PU,V-FIN
189,V-INF,PU,V-FIN
190,V-INF,PU,V-FIN
191,V-INF,,V-FIN
192,V-FIN,PRP,
193,V-FIN,PRP,N
194,V-FIN,PRP,N
195,V-FIN,PRP,N
196,V-FIN,PRP,N
197,V-FIN,PRP,N
198,V-FIN,PRP,N
199,V-FIN,PRP,N
200,V-FIN,PRP,N
201,V-FIN,PRP,N
202,V-FIN,PRP,N
203,V-FIN,PRP,N
204,V-FIN,PRP,N
205,V-FIN,PRP,N
206,V-FIN,PRP,N
207,V-FIN,,N
208,V-FIN,PRP,
209,V-FIN,PRP,PU
210,V-FIN,PRP,PU
211,V-FIN,PRP,PU
212,V-FIN,PRP,PU
213,V-FIN,,PU
214,V-PCP,PRP,
215,V-PCP,PRP,V-INF
216,V-PCP,PRP,V-INF
217,V-PCP,PRP,V-INF
218,V-PCP,PRP,V-INF
219,V-PCP,PRP,V-INF
220,V-PCP,PRP,V-INF
221,V-PCP,PRP,V-INF
222,V-PCP,PRP,V-INF
223,V-PCP,PRP,V-INF
224,V-PCP,PRP,V-INF
225,V-PCP,PRP,V-INF
226,V-PCP,PRP,V-INF
227,V-PCP,PRP,V-INF
228,V-PCP,PRP,V-INF
229,V-PCP,PRP,V-INF
230,V-PCP,,V-INF
231,V-FIN,PRP,
232,V-FIN,PRP,N
233,V-FIN,PRP,N
234,V-FIN,PRP,N
235,V-FIN,PRP,N
236,V-FIN,PRP,N
237,V-FIN,PRP,N
238,V-FIN,PRP,N
239,V-FIN,PRP,N
240,V-FIN,PRP,N
241,V-FIN,PRP,N
242,V-FIN,PRP,N
243,V-FIN,PRP,N
244,V-FIN,,N
245,V-PCP,PU,
246,V-PCP,PU,V-GER
247,V-PCP,PU,V-GER
248,V-PCP,PU,V-GER
249,V-PCP,PU,V-GER
250,V-PCP,PU,V-GER
251,V-PCP,PU,V-GER
252,V-PCP,PU,V-GER
253,V-PCP,PU,V-GER
254,V-PCP,PU,V-GER
255,V-PCP,PU,V-GER
256,V-PCP,PU,V-GER
257,V-PCP,PU,V-GER
258,V-PCP,PU,V-GER
259,V-PCP,PU,V-GER
260,V-PCP,PU,V-GER
261,V-PCP,PU,V-GER
262,V-PCP,PU,V-GER
263,V-PCP,PU,V-GER
264,V-PCP,PU,V-GER
265,V-PCP,,V-GER
266,V-FIN,ADJ,
267,V-FIN,ADJ,PROP
268,V-FIN,ADJ,PROP
269,V-FIN,,PROP
270,V-FIN,N,
271,V-FIN,N,PRON-INDP
272,V-FIN,N,PRON-INDP
273,V-FIN,N,PRON-INDP
274,V-FIN,N,PRON-INDP
275,V-FIN,N,PRON-INDP
276,V-FIN,N,PRON-INDP
277,V-FIN,N,PRON-INDP
278,V-FIN,N,PRON-INDP
279,V-FIN,N,PRON-INDP
280,V-FIN,N,PRON-INDP
281,V-FIN,N,PRON-INDP
282,V-FIN,N,PRON-INDP
283,V-FIN,N,PRON-INDP
284,V-FIN,N,PRON-INDP
285,V-FIN,N,PRON-INDP
286,V-FIN,N,PRON-INDP
287,V-FIN,N,PRON-INDP
288,V-FIN,N,PRON-INDP
289,V-FIN,N,PRON-INDP
290,V-FIN,N,PRON-INDP
291,V-FIN,N,PRON-INDP
292,V-FIN,,PRON-INDP
293,V-FIN,N,
294,V-FIN,N,N
295,V-FIN,N,N
296,V-FIN,N,N
297,V-FIN,N,N
298,V-FIN,N,N
299,V-FIN,N,N
300,V-FIN,N,N
301,V-FIN,N,N
302,V-FIN,N,N
303,V-FIN,N,N
304,V-FIN,N,N
305,V-FIN,N,N
306,V-FIN,,N
307,V-PCP,PRP,
308,V-PCP,PRP,V-FIN
309,V-PCP,PRP,V-FIN
310,V-PCP,PRP,V-FIN
311,V-PCP,PRP,V-FIN
312,V-PCP,PRP,V-FIN
313,V-PCP,PRP,V-FIN
314,V-PCP,PRP,V-FIN
315,V-PCP,PRP,V-FIN
316,V-PCP,PRP,V-FIN
317,V-PCP,,V-FIN
318,V-FIN,PRP,
319,V-FIN,PRP,PRON-PERS
320,V-FIN,PRP,PRON-PERS
321,V-FIN,PRP,PRON-PERS
322,V-FIN,PRP,PRON-PERS
323,V-FIN,PRP,PRON-PERS
324,V-FIN,PRP,PRON-PERS
325,V-FIN,PRP,PRON-PERS
326,V-FIN,PRP,PRON-PERS
327,V-FIN,PRP,PRON-PERS
328,V-FIN,PRP,PRON-PERS
329,V-FIN,PRP,PRON-PERS
330,V-FIN,PRP,PRON-PERS
331,V-FIN,PRP,PRON-PERS
332,V-FIN,PRP,PRON-PERS
333,V-FIN,PRP,PRON-PERS
334,V-FIN,PRP,PRON-PERS
335,V-FIN,PRP,PRON-PERS
336,V-FIN,PRP,PRON-PERS
337,V-FIN,PRP,PRON-PERS
338,V-FIN,PRP,PRON-PERS
339,V-FIN,PRP,PRON-PERS
340,V-FIN,,PRON-PERS
341,V-FIN,ART,
342,V-FIN,ART,PU
343,V-FIN,ART,PU
344,V-FIN,ART,PU
345,V-FIN,ART,PU
346,V-FIN,ART,PU
347,V-FIN,ART,PU
348,V-FIN,ART,PU
349,V-FIN,ART,PU
350,V-FIN,ART,PU
351,V-FIN,ART,PU
352,V-FIN,ART,PU
353,V-FIN,ART,PU
354,V-FIN,ART,PU
355,V-FIN,ART,PU
356,V-FIN,ART,PU
357,V-FIN,ART,PU
358,V-FIN,ART,PU
359,V-FIN,ART,PU
360,V-FIN,ART,PU
361,V-FIN,,PU
362,V-FIN,N,
363,V-FIN,N,PU
364,V-FIN,N,PU
365,V-FIN,N,PU
366,V-FIN,N,PU
367,V-FIN,N,PU
368,V-FIN,N,PU
369,V-FIN,N,PU
370,V-FIN,N,PU
371,V-FIN,N,PU
372,V-FIN,N,PU
373,V-FIN,N,PU
374,V-FIN,N,PU
375,V-FIN,N,PU
376,V-FIN,N,PU
377,V-FIN,N,PU
378,V-FIN,N,PU
379,V-FIN,N,PU
380,V-FIN,N,PU
381,V-FIN,N,PU
382,V-FIN,,PU
383,V-INF,ADV,
384,V-INF,ADV,V-FIN
385,V-INF,ADV,V-FIN
386,V-INF,ADV,V-FIN
387,V-INF,ADV,V-FIN
388,V-INF,ADV,V-FIN
389,V-INF,ADV,V-FIN
390,V-INF,ADV,V-FIN
391,V-INF,ADV,V-FIN
392,V-INF,ADV,V-FIN
393,V-INF,ADV,V-FIN
394,V-INF,ADV,V-FIN
395,V-INF,ADV,V-FIN
396,V-INF,ADV,V-FIN
397,V-INF,,V-FIN
398,V-PCP,ADV,
399,V-PCP,ADV,PRON-PERS
400,V-PCP,ADV,PRON-PERS
401,V-PCP,ADV,PRON-PERS
402,V-PCP,ADV,PRON-PERS
403,V-PCP,ADV,PRON-PERS
404,V-PCP,ADV,PRON-PERS
405,V-PCP,ADV,PRON-PERS
406,V-PCP,ADV,PRON-PERS
407,V-PCP,ADV,PRON-PERS
408,V-PCP,ADV,PRON-PERS
409,V-PCP,ADV,PRON-PERS
410,V-PCP,ADV,PRON-PERS
411,V-PCP,ADV,PRON-PERS
412,V-PCP,ADV,PRON-PERS
413,V-PCP,ADV,PRON-PERS
414,V-PCP,ADV,PRON-PERS
415,V-PCP,ADV,PRON-PERS
416,V-PCP,ADV,PRON-PERS
417,V-PCP,ADV,PRON-PERS
418,V-PCP,ADV,PRON-PERS
419,V-PCP,ADV,PRON-PERS
420,V-PCP,,PRON-PERS
421,V-FIN,PRON-DET,
422,V-FIN,PRON-DET,PU
423,V-FIN,PRON-DET,PU
424,V-FIN,PRON-DET,PU
425,V-FIN,PRON-DET,PU
426,V-FIN,PRON-DET,PU
427,V-FIN,PRON-DET,PU
428,V-FIN,PRON-DET,PU
429,V-FIN,PRON-DET,PU
430,V-FIN,PRON-DET,PU
431,V-FIN,PRON-DET,PU
432,V-FIN,PRON-DET,PU
433,V-FIN,PRON-DET,PU
434,V-FIN,PRON-DET,PU
435,V-FIN,PRON-DET,PU
436,V-FIN,PRON-DET,PU
437,V-FIN,PRON-DET,PU
438,V-FIN,PRON-DET,PU
439,V-FIN,PRON-DET,PU
440,V-FIN,PRON-DET,PU
441,V-FIN,PRON-DET,PU
442,V-FIN,PRON-DET,PU
443,V-FIN,,PU
444,V-FIN,ART,
445,V-FIN,ART,PU
446,V-FIN,ART,PU
447,V-FIN,ART,PU
448,V-FIN,ART,PU
449,V-FIN,ART,PU
450,V-FIN,ART,PU
451,V-FIN,ART,PU
452,V-FIN,ART,PU
453,V-FIN,ART,PU
454,V-FIN,ART,PU
455,V-FIN,ART,PU
456,V-FIN,ART,PU
457,V-FIN,ART,PU
458,V-FIN,ART,PU
459,V-FIN,ART,PU
460,V-FIN,ART,PU
461,V-FIN,,PU
462,V-INF,ART,
463,V-INF,ART,N
464,V-INF,ART,N
465,V-INF,ART,N
466,V-INF,ART,N
467,V-INF,ART,N
468,V-INF,ART,N
469,V-INF,ART,N
470,V-INF,ART,N
471,V-INF,ART,N
472,V-INF,ART,N
473,V-INF,ART,N
474,V-INF,ART,N
475,V-INF,ART,N
476,V-INF,ART,N
477,V-INF,ART,N
478,V-INF,ART,N
479,V-INF,,N
480,V-FIN,ART,
481,V-FIN,ART,ADV
482,V-FIN,ART,ADV
483,V-FIN,ART,ADV
484,V-FIN,ART,ADV
485,V-FIN,ART,ADV
486,V-FIN,ART,ADV
487,V-FIN,ART,ADV
488,V-FIN,ART,ADV
489,V-FIN,,ADV
490,V-PCP,PRP,
491,V-PCP,PRP,V-FIN
492,V-PCP,PRP,V-FIN
493,V-PCP,PRP,V-FIN
494,V-PCP,PRP,V-FIN
495,V-PCP,PRP,V-FIN
496,V-PCP,PRP,V-FIN
497,V-PCP,PRP,V-FIN
498,V-PCP,PRP,V-FIN
499,V-PCP,PRP,V-FIN
500,V-PCP,PRP,V-FIN
501,V-PCP,PRP,V-FIN
502,V-PCP,PRP,V-FIN
503,V-PCP,PRP,V-FIN
504,V-PCP,PRP,V-FIN
505,V-PCP,,V-FIN
506,V-PCP,ADV,
507,V-PCP,ADV,V-FIN
508,V-PCP,ADV,V-FIN
509,V-PCP,ADV,V-FIN
510,V-PCP,ADV,V-FIN
511,V-PCP,ADV,V-FIN
512,V-PCP,ADV,V-FIN
513,V-PCP,ADV,V-FIN
514,V-PCP,ADV,V-FIN
515,V-PCP,ADV,V-FIN
516,V-PCP,ADV,V-FIN
517,V-PCP,ADV,V-FIN
518,V-PCP,ADV,V-FIN
519,V-PCP,ADV,V-FIN
520,V-PCP,,V-FIN
521,V-PCP,PRP,
522,V-PCP,PRP,V-FIN
523,V-PCP,PRP,V-FIN
524,V-PCP,PRP,V-FIN
525,V-PCP,PRP,V-FIN
526,V-PCP,PRP,V-FIN
527,V-PCP,PRP,V-FIN
528,V-PCP,PRP,V-FIN
529,V-PCP,PRP,V-FIN
530,V-PCP,PRP,V-FIN
531,V-PCP,PRP,V-FIN
532,V-PCP,PRP,V-FIN
533,V-PCP,PRP,V-FIN
534,V-PCP,PRP,V-FIN
535,V-PCP,PRP,V-FIN
536,V-PCP,PRP,V-FIN
537,V-PCP,PRP,V-FIN
538,V-PCP,PRP,V-FIN
539,V-PCP,PRP,V-FIN
540,V-PCP,PRP,V-FIN
541,V-PCP,,V-FIN
542,V-FIN,ART,
543,V-FIN,ART,PU
544,V-FIN,ART,PU
545,V-FIN,ART,PU
546,V-FIN,ART,PU
547,V-FIN,ART,PU
548,V-FIN,ART,PU
549,V-FIN,ART,PU
550,V-FIN,ART,PU
551,V-FIN,ART,PU
552,V-FIN,ART,PU
553,V-FIN,ART,PU
554,V-FIN,ART,PU
555,V-FIN,ART,PU
556,V-FIN,ART,PU
557,V-FIN,ART,PU
558,V-FIN,ART,PU
559,V-FIN,ART,PU
560,V-FIN,ART,PU
561,V-FIN,ART,PU
562,V-FIN,ART,PU
563,V-FIN,ART,PU
564,V-FIN,ART,PU
565,V-FIN,ART,PU
566,V-FIN,ART,PU
567,V-FIN,ART,PU
568,V-FIN,ART,PU
569,V-FIN,ART,PU
570,V-FIN,ART,PU
571,V-FIN,ART,PU
572,V-FIN,ART,PU
573,V-FIN,ART,PU
574,V-FIN,ART,PU
575,V-FIN,,PU
576,V-INF,ART,
577,V-INF,ART,PRP
578,V-INF,ART,PRP
579,V-INF,ART,PRP
580,V-INF,ART,PRP
581,V-INF,ART,PRP
582,V-INF,ART,PRP
583,V-INF,ART,PRP
584,V-INF,ART,PRP
585,V-INF,ART,PRP
586,V-INF,ART,PRP
587,V-INF,ART,PRP
588,V-INF,ART,PRP
589,V-INF,ART,PRP
590,V-INF,ART,PRP
591,V-INF,ART,PRP
592,V-INF,ART,PRP
593,V-INF,ART,PRP
594,V-INF,ART,PRP
595,V-INF,ART,PRP
596,V-INF,ART,PRP
597,V-INF,ART,PRP
598,V-INF,ART,PRP
599,V-INF,ART,PRP
600,V-INF,ART,PRP
601,V-INF,ART,PRP
602,V-INF,ART,PRP
603,V-INF,ART,PRP
604,V-INF,ART,PRP
605,V-INF,ART,PRP
606,V-INF,ART,PRP
607,V-INF,ART,PRP
608,V-INF,ART,PRP
609,V-INF,,PRP
610,V-INF,ART,
611,V-INF,ART,PRP
612,V-INF,ART,PRP
613,V-INF,ART,PRP
614,V-INF,ART,PRP
615,V-INF,ART,PRP
616,V-INF,ART,PRP
617,V-INF,ART,PRP
618,V-INF,ART,PRP
619,V-INF,ART,PRP
620,V-INF,ART,PRP
621,V-INF,ART,PRP
622,V-INF,ART,PRP
623,V-INF,ART,PRP
624,V-INF,ART,PRP
625,V-INF,ART,PRP
626,V-INF,ART,PRP
627,V-INF,ART,PRP
628,V-INF,ART,PRP
629,V-INF,ART,PRP
630,V-INF,ART,PRP
631,V-INF,ART,PRP
632,V-INF,ART,PRP
633,V-INF,ART,PRP
634,V-INF,ART,PRP
635,V-INF,ART,PRP
636,V-INF,ART,PRP
637,V-INF,ART,PRP
638,V-INF,ART,PRP
639,V-INF,ART,PRP
640,V-INF,ART,PRP
641,V-INF,ART,PRP
642,V-INF,ART,PRP
643,V-INF,,PRP
644,V-FIN,ADV,
645,V-FIN,ADV,PU
646,V-FIN,ADV,PU
647,V-FIN,ADV,PU
648,V-FIN,ADV,PU
649,V-FIN,ADV,PU
650,V-FIN,ADV,PU
651,V-FIN,ADV,PU
652,V-FIN,ADV,PU
653,V-FIN,ADV,PU
654,V-FIN,ADV,PU
655,V-FIN,ADV,PU
656,V-FIN,ADV,PU
657,V-FIN,ADV,PU
658,V-FIN,ADV,PU
659,V-FIN,ADV,PU
660,V-FIN,ADV,PU
661,V-FIN,ADV,PU
662,V-FIN,ADV,PU
663,V-FIN,ADV,PU
664,V-FIN,ADV,PU
665,V-FIN,ADV,PU
666,V-FIN,ADV,PU
667,V-FIN,ADV,PU
668,V-FIN,ADV,PU
669,V-FIN,ADV,PU
670,V-FIN,ADV,PU
671,V-FIN,ADV,PU
672,V-FIN,ADV,PU
673,V-FIN,ADV,PU
674,V-FIN,,PU
675,V-INF,ART,
676,V-INF,ART,V-FIN
677,V-INF,ART,V-FIN
678,V-INF,ART,V-FIN
679,V-INF,ART,V-FIN
680,V-INF,ART,V-FIN
681,V-INF,ART,V-FIN
682,V-INF,ART,V-FIN
683,V-INF,ART,V-FIN
684,V-INF,ART,V-FIN
685,V-INF,ART,V-FIN
686,V-INF,ART,V-FIN
687,V-INF,ART,V-FIN
688,V-INF,ART,V-FIN
689,V-INF,ART,V-FIN
690,V-INF,ART,V-FIN
691,V-INF,ART,V-FIN
692,V-INF,ART,V-FIN
693,V-INF,ART,V-FIN
694,V-INF,ART,V-FIN
695,V-INF,ART,V-FIN
696,V-INF,ART,V-FIN
697,V-INF,ART,V-FIN
698,V-INF,ART,V-FIN
699,V-INF,ART,V-FIN
700,V-INF,ART,V-FIN
701,V-INF,ART,V-FIN
702,V-INF,ART,V-FIN
703,V-INF,ART,V-FIN
704,V-INF,ART,V-FIN
705,V-INF,,V-FIN
706,V-FIN,N,
707,V-FIN,N,ADV
708,V-FIN,N,ADV
709,V-FIN,N,ADV
710,V-FIN,N,ADV
711,V-FIN,N,ADV
712,V-FIN,N,ADV
713,V-FIN,N,ADV
714,V-FIN,N,ADV
715,V-FIN,N,ADV
716,V-FIN,N,ADV
717,V-FIN,N,ADV
718,V-FIN,N,ADV
719,V-FIN,N,ADV
720,V-FIN,N,ADV
721,V-FIN,N,ADV
722,V-FIN,N,ADV
723,V-FIN,N,ADV
724,V-FIN,N,ADV
725,V-FIN,N,ADV
726,V-FIN,N,ADV
727,V-FIN,N,ADV
728,V-FIN,N,ADV
729,V-FIN,N,ADV
730,V-FIN,N,ADV
731,V-FIN,N,ADV
732,V-FIN,N,ADV
733,V-FIN,N,ADV
734,V-FIN,N,ADV
735,V-FIN,N,ADV
736,V-FIN,,ADV
737,V-FIN,PRP,
738,V-FIN,PRP,N
739,V-FIN,PRP,N
740,V-FIN,PRP,N
741,V-FIN,PRP,N
742,V-FIN,PRP,N
743,V-FIN,PRP,N
744,V-FIN,PRP,N
745,V-FIN,PRP,N
746,V-FIN,PRP,N
747,V-FIN,PRP,N
748,V-FIN,PRP,N
749,V-FIN,PRP,N
750,V-FIN,,N
751,V-FIN,N,
752,V-FIN,N,ADV
753,V-FIN,N,ADV
754,V-FIN,N,ADV
755,V-FIN,N,ADV
756,V-FIN,N,ADV
757,V-FIN,N,ADV
758,V-FIN,N,ADV
759,V-FIN,N,ADV
760,V-FIN,N,ADV
761,V-FIN,N,ADV
762,V-FIN,N,ADV
763,V-FIN,N,ADV
764,V-FIN,N,ADV
765,V-FIN,N,ADV
766,V-FIN,N,ADV
767,V-FIN,N,ADV
768,V-FIN,N,ADV
769,V-FIN,N,ADV
770,V-FIN,N,ADV
771,V-FIN,N,ADV
772,V-FIN,N,ADV
773,V-FIN,N,ADV
774,V-FIN,N,ADV
775,V-FIN,N,ADV
776,V-FIN,N,ADV
777,V-FIN,N,ADV
778,V-FIN,,ADV
779,V-PCP,PRP,
780,V-PCP,PRP,V-FIN
781,V-PCP,PRP,V-FIN
782,V-PCP,PRP,V-FIN
783,V-PCP,PRP,V-FIN
784,V-PCP,PRP,V-FIN
785,V-PCP,PRP,V-FIN
786,V-PCP,PRP,V-FIN
787,V-PCP,PRP,V-FIN
788,V-PCP,PRP,V-FIN
789,V-PCP,PRP,V-FIN
790,V-PCP,PRP,V-FIN
791,V-PCP,PRP,V-FIN
792,V-PCP,PRP,V-FIN
793,V-PCP,PRP,V-FIN
794,V-PCP,PRP,V-FIN
795,V-PCP,PRP,V-FIN
796,V-PCP,PRP,V-FIN
797,V-PCP,PRP,V-FIN
798,V-PCP,PRP,V-FIN
799,V-PCP,PRP,V-FIN
800,V-PCP,PRP,V-FIN
801,V-PCP,PRP,V-FIN
802,V-PCP,PRP,V-FIN
803,V-PCP,PRP,V-FIN
804,V-PCP,PRP,V-FIN
805,V-PCP,PRP,V-FIN
806,V-PCP,,V-FIN
807,V-INF,PRP,
808,V-INF,PRP,PRP
809,V-INF,PRP,PRP
810,V-INF,PRP,PRP
811,V-INF,PRP,PRP
812,V-INF,PRP,PRP
813,V-INF,PRP,PRP
814,V-INF,PRP,PRP
815,V-INF,PRP,PRP
816,V-INF,PRP,PRP
817,V-INF,PRP,PRP
818,V-INF,PRP,PRP
819,V-INF,PRP,PRP
820,V-INF,PRP,PRP
821,V-INF,PRP,PRP
822,V-INF,PRP,PRP
823,V-INF,PRP,PRP
824,V-INF,PRP,PRP
825,V-INF,PRP,PRP
826,V-INF,PRP,PRP
827,V-INF,PRP,PRP
828,V-INF,PRP,PRP
829,V-INF,PRP,PRP
830,V-INF,PRP,PRP
831,V-INF,PRP,PRP
832,V-INF,PRP,PRP
833,V-INF,PRP,PRP
834,V-INF,PRP,PRP
835,V-INF,PRP,PRP
836,V-INF,PRP,PRP
837,V-INF,PRP,PRP
838,V-INF,PRP,PRP
839,V-INF,PRP,PRP
840,V-INF,PRP,PRP
841,V-INF,PRP,PRP
842,V-INF,PRP,PRP
843,V-INF,PRP,PRP
844,V-INF,,PRP
845,V-FIN,PRP,
846,V-FIN,PRP,N
847,V-FIN,PRP,N
848,V-FIN,PRP,N
849,V-FIN,PRP,N
850,V-FIN,PRP,N
851,V-FIN,PRP,N
852,V-FIN,PRP,N
853,V-FIN,PRP,N
854,V-FIN,PRP,N
855,V-FIN,PRP,N
856,V-FIN,PRP,N
857,V-FIN,PRP,N
858,V-FIN,PRP,N
859,V-FIN,PRP,N
860,V-FIN,PRP,N
861,V-FIN,PRP,N
862,V-FIN,PRP,N
863,V-FIN,PRP,N
864,V-FIN,PRP,N
865,V-FIN,PRP,N
866,V-FIN,PRP,N
867,V-FIN,PRP,N
868,V-FIN,PRP,N
869,V-FIN,PRP,N
870,V-FIN,PRP,N
871,V-FIN,PRP,N
872,V-FIN,PRP,N
873,V-FIN,PRP,N
874,V-FIN,PRP,N
875,V-FIN,PRP,N
876,V-FIN,PRP,N
877,V-FIN,PRP,N
878,V-FIN,PRP,N
879,V-FIN,PRP,N
880,V-FIN,PRP,N
881,V-FIN,PRP,N
882,V-FIN,,N
883,V-GER,PRP,
884,V-GER,PRP,PU
885,V-GER,PRP,PU
886,V-GER,PRP,PU
887,V-GER,PRP,PU
888,V-GER,PRP,PU
889,V-GER,PRP,PU
890,V-GER,PRP,PU
891,V-GER,PRP,PU
892,V-GER,PRP,PU
893,V-GER,PRP,PU
894,V-GER,PRP,PU
895,V-GER,PRP,PU
896,V-GER,PRP,PU
897,V-GER,PRP,PU
898,V-GER,PRP,PU
899,V-GER,PRP,PU
900,V-GER,PRP,PU
901,V-GER,PRP,PU
902,V-GER,PRP,PU
903,V-GER,PRP,PU
904,V-GER,PRP,PU
905,V-GER,PRP,PU
906,V-GER,PRP,PU
907,V-GER,PRP,PU
908,V-GER,PRP,PU
909,V-GER,PRP,PU
910,V-GER,PRP,PU
911,V-GER,PRP,PU
912,V-GER,PRP,PU
913,V-GER,PRP,PU
914,V-GER,PRP,PU
915,V-GER,PRP,PU
916,V-GER,PRP,PU
917,V-GER,PRP,PU
918,V-GER,PRP,PU
919,V-GER,PRP,PU
