TOKEN	NER_TAG
Eufrasio_Veículos	ORG
Exxon_Váldez	ORG
Exército_Republicano_Irlandês	ORG
F-1	ORG
Federal_Bureau_Investigation	ORG
Federação_Internacional	ORG
Federação_Paulista_de_Futebol	ORG
Feira_Internacional_de_Tecelagem	ORG
Financial_Times	ORG
Fittipaldi_Promoções	ORG
Folha/«The_New_York_Times»	ORG
Folha_da_Manhã_S/A	ORG
Força_Sindical	ORG
Forças_Armadas	ORG
Free_Jazz_Festival	ORG
Fundação_Dom_Cabral	ORG
Fundação_Getúlio_Vargas	ORG
Fundação_Instituto_Brasileiro_de_Geografia_e_Estatística	ORG
Fundação_Nacional_de_Saúde	ORG
Gabinete_Civil	ORG
Gaviões_da_Fiel	ORG
Gelaguela_Sobremesas	ORG
Gianetti_da_Fonseca	ORG
Grupo_Viena	ORG
Guarda_Municipal	ORG
Guarda_Nacional	ORG
Hirano_Design_International_Inc.	ORG
Houston_Rockets	ORG
Hubert_Imóveis_e_Administração	ORG
Hubert_Imóveis_e_Administração_Ltda	ORG
Igreja_Católica	ORG
Indústrias_J.B._Duarte	ORG
Instituro_Pedro_Melo	ORG
Instituto_Brasileiro_de_Turismo	ORG
Instituto_Brasileiro_do_Patrimônio_Cultural	ORG
Instituto_Médico_Legal	ORG
Instituto_Ulysses_Guimarães_de_Estudos_Políticos_e_Sociais	ORG
Instituto_da_Califórnia_para_Tecnologia_Avançada	ORG
Instituto_de_Pesquisas_Econômicas_e_Administrativas/MG	ORG
Jockey_Club	ORG
Josip_Weber	ORG
Jovem_Pan	ORG
Junta_da_Justiça_do_Trabalho	ORG
Justiça_Eleitoral	ORG
Justiça_Federal	ORG
Justiça_do_Trabalho	ORG
Laerte_Cordeiro_&_Associados	ORG
Le_Figaro	ORG
Liga_de_Assistência_e_Recuperação	ORG
Lord_Hotel	ORG
Luiz_Antonio_Fleury_Filho	ORG
Mancha_Verde	ORG
McDonald\'s	ORG
Minas_e_Energia	ORG
Ministério_Público	ORG
Ministério_Público_Estadual	ORG
Ministério_Público_Federal	ORG
Ministério_da_Fazenda	ORG
Ministério_da_Previdência	ORG
Ministério_das_Relações_Exteriores	ORG
Ministério_do_Interior	ORG
Ministério_do_Planejamento	ORG
Ministério_dos_Transportes	ORG
Movimento_por_Terra,_Trabalho_e_Liberdade	ORG
Museu_Britânico	ORG
Mário_Luna	ORG
Médicos_Sem_Fronteiras	ORG
Nacional_Iguatemi_Empreendimentos	ORG
Net_Brasil	ORG
Nine_Inch_Nails	ORG
OAS_Participações	ORG
Oficina_de_Artes_do_Livro	ORG
Ordem_dos_Advogados_do_Brasil	ORG
Organização_Internacional_do_Café	ORG
Organização_de_Defesa_de_Mísseis_Balísticos	ORG
Organização_dos_Estados_Americanos	ORG
Organizações_Globo	ORG
Orquestra_Estadual	ORG
PSDB-PFL-PTB	ORG
Partido_Democrata	ORG
Partido_Liberal_Democrático	ORG
Partido_Revolucionário_Institucional	ORG
People_for_Ethical_Treatment_of_Animals	ORG
Pink_Floyd	ORG
Polícia_Civil	ORG
Polícia_Civil_de_Ourinhos	ORG
Polícia_Federal	ORG
Polícia_Militar	ORG
Polícia_Rodoviária	ORG
Ponte_Preta	ORG
Prefeitura_de_São_Paulo	ORG
Receita_Federal	ORG
Rede_Manchete	ORG
Rede_RBS	ORG
República_Movimento	ORG
Ráscal_Pizza_&_Cozinha	ORG
Secretaria_Estadual_da_Saúde	ORG
Secretaria_Estadual_de_Saúde	ORG
Secretaria_Municipal_da_Administração	ORG
Secretaria_Nacional_de_Direito_Econômico	ORG
Secretaria_da_Fazenda	ORG
Secretaria_da_Saúde	ORG
Secretaria_das_Finanças	ORG
Secretaria_das_Relações_do_Trabalho	ORG
Secretaria_de_Saúde	ORG
Secretaria_de_Vias_Públicas	ORG
Secretaria_do_Meio_Ambiente	ORG
Sendero_Luminoso	ORG
Serviço_de_Apoio_à_Pequena_e_Média_Empresa	ORG
Serviço_de_Segurança_ao_Crédito_e_Informações	ORG
Sesc_Pompéia	ORG
Sindicato_dos_Jornalistas	ORG
Sindicato_dos_Metalúrgicos	ORG
Southern_Methodist_University	ORG
Superintendência_Nacional_de_Abastecimento	ORG
Superior_Tribunal_de_Justiça	ORG
Superliga_Nacional_Masculina	ORG
Supremo_Tribunal_Federal	ORG
São_Silvestre	ORG
TV_Cultura	ORG
TVs_Bandeirantes	ORG
Teatro_Nacional	ORG
The_Independent	ORG
The_Jackson_5	ORG
The_New_York_Times	ORG
Tijuca_Tênis_Clune	ORG
Torneio_Internacional_de_Basquete	ORG
Torneio_de_Doha	ORG
Tribunais_Regionais_Eleitorais	ORG
Tribunal_Regional_Eleitoral	ORG
Tribunal_Superior_Eleitoral	ORG
Tribunal_Superior_do_Trabalho	ORG
Tribunal_de_Contas	ORG
Tribunal_de_Justiça_Militar	ORG
U2	ORG
USA_Today	ORG
Ueta_Indústria_e_Comércio_de_Aparelhos_Eletrônicos	ORG
Unidade_Fiscal_do_Município	ORG
Universidade_Estadual_Paulista	ORG
Universidade_Federal_da_Paraíba	ORG
Universidade_Harvard	ORG
Universidade_Yale	ORG
Universidade_da_Califórnia	ORG
Universidade_de_Arizona	ORG
União_Européia	ORG
União_Nacional_dos_Estudantes	ORG
Us_Open	ORG
Vara_Central_da_Infância_e_Juventude	ORG
Vasco_da_Gama	ORG
Viação_Boa_Vista	ORG
William_Rhodes	ORG
